matchedPattern,context,lineNumber,columnNumber,publicationName
CVCL_2050,"...(e.g. GOS-3), accessions (e.g. CVCL_2050), synonyms (e.g. GO...",56,161,Bioinformatics_2016_Jan_15_32(2)_276-282.txt
CVCL_0045,... (initially derived from RRID: CVCL_0045) were performed as ...,267,93,PMC5336696.txt
CVCL_0027,...(ATCC; Cat. no. HB-8065; RRID: CVCL_0027) and LβT2 (kindly p...,273,74,PMC5336696.txt
CVCL_0398,"...Dr. Pamela Mellon, UCSD; RRID: CVCL_0398) cells were perform...",273,145,PMC5336696.txt
CVCL_0596,...ed by Dr. Joan Massagué; RRID: CVCL_0596) cells were perform...,276,70,PMC5336696.txt
CVCL_0493,"...cellosaurus/ under references: CVCL_0493, CVCL_0006 and CVCL...",274,292,PMC5339975.txt
CVCL_0006,".../ under references: CVCL_0493, CVCL_0006 and CVCL_0059. All ...",274,303,PMC5339975.txt
CVCL_0059,"...nces: CVCL_0493, CVCL_0006 and CVCL_0059. All other datasets...",274,317,PMC5339975.txt
CVCL_0063,...ney cells	ECACC	HEK293T; RRID: CVCL_0063,85,50,Cell_2016_Nov_3_167(4)_1079-1087_e5.txt
CVCL_0168,"...el et al., 1989	BEAS-2B; RRID: CVCL_0168",86,68,Cell_2016_Nov_3_167(4)_1079-1087_e5.txt
CVCL_0023,"... cells	Smith, 1977	A549; RRID: CVCL_0023",87,50,Cell_2016_Nov_3_167(4)_1079-1087_e5.txt
CVCL_0336,"...yashi et al., 1982	HuH7; RRID: CVCL_0336",88,62,Cell_2016_Nov_3_167(4)_1079-1087_e5.txt
CVCL_1D85,"...on assay in 293TT cells (RRID: CVCL_1D85), with the followin...",48,306,EBioMedicine_2016_Jun_29_10_55-64.txt
CVCL_0291,Human HCT116 p53+/+ (RRID: CVCL_0291) and HCT116 p53-/- ...,157,27,eLife_5_e15978.txt
CVCL_S744,...0291) and HCT116 p53-/- (RRID: CVCL_S744) cells were generou...,157,63,eLife_5_e15978.txt
CVCL_0023,"...edical Institutes. A549 (RRID: CVCL_0023), HepG2 (RRID: CVCL...",157,177,eLife_5_e15978.txt
CVCL_0027,"...RRID: CVCL_0023), HepG2 (RRID: CVCL_0027), U2OS (RRID: CVCL_...",157,202,eLife_5_e15978.txt
CVCL_0042,"...(RRID: CVCL_0027), U2OS (RRID: CVCL_0042), H460 (RRID: CVCL_...",157,226,eLife_5_e15978.txt
CVCL_0459,"...(RRID: CVCL_0042), H460 (RRID: CVCL_0459) and H1299 (RRID: C...",157,250,eLife_5_e15978.txt
CVCL_0060,...D: CVCL_0459) and H1299 (RRID: CVCL_0060) cells were purchas...,157,278,eLife_5_e15978.txt
CVCL_0035,...s medium (DMEM) and PC3 (RRID: CVCL_0035) cells (also from A...,157,440,eLife_5_e15978.txt
CVCL_7487,GM08447	CVCL_7487,236,8,eLife_5_e16220.txt
CVCL_7434,GM05659	CVCL_7434,237,8,eLife_5_e16220.txt
CVCL_7311,GM00969	CVCL_7311,238,8,eLife_5_e16220.txt
CVCL_7348,GM02036	CVCL_7348,239,8,eLife_5_e16220.txt
CVCL_7384,GM03377	CVCL_7384,240,8,eLife_5_e16220.txt
CVCL_7388,GM03440	CVCL_7388,241,8,eLife_5_e16220.txt
CVCL_V475,GM04616	CVCL_V475,242,8,eLife_5_e16220.txt
CVCL_L780,AG05397	CVCL_L780,243,8,eLife_5_e16220.txt
CVCL_X793,AG06922	CVCL_X793,244,8,eLife_5_e16220.txt
CVCL_V469,GM02767	CVCL_V469,245,8,eLife_5_e16220.txt
CVCL_X871,AG08941	CVCL_X871,246,8,eLife_5_e16220.txt
CVCL_X872,AG08942	CVCL_X872,247,8,eLife_5_e16220.txt
CVCL_0045,"...293 (ATCC Cat# CRL-1573, RRID: CVCL_0045) and HeLa cells (AT...",450,34,eLife_5_e17523.txt
CVCL_0030,"... cells (ATCC Cat# CCL-2, RRID: CVCL_0030) were cultured in D...",450,84,eLife_5_e17523.txt
CVCL_G144,"...ell line (ATCC, HB-8730; RRID: CVCL_G144). Hybridoma superna...",262,491,eLife_5_e17548.txt
CVCL_GR23,"...umor in a C57BL/6 mouse (RRID: CVCL_GR23) (Casey et al., 195...",172,507,eLife_5_e18501.txt
CVCL_0063,...oduced in HEK293T cells (RRID: CVCL_0063) as previously desc...,199,51,eLife_5_e19749.txt
CVCL_1922,"...iya in Kyoto University (RRID: CVCL_1922), and the genome wa...",216,81,eLife_5_e19071.txt
CVCL_0045,HEK293 cells (RRID: CVCL_0045) were cultured usin...,149,20,eLife_5_e18130.txt
CVCL_0063,"HEK293T (RRID: CVCL_0063, purchased from ATC...",148,15,eLife_5_e19360.txt
CVCL_0023,"...STR profiling) and A549 (RRID: CVCL_0023, purchased from ATC...",148,120,eLife_5_e19360.txt
CVCL_0063,"...3T cells (ATCC CRL-3216, RRID: CVCL_0063) were seeded in 10 ...",422,36,eLife_5_e18790.txt
CVCL_0518,"...g the sf21 insect cells (RRID: CVCL_0518), maintained in the...",204,598,eLife_5_e22238.txt
CVCL_C190,"...n production, Hi5 cells (RRID: CVCL_C190) grown in the SIM H...",204,707,eLife_5_e22238.txt
CVCL_Y019,HAP1 cells (RRID: CVCL_Y019) are a haploid huma...,213,18,eLife_5_e22238.txt
