matchedPattern,context,lineNumber,columnNumber,publicationName
3.5.1.3,.... Linkage disequilibria were computed in Arlequin 3.5.1.3 (Excoffier and Lischer 2010); none were fo...,58,617,Acta_Theriol_(Warsz)_2012_Jul_28_57(3)_195-204.txt
3.5.1.3,...ding coefficient (FIS) for each locus. ARLEQUIN v.3.5.1.3 (Excoffier and Lischer 2010) was then used...,55,254,AoB_Plants_2015_Mar_27_7_plv026.txt
3.5.1.3,...is of molecular variance (AMOVA) using Arlequin v.3.5.1.3 (Excoffier and Lischer 2010). This analysi...,108,73,AoB_Plants_2016_Jul_11_8_plw034.txt
3.5.1.3,"...ns from Hardy–Weinberg equilibrium (HWE; Arlequin 3.5.1.3; Excoffier and Lischer, 2010), gametic dis...",145,244,Appl_Plant_Sci_2013_Dec_3_1(12)_apps_1300048.txt
3.5.1.3,"...equilibrium were performed using Arlequin version 3.5.1.3 (Excoffier and Lischer, 2010)",20,1311,Appl_Plant_Sci_2013_May_7_1(6)_apps_1200492.txt
3.5.1.3,"...equilibrium were performed using Arlequin version 3.5.1.3 (Excoffier and Lischer, 2010)",20,1311,Appl_Plant_Sci_2013_May_7_1(6)_apps_1200492.txt
3.5.1.3,"...ere performed using the software Arlequin version 3.5.1.3 (Excoffier and Lischer, 2010). Fixation in...",58,389,Appl_Plant_Sci_2015_Nov_4_3(11)_apps_1500058.txt
3.5.1.3,"...brium (HWE) were calculated with Arlequin version 3.5.1.3 (Excoffier and Lischer, 2010). The mean nu...",97,437,Appl_Plant_Sci_2015_Nov_4_3(11)_apps_1500071.txt
3.5.1.3,"We used Arlequin 3.5.1.3 (Excoffier and Lischer, 2010) to calculate...",305,18,Appl_Plant_Sci_2016_Jan_6_4(1)_apps_1500085.txt
3.5.1.3,"...rsity (Nei, 1987) were estimated using ARLEQUIN v.3.5.1.3 (Excoffier et al., 2010). A median joining...",27,361,Asian-Australas_J_Anim_Sci_2014_Jan_27(1)_19-23.txt
3.5.1.3,...erg equilibrium (HWE) for our data using Arlequin 3.5.1.3 [17]. The distribution of alleles in the p...,96,81,Biomed_Res_Int_2014_Mar_24_2014_573652.txt
3.5.1.3,...erg equilibrium (HWE) for our data using Arlequin 3.5.1.3 [17]. The distribution of alleles in the p...,96,81,Biomed_Res_Int_2014_Mar_24_2014_573652.txt
3.5.1.3,...um-spanning network was then inferred in Arlequin 3.5.1.,90,139,BMC_Evol_Biol_2012_Aug_9_12_142.txt
3.5.1.3,"Arlequin	3.5.1.3	Diversity indices (H, k, h, π, FST, φST)	[...",159,10,BMC_Evol_Biol_2013_Jan_24_13_21.txt
3.5.1.3,...le was also used as an input file for Arlequin v. 3.5.1.3 to conduct pairwise likelihood ratio tests...,179,67,BMC_Evol_Biol_2013_Jan_24_13_21.txt
3.5.1.3,...her Southeast Asian populations. ARLEQUIN version 3.5.1.3 [60] was used for the calculation of misma...,87,802,BMC_Evol_Biol_2014_Jan_28_14_17.txt
3.5.1.3,...diversity (π) with the software ARLEQUIN (version 3.5.1.3.; [69]). Because sample sizes varied betwe...,269,267,BMC_Evol_Biol_2014_Mar_28_14_64.txt
3.5.1.3,...diversity (π) with the software ARLEQUIN (version 3.5.1.3.; [69]). Because sample sizes varied betwe...,269,267,BMC_Evol_Biol_2014_Mar_28_14_64.txt
3.5.1.3,...an Ocean. Calculations were conducted in Arlequin 3.5.1.,210,143,BMC_Evol_Biol_2014_Apr_30_14_92.txt
3.5.1.3,...an Ocean. Calculations were conducted in Arlequin 3.5.1.,210,143,BMC_Evol_Biol_2014_Apr_30_14_92.txt
