matchedPattern,context,lineNumber,columnNumber,publicationName
EC 3.1.1.3,"... lipases. Lipases (triacylglycerol acylhydrolase, EC 3.1.1.3) are produced by microorganisms, plants...",13,610,3_Biotech_2015_Oct_7_5(5)_715-725.txt
EC 3.1.1.3,"... lipases. Lipases (triacylglycerol acylhydrolase, EC 3.1.1.3) are produced by microorganisms, plants...",13,610,3_Biotech_2015_Oct_7_5(5)_715-725.txt
EC 3.1.1.3,Lipases (EC 3.1.1.3) from different organisms were reported...,14,10,3_Biotech_2016_Dec_11_6(1)_24.txt
EC 3.1.1.3,Lipases (EC 3.1.1.3) from different organisms were reported...,14,10,3_Biotech_2016_Dec_11_6(1)_24.txt
EC 3.1.1.3,"Lipases (triacylglycerol acylhydrolases, EC 3.1.1.3) are enzymes that catalyse the hydrolys...",12,42,PMC4909032.txt
EC 3.1.1.3,"Lipases (triacylglycerol acylhydrolases, EC 3.1.1.3) are enzymes that catalyse the hydrolys...",12,42,PMC4909032.txt
EC 3.1.1.3,"...e poisoning, respectively (Okafor 2007). Lipases (EC 3.1.1.3) are the most frequently used enzymes i...",249,573,PMC4991975.txt
EC 3.1.1.3,"...e poisoning, respectively (Okafor 2007). Lipases (EC 3.1.1.3) are the most frequently used enzymes i...",249,573,PMC4991975.txt
EC 3.1.1.3,(EC 3.1.1.3) are the most used biocatalyst for this...,139,2,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2011_Sep_30_67(Pt_10)_o2778.txt
EC 3.1.1.3,(EC 3.1.1.3) are the most used biocatalyst for this...,139,2,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2011_Sep_30_67(Pt_10)_o2778.txt
EC 3.1.1.3,".... A lipase solution from Thermomyces lanuginosus (EC 3.1.1.3., minimum 105 units/g) was purchased fr...",29,340,Acta_Orthop_2009_Oct_1_80(5)_514-519.txt
EC 3.1.1.3,".... A lipase solution from Thermomyces lanuginosus (EC 3.1.1.3., minimum 105 units/g) was purchased fr...",29,340,Acta_Orthop_2009_Oct_1_80(5)_514-519.txt
EC 3.1.1.3,...mmercial suppliers and used as received. Lipases (EC 3.1.1.3) were from Amano Enzyme Inc. or Sigma–A...,49,81,Adv_Synth_Catal_2014_Mar_24_356(5)_987-992.txt
EC 3.1.1.3,...mmercial suppliers and used as received. Lipases (EC 3.1.1.3) were from Amano Enzyme Inc. or Sigma–A...,49,81,Adv_Synth_Catal_2014_Mar_24_356(5)_987-992.txt
EC 3.1.1.3,"... The Lip1 protein belongs to triglyceride lipase (EC 3.1.1.3), which hydrolyzes the ester bond of tr...",39,735,Ann_Dermatol_2013_Aug_13_25(3)_310-314.txt
EC 3.1.1.3,"... The Lip1 protein belongs to triglyceride lipase (EC 3.1.1.3), which hydrolyzes the ester bond of tr...",39,735,Ann_Dermatol_2013_Aug_13_25(3)_310-314.txt
EC 3.1.1.3,TGL3	YMR313c	YALI0D17534g	EC 3.1.1.3	Triacylglycerol lipase,125,27,Appl_Microbiol_Biotechnol_2012_Feb_2_93(4)_1523-1537.txt
EC 3.1.1.3,TGL4	YKR089c	YALI0F10010g	EC 3.1.1.3	Triacylglycerol lipase,126,27,Appl_Microbiol_Biotechnol_2012_Feb_2_93(4)_1523-1537.txt
EC 3.1.1.3,TGL5	YOR081c		EC 3.1.1.3	Triacylglycerol lipase,127,15,Appl_Microbiol_Biotechnol_2012_Feb_2_93(4)_1523-1537.txt
EC 3.1.1.3,TGL3	YMR313c	YALI0D17534g	EC 3.1.1.3	Triacylglycerol lipase,125,27,Appl_Microbiol_Biotechnol_2012_Feb_2_93(4)_1523-1537.txt
