matchedPattern,context,lineNumber,columnNumber,publicationName
EC 3.2.1.4,...sidase (EC 3.2.1.21) together with endoglucanase (EC 3.2.1.4) and exoglucanase (EC 3.2.1.74) form a ...,9,58,3_Biotech_2013_Oct_6_3(5)_381-388.txt
EC 3.2.1.4,...sidase (EC 3.2.1.21) together with endoglucanase (EC 3.2.1.4) and exoglucanase (EC 3.2.1.74) form a ...,9,58,3_Biotech_2013_Oct_6_3(5)_381-388.txt
EC 3.2.1.4,"Cellulase (EC 3.2.1.4), invertase activity (EC 3.2.1.26) and ...",71,12,3_Biotech_2015_Feb_18_5(1)_13-21.txt
EC 3.2.1.4,"Cellulase (EC 3.2.1.4), invertase activity (EC 3.2.1.26) and ...",71,12,3_Biotech_2015_Feb_18_5(1)_13-21.txt
EC 3.2.1.4,"...lucanases (or 1,4-β-d-glucan-4-glucanohydrolases, EC 3.2.1.4), commonly referred to as endoglucanase...",136,65,3_Biotech_2015_Aug_21_5(4)_337-353.txt
EC 3.2.1.4,"...lucanases (or 1,4-β-d-glucan-4-glucanohydrolases, EC 3.2.1.4), commonly referred to as endoglucanase...",136,65,3_Biotech_2015_Aug_21_5(4)_337-353.txt
EC 3.2.1.4,...y three enzymes are involved; endo-β-d-glucanase (EC 3.2.1.4) which catalyzes the random hydrolysis ...,14,701,3_Biotech_2015_Dec_27_5(6)_1101-1106.txt
EC 3.2.1.4,...y three enzymes are involved; endo-β-d-glucanase (EC 3.2.1.4) which catalyzes the random hydrolysis ...,14,701,3_Biotech_2015_Dec_27_5(6)_1101-1106.txt
EC 3.2.1.4,"...rolases (EC 3.2.1.91), endoglucanases or CMCases (EC 3.2.1.4) and β-glucosidases (EC 3.2.1.21), acti...",12,836,PMC4978645.txt
EC 3.2.1.4,"...rolases (EC 3.2.1.91), endoglucanases or CMCases (EC 3.2.1.4) and β-glucosidases (EC 3.2.1.21), acti...",12,836,PMC4978645.txt
EC 3.2.1.4,"...tain endoglucanases [endo-1,4-β-glucanases (EGs); EC 3.2.1.4], exoglucanases [exo-1,4-β-glucanases (...",13,1248,PMC5095100.txt
EC 3.2.1.4,"...tain endoglucanases [endo-1,4-β-glucanases (EGs); EC 3.2.1.4], exoglucanases [exo-1,4-β-glucanases (...",13,1248,PMC5095100.txt
EC 3.2.1.4,"include endoglucanases (EC 3.2.1.4), cellobiohydrolases (EC 3.2.1.91)",62,25,ACS_Chem_Biol_2014_Sep_19_9(9)_2082-2091.txt
EC 3.2.1.4,"include endoglucanases (EC 3.2.1.4), cellobiohydrolases (EC 3.2.1.91)",62,25,ACS_Chem_Biol_2014_Sep_19_9(9)_2082-2091.txt
EC 3.2.1.4,"...ulases have been recognized: endoglucanases (EGs; EC 3.2.1.4), cellobiohydrolases (CBHs; EC 3.2.1.91...",16,542,Acta_Crystallogr_D_Biol_Crystallogr_2014_Aug_29_70(Pt_9)_2356-2366.txt
EC 3.2.1.4,"...ulases have been recognized: endoglucanases (EGs; EC 3.2.1.4), cellobiohydrolases (CBHs; EC 3.2.1.91...",16,542,Acta_Crystallogr_D_Biol_Crystallogr_2014_Aug_29_70(Pt_9)_2356-2366.txt
EC 3.2.1.4,"... endoglucanases [endo-(1,4)-β-d-glucanhydrolases; EC 3.2.1.4], which randomly cleave the β-1,4 linka...",15,1410,Acta_Crystallogr_D_Struct_Biol_2016_Jun_23_72(Pt_7)_860-870.txt
EC 3.2.1.4,"... endoglucanases [endo-(1,4)-β-d-glucanhydrolases; EC 3.2.1.4], which randomly cleave the β-1,4 linka...",15,1410,Acta_Crystallogr_D_Struct_Biol_2016_Jun_23_72(Pt_7)_860-870.txt
EC 3.2.1.4,...chaeon Pyrococcus furiosus (EGPf; Gene ID PF0854; EC 3.2.1.4) catalyzes the hydrolytic cleavage of t...,6,128,Acta_Crystallogr_F_Struct_Biol_Commun_2014_Jun_18_70(Pt_7)_878-883.txt
EC 3.2.1.4,...chaeon Pyrococcus furiosus (EGPf; Gene ID PF0854; EC 3.2.1.4) catalyzes the hydrolytic cleavage of t...,6,128,Acta_Crystallogr_F_Struct_Biol_Commun_2014_Jun_18_70(Pt_7)_878-883.txt
