matchedPattern,context,lineNumber,columnNumber,publicationName
EC 3.2.1.8,"...accharide of hemicelluloses. Endo-β-1,4-xylanase (EC 3.2.1.8) and β-xylosidase (EC 3.2.1.37) are the...",9,259,3_Biotech_2011_Oct_13_1(3)_161-171.txt
EC 3.2.1.8,"...accharide of hemicelluloses. Endo-β-1,4-xylanase (EC 3.2.1.8) and β-xylosidase (EC 3.2.1.37) are the...",9,259,3_Biotech_2011_Oct_13_1(3)_161-171.txt
EC 3.2.1.8,"...prising xylanases (β-1,4-d-xylan xylanohydrolase, EC 3.2.1.8) and β-xylosidases (β-1,4-d-xylan xyloh...",8,412,3_Biotech_2011_Dec_22_1(4)_255-259.txt
EC 3.2.1.8,"...prising xylanases (β-1,4-d-xylan xylanohydrolase, EC 3.2.1.8) and β-xylosidases (β-1,4-d-xylan xyloh...",8,412,3_Biotech_2011_Dec_22_1(4)_255-259.txt
EC 3.2.1.8,"...tion of xylanase (1, 4-β-d-xylan xylanohydrolase, EC 3.2.1.8) and β-xylosidase (β-d-xyloside xylohyd...",9,356,3_Biotech_2013_Jun_18_3(3)_241-246.txt
EC 3.2.1.8,"...tion of xylanase (1, 4-β-d-xylan xylanohydrolase, EC 3.2.1.8) and β-xylosidase (β-d-xyloside xylohyd...",9,356,3_Biotech_2013_Jun_18_3(3)_241-246.txt
EC 3.2.1.8,"...oup of enzymes mainly consisting of endoxylanase (EC 3.2.1.8) which primarily cleaves β-1, 4 linked ...",9,67,3_Biotech_2013_Apr_26_3(2)_127-136.txt
EC 3.2.1.8,"...oup of enzymes mainly consisting of endoxylanase (EC 3.2.1.8) which primarily cleaves β-1, 4 linked ...",9,67,3_Biotech_2013_Apr_26_3(2)_127-136.txt
EC 3.2.1.8,"...rst presented by Viikari et al. (1994). Xylanase (EC 3.2.1.8), a hydrolytic enzyme, is being used pr...",11,440,3_Biotech_2013_Aug_10_3(4)_277-285.txt
EC 3.2.1.8,"...rst presented by Viikari et al. (1994). Xylanase (EC 3.2.1.8), a hydrolytic enzyme, is being used pr...",11,440,3_Biotech_2013_Aug_10_3(4)_277-285.txt
EC 3.2.1.8,...min under the standard assay condition. Xylanase (EC 3.2.1.8) activity was determined according to B...,34,1479,3_Biotech_2013_Oct_15_3(5)_365-372.txt
EC 3.2.1.8,...min under the standard assay condition. Xylanase (EC 3.2.1.8) activity was determined according to B...,34,1479,3_Biotech_2013_Oct_15_3(5)_365-372.txt
EC 3.2.1.8,"...res the cumulative action of endo-β-1,4-xylanase (EC 3.2.1.8), β-xylosidase (EC 3.2.1.37), and a ser...",10,374,3_Biotech_2014_Aug_18_4(4)_345-356.txt
EC 3.2.1.8,"...res the cumulative action of endo-β-1,4-xylanase (EC 3.2.1.8), β-xylosidase (EC 3.2.1.37), and a ser...",10,374,3_Biotech_2014_Aug_18_4(4)_345-356.txt
EC 3.2.1.8,"(1,4-β-xylan xylanohydrolase; EC 3.2.1.8), which release long and short xylo-oli...",58,31,3_Biotech_2015_Dec_3_5(6)_1053-1066.txt
EC 3.2.1.8,"(1,4-β-xylan xylanohydrolase; EC 3.2.1.8), which release long and short xylo-oli...",58,31,3_Biotech_2015_Dec_3_5(6)_1053-1066.txt
EC 3.2.1.8,"...res different xylanolytic enzymes, like xylanase (EC 3.2.1.8), β-xylosidase (EC 3.2.1.37), α-l-arabi...",16,388,PMC4980835.txt
EC 3.2.1.8,"...res different xylanolytic enzymes, like xylanase (EC 3.2.1.8), β-xylosidase (EC 3.2.1.37), α-l-arabi...",16,388,PMC4980835.txt
EC 3.2.1.8,"...terase) (Beg et al. 2001). Among them, xylanases (EC 3.2.1.8) deserve special attention as they degr...",15,518,PMC4987633.txt
EC 3.2.1.8,"...terase) (Beg et al. 2001). Among them, xylanases (EC 3.2.1.8) deserve special attention as they degr...",15,518,PMC4987633.txt
