matchedPattern,count
EC 5.3.2.6,1
EC 4.2.3.15,1
EC 3.4.17.12,1
EC 1.7.3.2,1
EC 5.4.3.5,1
EC 3.4.21.3,1
EC 2.4.1.40,1
EC 3.4.22.44,1
EC 3.1.3.62,1
EC 2.4.1.213,1
EC 1.14.20.1,1
EC 1.1.1.282,1
EC 1.2.1.81,1
EC 4.2.1.131,1
EC 1.1.2.2,1
EC 2.4.1.56,1
EC 1.14.13.160,1
EC 3.4.24.52,1
EC 2.4.1.29,1
EC 2.4.99.8,1
EC 1.1.99.31,1
EC 1.14.13.86,1
EC 3.3.1.91,1
EC 3.4.99.22,1
EC 4.2.1.114,1
EC 5.3.3.13,1
EC 4.2.1.127,1
EC 3.4.22.16,1
EC 2.4.1.83,1
EC 2.1.1.143,1
EC 1.13.11.9,1
EC 2.1.1.199,1
EC 3.5.4.22,1
EC 4.2.2.25,1
EC 3.5.1.34,1
EC 2.5.1.74,1
EC 2.7.7.48,1
EC 6.1.1.17,1
EC 2.5.1.78,1
EC 3.4.21.70,1
EC 4.1.2.3,1
EC 2.3.2.1,1
EC 1.1.1.179,1
EC 3.3.2.7,1
EC 3.4.21.38,1
EC 2.4.1.133,1
EC 5.5.1.26,1
EC 1.13.1.11,1
EC 2.5.1.41,1
EC 3.5.1.33,1
EC 6.2.1.22,1
EC 1.1.1.290,1
EC 3.5.1.59,1
EC 4.1.2.45,1
EC 1.14.99.25,1
EC 2.3.1.38,1
EC 1.11.1.3,1
EC 4.3.99.4,1
EC 4.2.3.2,1
EC 1.3.99.12,1
EC 1.16.13.11,1
EC 3.1.3.29,1
EC 2.1.1.18,1
EC 1.1.1.304,1
EC 6.2.1.27,1
EC 2.7.1.93,1
EC 3.4.3.12,1
EC 1.5.8.3,1
EC 2.1.1.159,1
EC 2.4.1.274,1
EC 3.13.1.3,1
EC 4.1.2.42,1
EC 3.4.11.19,1
EC 6.3.5.11,1
EC 3.6.1.52,1
EC 6.2.1.9,1
EC 1.2.3.13,1
EC 3.24.21.7,1
EC 1.8.98.1,1
EC 3.1.1.21,1
EC 2.7.1.46,1
EC 1.1.1.121,1
EC 3.5.2.11,1
EC 1.1.1.7,1
EC 4.3.1.9,1
EC 2.3.1.169,1
EC 1.8.3.5,1
EC 3.4.11.11,1
EC 6.3.1.6,1
EC 1.14.15.4,1
EC 2.7.7.63,1
EC 2.7.7.75,1
EC 4.1.3.13,1
EC 6.3.4.12,1
EC 1.14.14.11,1
EC 3.4.23.12,1
EC 4.1.2.54,1
EC 4.4.1.13,1
EC 5.4.4.1,1
EC 3.9.1.2,1
