matchedPattern,count
4.11.4.249,1
5.56.1.12,1
5.56.1.41,1
5.48.1.75,1
5.56.12.791,1
4.30.5.208,1
2.28.2.137,1
6.32.1.7,1
1.56.4.128,1
3.33.1.86,1
3.41.4.177,1
5.35.1.15,1
2.1.1.377,1
6.21.4.206,1
2.7.2.113,1
3.37.4.577,1
2.94.1.135,1
5.88.3.174,1
4.57.5.405,1
2.39.5.514,1
6.59.2.79,1
3.40.5.645,1
1.4.2.5,1
4.41.5.603,1
5.9.1.33,1
5.9.3.321,1
3.28.3.647,1
1.72.2.575,1
6.11.1.63,1
6.49.2.238,1
6.12.3.254,1
EC 2.7.7.48,1
3.87.4.418,1
1.17.4.410,1
EC 4.2.3.2,1
4.3.16.13,1
5.76.3.482,1
4.15.19.835,1
6.24.4.208,1
6.6.13.233,1
1.1.1.218,1
3.8.9.115,1
1.21.2.1,1
5.38.4.491,1
2.17.6.801,1
3.4.14.1,1
3.18.4.249,1
4.19.1.55,1
2.17.3.197,1
4.50.1.15,1
2.9.4.368,1
1.4.4.188,1
4.11.1.32,1
2.39.4.172,1
1.98.6.871,1
5.4.4.209,1
4.32.3.208,1
6.8.3.243,1
4.4.5.645,1
3.37.6.475,1
4.39.2.115,1
4.5.3.319,1
6.35.7.886,1
4.77.3.509,1
2.16.66.90,1
4.8.1.120,1
EC 4.1.2.54,1
3.30.1.283,1
EC 1.16.13.11,1
3.16.2.97,1
5.57.4.212,1
4.15.2.131,1
2.2.53.585,1
EC 3.4.3.12,1
1.41.2.227,1
4.56.2.199,1
6.78.4.293,1
4.60.5.685,1
3.92.2.643,1
3.19.2.77,1
3.9.1.48,1
4.56.2.246,1
4.42.3.93,1
3.82.4.646,1
5.33.2.81,1
1.41.2.165,1
6.34.3.200,1
4.98.1.44,1
EC 2.1.1.231,1
3.25.3.307,1
5.56.4.998,1
2.12.3.301,1
5.56.5.139,1
2.7.12.109,1
3.21.5.284,1
5.27.2.120,1
1.44.5.377,1
6.5.16.154,1
5.48.6.387,1
3.23.1.24,1
6.49.4.287,1
3.8.4.547,1
1.52.10.721,1
6.23.3.165,1
2.53.10.737,1
EC 3.2.1.77,1
4.55.7.446,1
2.4.52.44,1
2.21.16.958,1
4.14.1.39,1
5.31.2.57,1
3.24.4.383,1
6.28.4.529,1
EC 2.5.1.78,1
4.34.5.337,1
4.19.4.519,1
1.11.2.331,1
4.19.2.258,1
1.35.6.772,1
5.30.2.214,1
3.37.5.611,1
3.5.54.17,1
1.16.7.119,1
5.21.2.61,1
3.40.3.247,1
5.14.4.398,1
3.40.5.492,1
5.16.3.325,1
4.23.6.310,1
5.45.6.449,1
6.6.1.70,1
3.17.1.27,1
3.2.2.17,1
6.37.3.197,1
3.30.60.30,1
2.32.1.103,1
4.11.2.275,1
5.19.2.47,1
2.21.19.115,1
3.28.6.694,1
6.77.1.61,1
5.30.5.648,1
5.21.8.400,1
4.27.4.313,1
3.22.3.300,1
2.26.5.331,1
3.14.10.562,1
4.28.5.417,1
1.16.12.219,1
5.45.4.209,1
2.14.12.32,1
4.52.6.701,1
1.72.7.865,1
3.47.3.252,1
6.52.2.112,1
2.16.4.237,1
2.39.1.33,1
3.14.6.968,1
4.20.3.306,1
2.9.1.37,1
6.8.1.99,1
3.46.5.383,1
3.11.2.89,1
5.48.1.86,1
4.38.1.58,1
3.54.12.881,1
1.3.2.25,1
1.52.7.446,1
3.28.6.95,1
3.54.2.95,1
4.94.4.647,1
4.59.6.220,1
3.5.12.198,1
1.39.4.317,1
2.37.7.149,1
5.43.3.272,1
6.49.11.174,1
5.11.2.261,1
5.8.10.116,1
4.15.22.989,1
5.23.1.83,1
4.8.5.539,1
4.83.5.107,1
6.10.4.386,1
2.21.2.7,1
3.14.61.216,1
4.40.5.941,1
4.18.80.427,1
4.59.5.103,1
5.20.2.587,1
1.3.3.269,1
6.24.9.935,1
4.27.4.95,1
4.15.21.924,1
3.7.6.688,1
4.88.1.23,1
2.71.2.558,1
3.51.65.11,1
2.77.2.316,1
2.32.8.7,1
6.8.2.189,1
2.13.5.206,1
4.7.5.689,1
2.27.5.599,1
2.62.9.10,1
1.62.3.141,1
6.49.2.132,1
1.37.2.118,1
6.10.23.11,1
2.9.4.319,1
6.25.1.125,1
6.13.6.622,1
4.30.2.93,1
4.15.8.353,1
4.30.3.151,1
4.1.13.2,1
2.24.2.235,1
1.5.2.858,1
4.26.1.119,1
1.61.2.64,1
4.26.5.651,1
4.16.3.6,1
5.27.3.250,1
4.76.6.292,1
5.27.4.439,1
6.79.1.14,1
2.32.1.99,1
3.54.1.204,1
3.33.1.28,1
6.57.3.698,1
5.35.6.595,1
6.57.4.956,1
3.33.3.193,1
3.3.18.44,1
6.36.6.536,1
2.29.1.67,1
4.96.1.86,1
3.1.33.493,1
2.36.4.544,1
3.29.2.39,1
3.37.4.567,1
4.30.6.285,1
5.39.4.545,1
4.26.6.762,1
5.39.5.745,1
6.28.4.438,1
5.39.6.922,1
5.35.4.399,1
6.40.5.933,1
5.35.6.618,1
2.14.2.181,1
6.40.1.56,1
3.34.2.565,1
5.88.2.100,1
4.41.6.647,1
3.40.2.109,1
6.43.2.131,1
3.7.4.260,1
6.43.3.297,1
5.9.6.884,1
6.43.3.301,1
6.10.2.343,1
6.43.3.242,1
4.8.3.260,1
5.9.3.471,1
3.20.3.264,1
6.10.2.385,1
6.49.3.188,1
3.3.3.204,1
2.4.1.198,1
5.5.1.25,1
3.40.10.165,1
5.5.4.234,1
6.5.2.382,1
5.64.4.265,1
6.23.1.21,1
3.14.1.57,1
4.89.1.78,1
3.48.4.299,1
1.1.41.524,1
3.48.4.287,1
4.2.6.677,1
5.50.2.87,1
EC 3.1.3.62,1
EC 2.1.1.18,1
6.52.3.217,1
EC 5.4.4.1,1
5.51.3.135,1
3.1.4.43,1
5.8.3.230,1
1.1.67.568,1
6.5.2.138,1
4.9.20.1,1
3.5.2.105,1
5.16.11.449,1
