matchedPattern,count
5.27.5.612,1
6.28.1.98,1
1.1.97.504,1
6.28.4.444,1
3.3.13.148,1
1.2.89.610,1
5.31.2.57,1
6.36.6.521,1
6.28.4.529,1
1.35.4.587,1
4.34.5.337,1
2.36.3.311,1
1.11.2.331,1
3.37.2.280,1
1.35.6.772,1
2.9.19.4,1
3.37.5.611,1
3.37.5.658,1
1.16.7.119,1
5.39.6.971,1
3.40.3.247,1
5.89.2.61,1
3.40.5.492,1
6.43.6.506,1
4.23.6.310,1
5.9.1.147,1
6.6.1.70,1
5.9.1.90,1
3.2.2.17,1
2.2.3.223,1
3.30.60.30,1
6.6.3.139,1
4.11.2.275,1
1.20.50.40,1
2.21.19.115,1
EC 3.1.2.3,1
6.77.1.61,1
2.74.1.79,1
5.21.8.400,1
1.9.1.139,1
3.22.3.300,1
6.51.2.142,1
3.14.10.562,1
4.47.12.193,1
1.16.12.219,1
5.1.2.173,1
2.14.12.32,1
3.2.1.98,1
1.72.7.865,1
1.1.16.151,1
6.52.2.112,1
2.21.16.958,1
2.39.1.33,1
2.13.5.199,1
4.20.3.306,1
EC 1.1.1.55,1
6.8.1.99,1
3.2.-.-,1
3.11.2.89,1
1.20.3.269,1
4.38.1.58,1
4.75.3.478,1
1.3.2.25,1
1.20.18.116,1
3.28.6.95,1
1.19.4.237,1
4.94.4.647,1
4.45.2.135,1
3.5.12.198,1
5.57.3.813,1
2.37.7.149,1
6.22.2.317,1
6.49.11.174,1
3.8.1.53,1
5.8.10.116,1
3.14.10.592,1
5.23.1.83,1
1.4.3.18,1
4.83.5.107,1
3.38.1.522,1
2.21.2.7,1
2.2.7.9,1
4.40.5.941,1
5.29.2.97,1
4.59.5.103,1
2.45.3.235,1
1.3.3.269,1
4.47.4.341,1
4.27.4.95,1
4.7.2.126,1
3.7.6.688,1
3.40.3.131,1
2.71.2.558,1
5.21.4.352,1
2.77.2.316,1
5.7.2.234,1
6.8.2.189,1
5.7.4.430,1
4.44.4.263,1
1.22.2.51,1
4.29.2.295,1
5.18.3.11,1
2.19.2.153,1
1.20.1.118,1
5.23.2.59,1
6.40.4.272,1
5.17.3.166,1
2.36.6.404,1
1.11.4.225,1
4.38.38.24,1
2.36.2.211,1
4.4.1.22,1
4.25.2.124,1
4.22.1.81,1
5.20.2.316,1
