matchedPattern,context,lineNumber,columnNumber,publicationName
1.10.3.2,"... Laccases (benzenediol:oxygen oxidoreductase, E.C.1.10.3.2) are copper-containing oxidoreductases pr...",17,882,3_Biotech_2015_Dec_10_5(6)_911-924.txt
EC 3.2.1.26,Invertases [β-d-fructofuranoside fructohydrolase (EC 3.2.1.26)] are disaccharidases which belong to ...,10,51,PMC4909026.txt
EC 3.2.1.78,"...tion of β-mannanase (1,4-β-mannan mannohydrolases EC 3.2.1.78), which releases manno-oligosaccharide...",18,120,PMC4912962.txt
1.2.2.213,"...droxy­methyl-10-meth­oxy-17,22-dioxapenta­cyclo­[21.2.2.213,16.13,7.011,30]triaconta-1(25),3,5,7(30)...",3,325,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2012_Jul_28_68(Pt_8)_o2598-o2599.txt
3.2.8.1,"...ed in CHO-K1 cells with 1.5 mM NB-DNJ (a), CHO Lec3.2.8.1 cells with 0.5 mM NB-DNJ (b), CHO-K1 cells...",69,151,Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun_2011_Jun_30_67(Pt_7)_785-789.txt
2.1.2.2,2.1.2.2 GNP technolog,43,1,Acta_Pharm_Sin_B_2015_Jan_12_5(1)_38-46.txt
1.3.1.8,1.3.1.8	PF11_0370	—	—,165,1,Adv_Bioinformatics_2011_Mar_29_2011_743782.txt
2.3.1.181,2.3.1.181	MAL8P1.37	Lipoyl(octanoyl) transferase	—...,169,1,Adv_Bioinformatics_2011_Mar_29_2011_743782.txt
1.11.1.7,"...roxidases (PODs) (donor: H2O2 oxidoreductase, EC: 1.11.1.7) belong to a large family of enzymes whic...",18,53,Adv_Biomed_Res_2015_Jul_27_4_159.txt
6.2.4.317,...ns Pharmacogenomics 2001 2 317 327 10.1517/14622416.2.4.317 11722282,381,148,Adv_Ther_2016_Jul_12_33(9)_1461-1480.txt
2.24.6.574,... AIDS Educ Prev 2012 24 6 574 581 10.1521/aeap.2012.24.6.574 23206205,2186,245,AIDS_Behav_2016_Nov_13_20_880-918.txt
4.51.6.117,...nd Social Psychology  6 1173 1182 10.1037/0022-3514.51.6.1173 3806354,142,241,AIDS_Care_2016_May_26_28(sup2)_16120-167.txt
3.39.6.799,...Drugs Today (Barc) 2003 39 451 468 10.1358/dot.2003.39.6.799450 12944997,378,277,Allergo_J_Int_2014_May_9_23(3)_87-95.txt
4.6.1.95,...c Allergy and Respiratory Disease 10.4168/aair.2014.6.1.95Case ReportA Case of Codeine Induced Anaph...,3,255,Allergy_Asthma_Immunol_Res_2014_Jan_3_6(1)_95-97.txt
4.6.2.156,...c Allergy and Respiratory Disease 10.4168/aair.2014.6.2.156Original ArticleCross-reactivity to Aceta...,3,255,Allergy_Asthma_Immunol_Res_2014_Mar_13_6(2)_156-162.txt
EC 3.4.99.11,...nus Bacillus (Gobinath et al. 2014). Keratinases (EC 3.4.99.11) are serine- or metalloproteases (Gup...,12,976,AMB_Express_2016_Jun_30_6_42.txt
4.88.7.688,...ium wilt Plant Dis 2004 3 688 694 10.1094/PDIS.2004.88.7.688,160,164,AMB_Express_2013_Aug_17_3_46.txt
2.62.2.10,...Concord BioScience 2012 62 170 181 10.1525/bio.2012.62.2.10,168,212,Ambio_2015_Jan_9_44(Suppl_1)_69-77.txt
2.37.7.151,... and Oceanography 1992 37 1512 1526 10.4319/lo.1992.37.7.1512,217,193,Ambio_2015_Mar_15_44(Suppl_2)_228-240.txt
2.6.1.2,"...ed plants. Upon waterlogging, AlaAT activity (E.C.2.6.1.2) in roots of both nodulated and non-nodula...",72,171,Amino_Acids_2010_Oct_23_39(4)_1043-1053.txt
2.6.1.2,"... rather than being alanine aminotransferases (E.C.2.6.1.2). However, this prediction of enzyme funct...",90,845,Amino_Acids_2010_Oct_23_39(4)_1043-1053.txt
6.16.4.445,...pert Opin Ther Pat 2006 16 445 458 10.1517/13543776.16.4.445,108,128,Amino_Acids_2011_Feb_4_40(2)_731-740.txt
EC 2.1.1.13,"...l-l-glutamate:l-homocysteine-S-methyltransferase; EC 2.1.1.13), present in the cytoplasm, converts h...",29,398,Am_J_Clin_Nutr_2011_Jul_94(1)_359S-365S.txt
3.46.4.291,...73Korean Association of Anatomists 10.5115/acb.2013.46.4.291Case ReportApplied AnatomyRadiological a...,3,120,Anat_Cell_Biol_2013_Dec_24_46(4)_291-295.txt
6.49.2.99,...73Korean Association of Anatomists 10.5115/acb.2016.49.2.99Original ArticleCell BiologyChanges in ex...,3,120,Anat_Cell_Biol_2016_Jun_24_49(2)_99-106.txt
6.49.4.249,...73Korean Association of Anatomists 10.5115/acb.2016.49.4.249Original ArticleApplied AnatomyAn osteol...,3,120,PMC5266103.txt
1.2.7.2,...oducts; GO enrichment analysis. R package version 1.2.7.2. Available at: http://CRAN.R-project.org/p...,171,158,Andrology_2013_Nov_28_1(6)_822-829.txt
2.42.8.521,...ry. Korean Circ J. 2012 42 8 521 7 10.4070/kcj.2012.42.8.521 2297744,119,228,Anesth_Pain_Med_2015_Apr_20_5(2)_e19707.txt
1.35.6.833,... Ann Rehabil Med. 2011 35 6 833 43 10.5535/arm.2011.35.6.833 22506212,336,197,Anesth_Pain_Med_2015_Aug_22_5(4)_e29716.txt
2.31.2.199,...ject Rangifer. Spec. Issue 2011 19 97 102 10.7557/2.31.2.1994,114,139,PMC5295152.txt
3.29.2.83,...he Korean Society of Coloproctology 10.3393/ac.2013.29.2.83Case ReportAdenosquamous Carcinoma of the...,3,126,Ann_Coloproctol_2013_Apr_30_29(2)_83-86.txt
3.29.3.89,...he Korean Society of Coloproctology 10.3393/ac.2013.29.3.89EditorialClinical Significance of the Met...,3,126,Ann_Coloproctol_2013_Jun_30_29(3)_89-90.txt
4.30.5.237,...he Korean Society of Coloproctology 10.3393/ac.2014.30.5.237Case ReportIntramedullary Spinal Cord Me...,3,126,Ann_Coloproctol_2014_Oct_28_30(5)_237-240.txt
5.31.4.163,"...he Korean Society of Coloproctology 10.3393/ac.2015.31.4.163Letter to the EditorCommentary on \"Inser...",3,126,Ann_Coloproctol_2015_Aug_31_31(4)_163-164.txt
6.32.2.83,...he Korean Society of Coloproctology 10.3393/ac.2016.32.2.83Case ReportXanthogranulomatous Appendicit...,3,126,Ann_Coloproctol_2016_Apr_30_32(2)_83-86.txt
3.25.3.321,...ciety for Investigative Dermatology 10.5021/ad.2013.25.3.321Original ArticleAltered Levels of Sphing...,3,164,Ann_Dermatol_2013_Aug_13_25(3)_321-326.txt
4.26.2.256,...ciety for Investigative Dermatology 10.5021/ad.2014.26.2.256Letter to the EditorExpression of Cold-I...,3,164,Ann_Dermatol_2014_Apr_30_26(2)_256-258.txt
4.26.5.570,...ciety for Investigative Dermatology 10.5021/ad.2014.26.5.570Original ArticleDietary Pattern and Nutr...,3,164,Ann_Dermatol_2014_Oct_26_26(5)_570-575.txt
5.27.6.738,...ciety for Investigative Dermatology 10.5021/ad.2015.27.6.738Original ArticleTissue and Serum Inflamm...,3,164,Ann_Dermatol_2015_Dec_7_27(6)_738-743.txt
6.28.2.210,...ciety for Investigative Dermatology 10.5021/ad.2016.28.2.210Original ArticleThe Importance of Collag...,3,164,Ann_Dermatol_2016_Apr_31_28(2)_210-215.txt
5.9.1.109,...s Exp Rev Neurother 2009 9 109 136 10.1586/14737175.9.1.109,344,174,Ann_Gen_Psychiatry_2011_Jan_18_10_1.txt
2.32.1.79,...an Society for Laboratory Medicine 10.3343/alm.2012.32.1.79Brief CommunicationClinical MicrobiologyE...,3,120,Ann_Lab_Med_2012_Jan_20_32(1)_79-81.txt
2.32.5.339,...an Society for Laboratory Medicine 10.3343/alm.2012.32.5.339Original ArticleDiagnostic ImmunologyCha...,3,131,Ann_Lab_Med_2012_Sep_13_32(5)_339-344.txt
2.32.6.413,...an Society for Laboratory Medicine 10.3343/alm.2012.32.6.413Original ArticleClinical MicrobiologyClo...,3,131,Ann_Lab_Med_2012_Nov_17_32(6)_413-419.txt
3.33.3.217,...an Society for Laboratory Medicine 10.3343/alm.2013.33.3.217Case ReportDiagnostic GeneticsIdentifica...,3,131,Ann_Lab_Med_2013_May_17_33(3)_217-220.txt
