matchedPattern,context,lineNumber,columnNumber,publicationName
2.2.1.1,[EC:2.2.1.1],580,5,ACS_Chem_Biol_2014_Sep_19_9(9)_2032-2048.txt
2.2.1.1,2.2.1.1,369,2,Acta_Crystallogr_A_2013_Jan_1_69(Pt_1)_75-90.txt
2.2.1.1,"PFF0530w	Transketolase, putative	2.2.1.1 Transketolase	T2-2.2.1.3	Formaldehyde tran...",206,34,Adv_Bioinformatics_2011_Mar_29_2011_743782.txt
2.2.1.1,...ana” and EU Funded CM1001 and FRAILOMIC-HEALTH.2012.2.1.1-2 (To J.V) APM-03/15 from Conselleria de S...,174,370,PMC5270663.txt
2.2.1.1,2.2.1.1 MRI acquisitio,33,1,Alzheimers_Dement_(Amst)_2015_Dec_28_2_58-67.txt
2.2.1.1,2.2.1.1 “Old” group: 9–19 months ol,31,1,Alzheimers_Dement_(Amst)_2016_Feb_3_2_39-48.txt
2.2.1.1,2.2.1.1 Amyloid depositio,36,1,PMC5257031.txt
2.2.1.1,...tion within the recently defined variant subclade 2.2.1.1. published by WHO.1,15,425,AMIA_Jt_Summits_Transl_Sci_Proc_2014_Apr_7_2014_23-28.txt
2.2.1.1,"... populations to the viral diffusion of H5N1 clade 2.2.1.1 in Egypt (figure 1). Most notably, avian p...",48,97,AMIA_Jt_Summits_Transl_Sci_Proc_2014_Apr_7_2014_23-28.txt
2.2.1.1,...nen Y    Phylogeography of Influenza A H5N1 Clade 2.2.1.1 in Egypt Unpublished 2013,75,78,AMIA_Jt_Summits_Transl_Sci_Proc_2014_Apr_7_2014_23-28.txt
2.2.1.1,19. Arafa A   Egypt Clade 2.2.1.1. [online]. E-mail to Matthew Scotch (matth...,82,27,AMIA_Jt_Summits_Transl_Sci_Proc_2014_Apr_7_2014_23-28.txt
2.2.1.1,...nen Y    Phylogeography of influenza a H5N1 clade 2.2.1.1 in Egypt BMC Genomics 2013 14 1 871 243256...,111,76,AMIA_Jt_Summits_Transl_Sci_Proc_2015_Mar_23_2015_212-216.txt
2.2.1.1,2.2.1.1. Turn Mimetics as β-Hairpin Inducer,80,1,Angew_Chem_Int_Ed_Engl_2015_Jul_27_54(31)_8896-8927.txt
2.2.1.1,2.2.1.1. Production of [11C]CH3,29,1,Appl_Sci_(Basel)_2014_Mar_17_4(1)_66-78.txt
2.2.1.1,...thma and Clinical Immunology 10.5415/apallergy.2012.2.1.1EditorialAsthma in the elderly and aging so...,3,147,Asia_Pac_Allergy_2012_Jan_31_2(1)_1-2.txt
2.2.1.1,2.2.1.1. Participant,135,1,Behav_Sci_(Basel)_2014_Oct_13_4(4)_371-393.txt
2.2.1.1,2.2.1.1 Local coefficient of variatio,112,1,Bioinformatics_2015_Jun_15_31(12)_i375-i384.txt
2.2.1.1,...e added) activity. Erythrocyte transketolase (E.C.2.2.1.1) activity was assayed according to Hübner-...,84,569,Biol_Sport_2013_Jun_11_30(2)_117-123.txt
2.2.1.1,...2012-609EUCM1001European UnionFRAILOMIC-HEALTH.2012.2.1.1-,24,452,Biomed_Res_Int_2014_Apr_10_2014_580852.txt
2.2.1.1,...LIVA and EU Funded CM1001 and FRAILOMIC-HEALTH.2012.2.1.1-2. This study has been cofinanced by FEDER...,101,510,Biomed_Res_Int_2014_Apr_10_2014_580852.txt
