matchedPattern,context,lineNumber,columnNumber,publicationName
2.3.4.4,2.3.4.4 Extra observing lever presses (EOLPs,76,1,Behav_Brain_Res_2014_May_1_264(100)_207-229.txt
2.3.4.4,"...avian influenza virus containing an HA from clade 2.3.4.4 H5 viruses, a NA from H6N6 viruses, and 6 ...",49,226,BMC_Infect_Dis_2016_Oct_25_16_600.txt
2.3.4.4,"... with 5 Eurasian lineage genes, including a clade 2.3.4.4 goose/Guangdong/1996 lineage hemagglutinin...",5,269,BMC_Vet_Res_2016_Nov_22_12_260.txt
2.3.4.4,Highly pathogenic avian influenza virusClade 2.3.4.4 H5N2Turkey diseaseAvian influenza outbreak...,14,46,BMC_Vet_Res_2016_Nov_22_12_260.txt
2.3.4.4,...tinin (HA) gene was determined to belong to clade 2.3.4.4 of the goose/Guangdong/1996 (GS/GD/96) H5 ...,17,382,BMC_Vet_Res_2016_Nov_22_12_260.txt
2.3.4.4,...V and none with isolates from this lineage (clade 2.3.4.4 H5 isolates). Experimental pathogenesis st...,189,145,BMC_Vet_Res_2016_Nov_22_12_260.txt
2.3.4.4,"... N, Bodenstein B, White CL, Ip HS. Novel H5 Clade 2.3.4.4 Reassortant (H5N1) Virus from a Green-Wing...",223,108,BMC_Vet_Res_2016_Nov_22_12_260.txt
2.3.4.4,2.3.4.4 Cytochrome c as a Redo,760,1,Chem_Rev_2014_Apr_23_114(8)_4366-4469.txt
2.3.4.4,"...rth order subclades of 2.3.4.1, 2.3.4.2, 2.3.4.3, 2.3.4.4, 2.3.4.5, 2.3.4.6 over China [50] of which...",35,190,Clin_Exp_Vaccine_Res_2014_Jul_20_3(2)_117-127.txt
2.3.4.4,...l infection of HPAI (H5N8) virus containing clade 2.3.4.4 hemagglutinin (HA) have been reported in d...,19,239,PMC5292359.txt
2.3.4.4,...appearance of Eurasian highly pathogenic H5 clade 2.3.4.4 influenza A viruses in North American wate...,89,124,PMC5292359.txt
2.3.4.4,... Sharshov K  Swayne DE    Novel reassortant clade 2.3.4.4 avian influenza A(H5N8) virus in wild aqua...,90,61,PMC5292359.txt
2.3.4.4,...an A(H5N2) and A(H5N8) Influenza Viruses of Clade 2.3.4.4 from North America Have Limited Capacity f...,516,233,eLife_5_e18491.txt
2.3.4.4,...ly pathogenic avian influenza H5N1 and H5Nx clade 2.3.4.4 viruses with spatial cross-validation Dhin...,3,218,PMC5161450.txt
2.3.4.4,"...uracy. A global suitability model of the H5 clade 2.3.4.4 viruses, a group of viruses that recently ...",5,1083,PMC5161450.txt
2.3.4.4,"...his divergent HA group was updated as a new clade 2.3.4.4, in addition to two other new clades (Smit...",17,664,PMC5161450.txt
2.3.4.4,"...2015). From January 2014 onward, viruses of clade 2.3.4.4 started spreading internationally. The fir...",17,777,PMC5161450.txt
2.3.4.4,"...ll et al., 2015). In May 2014, a novel H5N6 clade 2.3.4.4 reassortant caused outbreaks in China and ...",17,980,PMC5161450.txt
2.3.4.4,...ined genes similar to those of the Eurasian clade 2.3.4.4 alongside genes from North American wild b...,17,1410,PMC5161450.txt
2.3.4.4,"...rica shared an H5 gene segment belonging to clade 2.3.4.4 (Claes et al., 2014; Food and Agriculture ...",17,2127,PMC5161450.txt
