matchedPattern,context,lineNumber,columnNumber,publicationName
2.6.1.1,"[EC:2.6.1.1]; GPI, glucose-6-phosphate isomerase [EC:5...",569,5,ACS_Chem_Biol_2014_Sep_19_9(9)_2032-2048.txt
2.6.1.1,"[EC:2.6.1.1]; GPI, glucose-6-phosphate isomerase [EC:5...",569,5,ACS_Chem_Biol_2014_Sep_19_9(9)_2032-2048.txt
2.6.1.1,"2.6.1.1), and acts as a competitive inhibitor in t...",163,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Sep_12_71(Pt_10)_o731-o732.txt
2.6.1.1,"Aspartate aminotransferase (C.E. 2.6.1.1), which catalyses the transamination of ox...",31,34,Acta_Naturae_2009_Oct_1(3)_29-51.txt
2.6.1.1,"Aspartate aminotransferase (C.E. 2.6.1.1), which catalyses the transamination of ox...",31,34,Acta_Naturae_2009_Oct_1(3)_29-51.txt
2.6.1.1," Aspartate aminotransferase (GOT, 2.6.1.1)	B	2.00",76,35,Acta_Trop_2006_Dec_100(3)_246-251.txt
2.6.1.1," Aspartate aminotransferase (GOT, 2.6.1.1)	B	2.00",76,35,Acta_Trop_2006_Dec_100(3)_246-251.txt
2.6.1.1,I and II	00155	I	aspartate TA	L-aspartate	α-KG	2.6.1.1	α,39,48,AMB_Express_2012_Jan_31_2_11.txt
2.6.1.1,I and II	00155	I	aspartate TA	L-aspartate	α-KG	2.6.1.1	α,39,48,AMB_Express_2012_Jan_31_2_11.txt
2.6.1.1,"...ions here: AAT (aspartate amino transferase, E.C. 2.6.1.1), ACO (aconitase; E.C. 4.2.1.3), GDH (glut...",56,275,Appl_Plant_Sci_2016_Mar_14_4(3)_apps_1500114.txt
2.6.1.1,...ermination of aspartate aminotransferase (AST; EC.2.6.1.1) and alanine aminotransferase activity (AL...,34,228,Arch_Environ_Contam_Toxicol_2013_Jul_11_65(4)_753-764.txt
2.6.1.1,...ermination of aspartate aminotransferase (AST; EC.2.6.1.1) and alanine aminotransferase activity (AL...,34,228,Arch_Environ_Contam_Toxicol_2013_Jul_11_65(4)_753-764.txt
2.6.1.1,"...C: 3.2.1.1), aspartate aminotransferase (AST; EC: 2.6.1.1), and alanine aminotransferase (ALT; EC: 2...",30,502,Asian-Australas_J_Anim_Sci_2013_Feb_26(2)_202-210.txt
2.6.1.1,"...C: 3.2.1.1), aspartate aminotransferase (AST; EC: 2.6.1.1), and alanine aminotransferase (ALT; EC: 2...",30,502,Asian-Australas_J_Anim_Sci_2013_Feb_26(2)_202-210.txt
2.6.1.1,2.6.1.1 Highest completed ratio and peak response ...,59,1,Behav_Brain_Res_2008_Dec_22_195(2)_223-230.txt
2.6.1.1,"...in and erythrocyte aspartic aminotransferase (E.C.2.6.1.1), and before and after adding pyridoxal-5’...",84,855,Biol_Sport_2013_Jun_11_30(2)_117-123.txt
2.6.1.1,"...in and erythrocyte aspartic aminotransferase (E.C.2.6.1.1), and before and after adding pyridoxal-5’...",84,855,Biol_Sport_2013_Jun_11_30(2)_117-123.txt
2.6.1.1,2.6.1.1	Aspartate aminotransferase	PFB0200c	Aspart...,129,1,Biomed_Res_Int_2014_Jan_9_2014_108516.txt
2.6.1.1,2.6.1.1	Aspartate aminotransferase	PFB0200c	Aspart...,129,1,Biomed_Res_Int_2014_Jan_9_2014_108516.txt
2.6.1.1,...ransaminase from porcine heart [GOT or AST] (E.C. 2.6.1.1) were purchased from Sigma-Aldrich (St. Lo...,32,215,Biosensors_(Basel)_2012_May_29_2(2)_234-244.txt
