matchedPattern,context,lineNumber,columnNumber,publicationName
2.9.3.2,"...Allelic richness and FIS were calculated in Fstat 2.9.3.2 [Goudet, 1995]",42,429,Am_J_Primatol_2015_Aug_10_77(8)_878-889.txt
2.9.3.2,...d each population using the program FSTAT version 2.9.3.2 (Goudet 1995). Departures from Hardy–Weinb...,143,279,AoB_Plants_2011_Aug_9_2011_plr021.txt
2.9.3.2,...breeding coefficient (Gis); and the Fstat version 2.9.3.2 (Goudet 2002) to calculate allelic richnes...,105,426,AoB_Plants_2014_Nov_10_6_plu070.txt
2.9.3.2,"...st gene diversities and fixation indices, Version 2.9.3.2 http://www2.unil.ch/popgene/softwares/fsta...",191,102,AoB_Plants_2014_Nov_10_6_plu070.txt
2.9.3.2,... We also computed the fixation index (F) in FSTAT 2.9.3.2 (Goudet 2002) and examined for null allele...,22,182,AoB_Plants_2013_Jan_28_5_plt006.txt
2.9.3.2,"...st gene diversities and fixation indices, version 2.9.3.2http://www2.unil.ch/popgen/softwares/fstat....",87,102,AoB_Plants_2013_Jan_28_5_plt006.txt
2.9.3.2,"...Checker 2.2.3 (van Oosterhout et al. 2004), FSTAT 2.9.3.2 and GENALEX 6 (Peakall and Smouse 2006). T...",84,392,AoB_Plants_2015_Aug_26_7_plv102.txt
2.9.3.2,FSTAT 2.9.3.2 software (Goudet 1995) was used to evaluat...,73,7,AoB_Plants_2016_Jan_14_8_plw002.txt
2.9.3.2,We used the FSTAT 2.9.3.2 software (Goudet 1995) to evaluate summary...,79,19,PMC4565426.txt
2.9.3.2,"2002  FSTAT version 2.9.3.2, a program to estimate and test gene diver...",136,21,Appl_Plant_Sci_2014_Feb_11_2(3)_apps_1300084.txt
2.9.3.2,"...e Bonferroni correction were performed with FSTAT 2.9.3.2 software (Goudet, 2002)",75,626,Appl_Plant_Sci_2014_May_7_2(5)_apps_1400016.txt
2.9.3.2,2002  FSTAT 2.9.3.2: A program to estimate and test gene diver...,131,13,Appl_Plant_Sci_2014_May_7_2(5)_apps_1400016.txt
2.9.3.2,"...ty parameters were calculated using FSTAT version 2.9.3.2 (Goudet, 1995). The number of alleles per ...",46,423,Appl_Plant_Sci_2014_Apr_4_2(4)_apps_1300100.txt
2.9.3.2,"... at each locus was calculated using FSTAT version 2.9.3.2 (Goudet, 1995). Three significant deviatio...",46,774,Appl_Plant_Sci_2014_Apr_4_2(4)_apps_1300100.txt
2.9.3.2,"...ach population were performed using FSTAT version 2.9.3.2 (Goudet, 1995). In the Antequera populatio...",55,383,Appl_Plant_Sci_2013_Oct_31_1(11)_apps_1300043.txt
2.9.3.2,"2002  FSTAT version 2.9.3.2, a program to estimate and test gene diver...",106,21,Appl_Plant_Sci_2013_May_7_1(6)_apps_1200493.txt
2.9.3.2,"...disequilibrium were conducted using FSTAT version 2.9.3.2 (Goudet, 1995). Significant deviations (P ...",74,122,Appl_Plant_Sci_2013_Apr_23_1(5)_apps_1200247.txt
2.9.3.2,"...c variation within populations. The program FSTAT 2.9.3.2 (Goudet, 1995) was used to calculate the o...",93,587,Appl_Plant_Sci_2013_Mar_22_1(4)_apps_1200413.txt
2.9.3.2,"...ity parameters were estimated using FSTAT version 2.9.3.2 (Goudet, 2002). Out of the 30 microsatelli...",20,1867,Appl_Plant_Sci_2013_Mar_28_1(4)_apps_1200445.txt
2.9.3.2,FSTAT (version 2.9.3.2.): A computer program to calculate F-stati...,140,16,Appl_Plant_Sci_2013_Mar_28_1(4)_apps_1200445.txt
