matchedPattern,context,lineNumber,columnNumber,publicationName
EC 1.15.1.1,...ned using BSA as a standard (Bradford 1976). SOD (EC 1.15.1.1) activity was determined by nitro blue...,29,401,3_Biotech_2015_Oct_4_5(5)_819-829.txt
EC 1.15.1.1,...ned using BSA as a standard (Bradford 1976). SOD (EC 1.15.1.1) activity was determined by nitro blue...,29,401,3_Biotech_2015_Oct_4_5(5)_819-829.txt
EC 1.15.1.1,SOD (EC 1.15.1.1) activities were determined by measuri...,47,6,PMC4988954.txt
EC 1.15.1.1,SOD (EC 1.15.1.1) activities were determined by measuri...,47,6,PMC4988954.txt
EC 1.15.1.1,"... (Li et al. 2012). The superoxide dismutase (SOD, EC 1.15.1.1) is used to arrest free radicals and t...",381,237,PMC4991975.txt
EC 1.15.1.1,"... (Li et al. 2012). The superoxide dismutase (SOD, EC 1.15.1.1) is used to arrest free radicals and t...",381,237,PMC4991975.txt
EC 1.15.1.1,SOD (EC 1.15.1.1) activity was measured spectrophotomet...,65,6,PMC5110483.txt
EC 1.15.1.1,SOD (EC 1.15.1.1) activity was measured spectrophotomet...,65,6,PMC5110483.txt
EC 1.15.1.1,"2.5. Superoxide Dismutase (SOD, EC 1.15.1.1",39,33,Adv_Hematol_2015_Aug_9_2015_961049.txt
EC 1.15.1.1,"2.5. Superoxide Dismutase (SOD, EC 1.15.1.1",39,33,Adv_Hematol_2015_Aug_9_2015_961049.txt
EC 1.15.1.1,"2.13. Superoxide Dismutase (SOD, EC 1.15.1.1",57,34,Adv_Hematol_2016_Feb_2_2016_4091461.txt
EC 1.15.1.1,"2.13. Superoxide Dismutase (SOD, EC 1.15.1.1",57,34,Adv_Hematol_2016_Feb_2_2016_4091461.txt
EC 1.15.1.1,Total (Cu-Zn and Mn) SOD (EC 1.15.1.1) activity was determined according to ...,69,27,Adv_Urol_2013_Sep_8_2013_836121.txt
EC 1.15.1.1,Total (Cu-Zn and Mn) SOD (EC 1.15.1.1) activity was determined according to ...,69,27,Adv_Urol_2013_Sep_8_2013_836121.txt
EC 1.15.1.1,Classification of superoxide dismutase (EC 1.15.1.1) isoforms was performed by non-denatur...,55,41,AMB_Express_2016_Sep_13_6(1)_70.txt
EC 1.15.1.1,Classification of superoxide dismutase (EC 1.15.1.1) isoforms was performed by non-denatur...,55,41,AMB_Express_2016_Sep_13_6(1)_70.txt
EC 1.15.1.1,Superoxide dismutase (EC 1.15.1.1) (SOD) activity was determined accordi...,29,23,Antioxidants_(Basel)_2013_Jul_24_2(3)_100-109.txt
EC 1.15.1.1,Superoxide dismutase (EC 1.15.1.1) (SOD) activity was determined accordi...,29,23,Antioxidants_(Basel)_2013_Jul_24_2(3)_100-109.txt
EC 1.15.1.1,SOD (EC 1.15.1.1) activity was assayed by the NBT test ...,54,6,Antioxidants_(Basel)_2014_Feb_24_3(1)_81-98.txt
EC 1.15.1.1,SOD (EC 1.15.1.1) activity was assayed by the NBT test ...,54,6,Antioxidants_(Basel)_2014_Feb_24_3(1)_81-98.txt
