matchedPattern,context,lineNumber,columnNumber,publicationName
EC 2.5.1.18,"...25 °C, as detailed earlier (Talukdar 2013). GSTs (EC 2.5.1.18) specific activity was assayed followi...",29,1274,3_Biotech_2015_Oct_4_5(5)_819-829.txt
EC 2.5.1.18,...and peroxidases. Glutathione S-transferases (GST; EC 2.5.1.18) are 20-30kDa enzymes that catalyze gl...,38,220,Acta_Naturae_2009_Apr_1(1)_68-79.txt
EC 2.5.1.18,...idative stress. Glutathione S-transferases (GSTs; EC 2.5.1.18) belong to a superfamily of ubiquitous...,14,171,Asian_J_Androl_2015_Dec_5_May-Jun_17(3)_481-486.txt
EC 2.5.1.18,Glutathione transferases (GSTs; EC 2.5.1.18) belong to a large group of detoxifica...,18,33,Biochem_Res_Int_2016_Jan_26_2016_2516092.txt
EC 2.5.1.18,GSTs (EC 2.5.1.18) are a famil,59,7,Bioconjug_Chem_2014_Oct_15_25(10)_1902-1909.txt
EC 2.5.1.18,...d as nmol NADPH oxidized min−1 mg−1 protein. GST (EC 2.5.1.18) activity was assayed in a reaction mi...,30,1657,Biomed_Res_Int_2014_May_28_2014_479180.txt
EC 2.5.1.18,"...ng alcohols [9]. Glutathione-S-transferase (GST) (EC 2.5.1.18), another antioxidant enzyme family, i...",11,1595,Biomed_Res_Int_2015_Jan_22_2015_486120.txt
EC 2.5.1.18,"Glutathione transferase (GST) (EC 2.5.1.18) is a multifunctional enzyme, which pr...",15,32,BMC_Biochem_2009_Mar_16_10_6.txt
EC 2.5.1.18,"... ortholog to the human glutathione S-transferase (EC 2.5.1.18), a central component of this pathway,...",143,230,BMC_Bioinformatics_2010_Aug_9_11_417.txt
EC 2.5.1.18,"....07	5,44	27	(P09211) Glutathione S-transferase P (EC 2.5.1.18)",145,68,BMC_Cancer_2010_Feb_24_10_66.txt
EC 2.5.1.18,"...OD; EC 1.15.1.1), glutathione-s-transferase (GST; EC 2.5.1.18), glutathione reduced (GSH), malondial...",29,330,BMC_Complement_Altern_Med_2015_Jul_25_15_251.txt
EC 2.5.1.18,... using the method described by Beutler [22]. GST (EC 2.5.1.18) was assayed at 25 oC spectrophotometr...,46,343,BMC_Complement_Altern_Med_2016_Jul_21_16_232.txt
EC 2.5.1.18,Glutathione transferases (GSTs; EC 2.5.1.18) comprise a superfamily of genes encod...,17,33,BMC_Evol_Biol_2010_Sep_15_10_281.txt
EC 2.5.1.18,Gstm3	glutathione S- transferase mu 3 (EC 2.5.1.18)	J03953	2.16	0.0000	1.04	0.8458	1.30	0...,152,40,BMC_Genomics_2006_Oct_19_7_266.txt
EC 2.5.1.18,Gstm3	glutathione S- transferase mu 3 (EC 2.5.1.18) 	J03953	2.21	0.0000	-1.01	0.9793	1.31...,195,40,BMC_Genomics_2006_Oct_19_7_266.txt
EC 2.5.1.18,map00480 Glutathione metabolism	EC 2.5.1.18,221,33,BMC_Genomics_2006_Apr_11_7_79.txt
EC 2.5.1.18,Glutathione S-transferase GST 11 (EC 2.5.1.18)	Q9FQE7,415,36,BMC_Genomics_2008_Nov_24_9_553.txt
EC 2.5.1.18,"Glutathione S-transferases (EC 2.5.1.18; GSTs), also known as glutathione tran...",402,29,BMC_Genomics_2010_Mar_22_11_190.txt
EC 2.5.1.18,"Glutathione transferases (GSTs, EC 2.5.1.18), formerly known as glutathione S-tran...",13,33,BMC_Genomics_2010_Jan_29_11_73.txt
EC 2.5.1.18,....048	Similar to Glutathione S-transferase GST 23 (EC 2.5.1.18) (Fragment).,56,71,BMC_Genomics_2012_Jan_31_13_49.txt
