matchedPattern,context,lineNumber,columnNumber,publicationName
EC 2.6.1.1,"...the reaction mechanism of aspartate transaminase (EC 2.6.1.1) has been studied extensively, which is...",31,579,AMB_Express_2012_Jan_31_2_11.txt
EC 2.6.1.1,"...luding cytosolic aspartate aminotransferase (AST, EC 2.6.1.1), alanine aminotransferase (ALT, EC 2.6...",54,389,Biomagn_Res_Technol_2004_Jan_31_2_1.txt
EC 2.6.1.1,"...erase (EC 3.1.1.7), aspartate transaminase (AST) (EC 2.6.1.1), alanine transaminase (ALT) (EC 2.6.1....",37,66,Biomed_Res_Int_2013_Jun_26_2013_376051.txt
EC 2.6.1.1,"...erase (EC 2.5.1.13), aspartate aminotransferases (EC 2.6.1.1.), alanine aminotransferases (EC 2.6.1....",30,264,Biomed_Res_Int_2013_Dec_5_2013_859085.txt
EC 2.6.1.1,"...classified enzymes are always present: the AspAT (EC 2.6.1.1) and the SHMT (EC 2.1.2.1), which under...",51,152,Biomed_Res_Int_2014_Jan_9_2014_108516.txt
EC 2.6.1.1,"...rmany) kits and aspartate aminotransferase (AST) (EC 2.6.1.1), alanine aminotransferase (ALT) (EC 2....",39,155,Biomed_Res_Int_2014_Jun_5_2014_698628.txt
EC 2.6.1.1,"...he activities of aspartate aminotransferase (AST; EC 2.6.1.1), alanine aminotransferase (ALT; EC 2.6...",29,91,Biomed_Res_Int_2014_Jun_18_2014_435857.txt
EC 2.6.1.1,"...LT, EC 2.6.1.2), aspartate aminotransferase (AST, EC 2.6.1.1), and alkaline phosphatase (AP, EC 3.1....",32,579,Biotechnol_Res_Int_2010_Sep_1_2011_907546.txt
EC 2.6.1.1,"...ransferase) and aspartate amino transferase (AST, EC 2.6.1.1, also known as glutamate oxaloacetate a...",16,2030,BMC_Complement_Altern_Med_2003_Oct_22_3_7.txt
EC 2.6.1.1,... A524-780TM) and aspartate aminotransferase (AST; EC 2.6.1.1) (Cat. No. A559-780TM) concentrations w...,37,876,BMC_Complement_Altern_Med_2014_May_13_14_156.txt
EC 2.6.1.1,"...measurements of aspartate aminotransferases (AST; EC 2.6.1.1.), alanine aminotransferases (ALT; EC 2...",29,87,BMC_Complement_Altern_Med_2015_Jul_25_15_251.txt
EC 2.6.1.1,"Serum enzyme activities (AST (EC 2.6.1.1), ALT (E.C 2.6.1.2), and GGT (E.C. 2.3....",49,31,BMC_Complement_Altern_Med_2016_Jul_21_16_232.txt
EC 2.6.1.1,"....7.4.3), ADH (EC 1.1.1.1), ALP (EC 3.1.3.1), ATT (EC 2.6.1.1), EST (EC 3.1.1.1), HEX (EC 2.7.1.1), L...",187,700,BMC_Ecol_2005_Jun_29_5_5.txt
EC 2.6.1.1,...ormerly called glutamate-oxaloacetate transamine; EC 2.6.1.1). Five additional homologs are describe...,23,379,BMC_Evol_Biol_2013_Jul_12_13_148.txt
EC 2.6.1.1,...al phosphate (PLP)-dependent transaminase enzyme (EC 2.6.1.1) and catalyzes the interconversion of a...,23,132,BMC_Genet_2013_Sep_4_14_77.txt
EC 2.6.1.1,"...c allozyme loci: Aspartate aminotransferase (Aat; EC 2.6.1.1), Glucose-6-phosphate isomerase (Gpi; E...",36,516,BMC_Genet_2016_Jul_2_17_100.txt
EC 2.6.1.1,Aspartate aminotransferases (ASPs or AATs; EC 2.6.1.1) catalyse the transfer of the α-amino g...,227,44,BMC_Genomics_2010_Mar_22_11_190.txt
EC 2.6.1.1,EC 2.6.1.1	Aspartate aminotransferase (AST)	4,87,1,BMC_Genomics_2013_Feb_16_14_107.txt
EC 2.6.1.1,"...ns with the enzymatic activities EC 1.14.16.1 and EC 2.6.1.1, showing significantly increased levels...",62,157,BMC_Genomics_2013_Apr_10_14_235.txt
EC 2.6.1.1,"...09) encode for the enzyme aspartate transaminase (EC 2.6.1.1), which catalyzes the synthesis of phen...",64,139,BMC_Genomics_2013_Apr_10_14_235.txt
