matchedPattern,context,lineNumber,columnNumber,publicationName
EC 3.1.1.3,"... lipases. Lipases (triacylglycerol acylhydrolase, EC 3.1.1.3) are produced by microorganisms, plants...",13,610,3_Biotech_2015_Oct_7_5(5)_715-725.txt
EC 3.1.1.3,Lipases (EC 3.1.1.3) from different organisms were reported...,14,10,3_Biotech_2016_Dec_11_6(1)_24.txt
EC 3.1.1.3,"Lipases (triacylglycerol acylhydrolases, EC 3.1.1.3) are enzymes that catalyse the hydrolys...",12,42,PMC4909032.txt
EC 3.1.1.3,"...e poisoning, respectively (Okafor 2007). Lipases (EC 3.1.1.3) are the most frequently used enzymes i...",249,573,PMC4991975.txt
EC 3.1.1.3,(EC 3.1.1.3) are the most used biocatalyst for this...,139,2,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2011_Sep_30_67(Pt_10)_o2778.txt
EC 3.1.1.3,".... A lipase solution from Thermomyces lanuginosus (EC 3.1.1.3., minimum 105 units/g) was purchased fr...",29,340,Acta_Orthop_2009_Oct_1_80(5)_514-519.txt
EC 3.1.1.3,...mmercial suppliers and used as received. Lipases (EC 3.1.1.3) were from Amano Enzyme Inc. or Sigma–A...,49,81,Adv_Synth_Catal_2014_Mar_24_356(5)_987-992.txt
EC 3.1.1.3,"... The Lip1 protein belongs to triglyceride lipase (EC 3.1.1.3), which hydrolyzes the ester bond of tr...",39,735,Ann_Dermatol_2013_Aug_13_25(3)_310-314.txt
EC 3.1.1.3,TGL3	YMR313c	YALI0D17534g	EC 3.1.1.3	Triacylglycerol lipase,125,27,Appl_Microbiol_Biotechnol_2012_Feb_2_93(4)_1523-1537.txt
EC 3.1.1.3,TGL4	YKR089c	YALI0F10010g	EC 3.1.1.3	Triacylglycerol lipase,126,27,Appl_Microbiol_Biotechnol_2012_Feb_2_93(4)_1523-1537.txt
EC 3.1.1.3,TGL5	YOR081c		EC 3.1.1.3	Triacylglycerol lipase,127,15,Appl_Microbiol_Biotechnol_2012_Feb_2_93(4)_1523-1537.txt
EC 3.1.1.3,"... such as carboxylesterases (EC 3.1.1.1), lipases (EC 3.1.1.3), and cellulases (EC 3.2.1.4) are attra...",13,1815,Appl_Microbiol_Biotechnol_2015_Aug_13_99(23)_10031-10046.txt
EC 3.1.1.3,"...er microbial lipases (triacylglycerol hydrolases, EC 3.1.1.3) belong to the family of α/β hydrolases...",17,438,Appl_Microbiol_Biotechnol_2016_Oct_17_100_1265-1273.txt
EC 3.1.1.3,...s)esterification reactions. Triaglycerol lipases (EC 3.1.1.3) are most commonly used due to their br...,17,123,Appl_Microbiol_Biotechnol_2016_Jun_8_100_6519-6543.txt
EC 3.1.1.3,"...ificity [4]. Lipases (triacyl glycerol hydrolases EC 3.1.1.3) catalyze hydrolysis, esterification, t...",13,525,PMC2686314.txt
EC 3.1.1.3,"Lipases (EC 3.1.1.3, triacylglycerol lipase) exist as profi...",11,10,Biochem_Res_Int_2016_Mar_31_2016_4101059.txt
EC 3.1.1.3,"...5,56]). LPL (EC 3.1.1.34) and hepatic lipase (HL, EC 3.1.1.3), abundant proteins in the space of Dis...",31,690,Biochim_Biophys_Acta_2012_Jan_1821(1)_113-123.txt
EC 3.1.1.3,"...e ester bonds and embrace, among others, lipases (EC 3.1.1.3) and sterol esterases (EC 3.1.1.13). Th...",11,111,Bioengineered_2013_Jul_1_4(4)_249-253.txt
EC 3.1.1.3,"... electric ray and also in triacylglycerol lipase (EC 3.1.1.3) from yeast. As before, the word repres...",115,182,Bioinform_Biol_Insights_2009_Nov_24_1_101-126.txt
EC 3.1.1.3,"...levated temperatures [1, 2]. Among them, lipases (EC 3.1.1.3), the enzymes that catalyze both the sy...",8,284,Biomed_Res_Int_2013_May_8_2013_703130.txt
