matchedPattern,context,lineNumber,columnNumber,publicationName
EC 3.1.1.7,Acetylcholinesterase (AChE; EC 3.1.1.7) is a key enzyme in the nervous system,155,29,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2013_Feb_2_69(Pt_3)_o326-o327.txt
EC 3.1.1.7,...olinesterases (ChEs): acetylcholinesterase (AChE; EC 3.1.1.7) and butyrylcholinesterase (Fig. 2). AC...,30,199,Acta_Naturae_2009_Apr_1(1)_68-79.txt
EC 3.1.1.7,acetylcholinesterases (AChEs; EC 3.1.1.7) and butyrylcholinesterases (BChEs; EC ...,52,31,Acta_Pharmacol_Sin_2012_Jul_11_33(7)_964-978.txt
EC 3.1.1.7,"...c-eel AChE (Torpedo californica type VI-S, Sigma, EC 3.1.1.7), horse-serum BChE (EC 3.1.1.8), acetyl...",35,152,Acta_Pharmacol_Sin_2015_Jul_4_36(7)_879-886.txt
EC 3.1.1.7,"...tion of the critical enzyme acetylcholinesterase (EC 3.1.1.7), with the resulting excess acetylcholi...",18,834,Arch_Med_Sci_2013_Apr_20_9(2)_368-371.txt
EC 3.1.1.7,"...ion containing human acetylcholinesterase (hAChE, EC 3.1.1.7), acetylthiocholine (ATCh) and 5,5'-dit...",54,616,PMC3252857.txt
EC 3.1.1.7,"...for human erythrocyte acetylcholinesterase (AChE, EC 3.1.1.7) were prepared according to the procedu...",141,311,PMC3252857.txt
EC 3.1.1.7,"EC 3.1.1.7) and butyrylcholinesterase (BuChE, EC 3...",44,1,Biochemistry_2012_Sep_11_51(36)_7046-7053.txt
EC 3.1.1.7,"AChE, acetylcholinesterase (EC 3.1.1.7)BChE, butyrylcholinesterase (EC 3.1.1.8...",11,29,Biochem_Pharmacol_2009_Sep_1_78(5)_531-537.txt
EC 3.1.1.7,... red blood cell (RBC) acetylcholinesterase (AChE; EC 3.1.1.7) from healthy donors in vitro. It had b...,17,229,Biochem_Pharmacol_2009_Sep_1_78(5)_531-537.txt
EC 3.1.1.7,"...es inhibit the enzyme acetylcholinesterase (AChE, EC 3.1.1.7) which is involved in the proper functi...",16,1020,Biochem_Res_Int_2013_Dec_9_2013_731501.txt
EC 3.1.1.7,"Acetylcholinesterase (EC 3.1.1.7), also known as AChE, is the most essen...",18,23,Biochem_Res_Int_2014_May_14_2014_705451.txt
EC 3.1.1.7,... the N-terminal regions of acetylcholin-esterase (EC 3.1.1.7) from mouse and the electric ray and al...,115,102,Bioinform_Biol_Insights_2009_Nov_24_1_101-126.txt
EC 3.1.1.7,"Acetylcholinesterase (EC 3.1.1.7), aspartate transaminase (AST) (EC 2.6....",37,23,Biomed_Res_Int_2013_Jun_26_2013_376051.txt
EC 3.1.1.7,Acetylcholinesterase (AChE; EC 3.1.1.7) terminates signaling at cholinergic sy...,8,29,Biomed_Res_Int_2013_Nov_4_2013_236850.txt
EC 3.1.1.7,"...ctric eel acetylcholinesterase (Ache) (Type-VI-S, EC 3.1.1.7), and amphotericin B were purchased fro...",39,113,Biomed_Res_Int_2014_May_15_2014_903529.txt
EC 3.1.1.7,...hypothesis targeting acetylcholinesterase (AChE) (EC 3.1.1.7) enzyme is one of the major therapeutic...,12,838,Biomed_Res_Int_2014_Jun_25_2014_291214.txt
EC 3.1.1.7,"...d: acetylcholinesterase (acetylcholine hydrolase, EC 3.1.1.7, acetylcholinesterase from human erythr...",16,95,Biosci_Rep_2016_Mar_16_36(2)_e00311.txt
EC 3.1.1.7,...itor sensitivity. The acetylcholinesterase (AChE; EC 3.1.1.7) specifically catalyses the hydrolysis ...,13,279,BMC_Biochem_2000_Dec_20_1_3.txt
EC 3.1.1.7,"Acetylcholinesterase (AChE, EC 3.1.1.7) is a serine hydrolase, which catalyzes...",13,29,BMC_Biochem_2002_Jul_30_3_21.txt
