matchedPattern,context,lineNumber,columnNumber,publicationName
EC 3.2.1.21,β-Glucosidase (EC 3.2.1.21) together with endoglucanase (EC 3.2.1...,9,16,3_Biotech_2013_Oct_6_3(5)_381-388.txt
EC 3.2.1.21,"β-glucosidase (or β-d-glucoside glucohydrolase, EC 3.2.1.21) hydrolyzes cellobiose and other very ...",142,49,3_Biotech_2015_Aug_21_5(4)_337-353.txt
EC 3.2.1.21,"... β-glucosidase (1,4-β-d-glucoside glucohydrolase, EC 3.2.1.21) and α-galactosidase (1,4-α-d–galactos...",18,407,PMC4912962.txt
EC 3.2.1.21,"...nases or CMCases (EC 3.2.1.4) and β-glucosidases (EC 3.2.1.21), acting synergistically to convert co...",12,868,PMC4978645.txt
EC 3.2.1.21,... acid phosphatase (EC 3.1.3.2) and β-glucosidase (EC 3.2.1.21) were determined as described by Eivaz...,62,66,PMC5009054.txt
EC 3.2.1.21,"..., and β-glucosidases [β-d-glucohydrolases (BGLs); EC 3.2.1.21] (Garvey et al. 2013). EGs and CBHs sy...",13,1367,PMC5095100.txt
EC 3.2.1.21,and β-glucosidases (EC 3.2.1.21).,63,21,ACS_Chem_Biol_2014_Sep_19_9(9)_2082-2091.txt
EC 3.2.1.21,...3.2.1.91 and 3.2.1.176) and β-glucosidases (Bgls; EC 3.2.1.21). EGs hydrolyse cellulose chains inter...,16,634,Acta_Crystallogr_D_Biol_Crystallogr_2014_Aug_29_70(Pt_9)_2356-2366.txt
EC 3.2.1.21,"...6-P-β-glucosidases (EC 3.2.1.86), β-glucosidases (EC 3.2.1.21), β-galactosidases (EC 3.2.1.23) and 6...",85,371,Acta_Crystallogr_D_Biol_Crystallogr_2013_Feb_16_69(Pt_3)_451-463.txt
EC 3.2.1.21,β-d-Glucosidases (EC 3.2.1.21) are classical glycoside hydrolases (r...,23,19,Acta_Crystallogr_D_Struct_Biol_2016_Jan_28_72(Pt_2)_254-265.txt
EC 3.2.1.21,"...g or the non­reducing end of a polymer, and BGLs (EC 3.2.1.21), which hydrolyse cellobiose into gluc...",15,1723,Acta_Crystallogr_D_Struct_Biol_2016_Jun_23_72(Pt_7)_860-870.txt
EC 3.2.1.21,"...e cellulase or β-exoglucanase) and β-glucosidase (EC 3.2.1.21), which must act synergistically to ac...",17,489,Acta_Crystallogr_F_Struct_Biol_Commun_2016_Nov_25_72(Pt_12)_870-876.txt
EC 3.2.1.21,"... of crude protein. The activity of β-glucosidase (EC 3.2.1.21), β-xylosidase (EC 3.2.1.37), endogluc...",40,1112,AMB_Express_2012_Mar_15_2_16.txt
EC 3.2.1.21,"...B) exoglucanase (EC 3.2.1.91), (C) β-glucosidase (EC 3.2.1.21), (D) endoxylanase (EC 3.2.1.8), (E) β...",73,269,AMB_Express_2012_Mar_15_2_16.txt
EC 3.2.1.21,"... 4-β-glucanases (EC 3.2.1.4), and β-glucosidases (EC 3.2.1.21) (Beguin and Aubert 1994). The endo-1,...",8,576,AMB_Express_2012_Sep_14_2_49.txt
EC 3.2.1.21,"...n the colonies were inoculated on β-glucosidases (EC 3.2.1.21) screening agar containing 1% of CMC, ...",19,207,AMB_Express_2012_Sep_14_2_49.txt
EC 3.2.1.21,"1998), and two β-glucosidases (BGL [EC 3.2.1.21]) (Sang-Mok and Ko",282,37,AMB_Express_2012_Dec_7_2_65.txt
EC 3.2.1.21,...s (EC 3.2.1.91 and 3.2.1.176) and β-glucosidases (EC 3.2.1.21) (Lynd et al. [2002]; Saharay et al. [...,10,223,AMB_Express_2014_Apr_25_4_36.txt
EC 3.2.1.21,"...and polysaccharides, and finally, β-glucosidases (EC 3.2.1.21) produce glucose from cellobiose (Klip...",13,1208,AMB_Express_2015_Jun_10_5_33.txt
EC 3.2.1.21,"...erminal portion of the chains; (c) β-glucosidase (EC 3.2.1.21): cellobiose hydrolysis and, in some c...",14,541,AMB_Express_2016_Mar_1_6_17.txt
