matchedPattern,count
2.3.2.1,954
2.9.3.2,739
2.3.4.4,628
3.5.1.2,495
4.51.6.117,473
1.1.1.1,472
2.2.1.1,459
EC 1.15.1.1,431
4.54.6.106,424
EC 1.11.1.6,411
3.1.9.2,304
EC 3.2.1.4,302
2.2.1.2,299
3.2.1.1,290
EC 3.2.1.21,287
EC 1.11.1.7,280
3.5.1.3,258
EC 3.1.1.3,246
3.2.1.4,234
EC 1.10.3.2,230
1.11.1.7,206
6.5.4.433,204
EC 3.2.1.8,200
3.3.1.1,199
3.2.1.2,197
3.1.1.1,193
3.2.2.1,193
2.1.3.2,190
3.1.1.3,190
2.2.2.2,188
EC 2.5.1.18,187
EC 3.2.1.1,184
3.27.3.379,181
3.2.1.21,180
2.6.1.1,180
EC 3.2.1.91,179
3.2.2.2,178
2.2.2.1,173
EC 3.1.1.7,171
1.15.1.1,170
EC 1.1.1.27,167
1.1.1.2,166
2.1.1.1,156
2.1.2.1,155
1.11.1.6,154
EC 3.1.3.1,154
5.7.6.112,149
2.5.1.18,148
EC 2.6.1.1,147
EC 1.14.18.1,147
4.1.1.1,146
EC 1.11.1.9,145
EC 1.11.1.11,144
1.4.1.2,143
3.1.2.1,143
3.1.2.2,142
4.1.2.13,139
EC 1.6.4.2,139
1.1.1.37,137
2.7.1.40,136
2.4.1.1,132
1.2.3.4,132
EC 6.3.1.2,132
1.2.2.5,131
EC 1.1.1.1,131
EC 3.1.1.1,130
3.1.3.1,129
4.74.6.146,128
EC 3.2.1.23,128
EC 1.1.1.37,128
EC 3.2.1.14,126
3.1.1.4,124
3.2.1.3,123
4.2.1.1,123
1.1.1.27,123
2.1.2.2,122
4.6.1.1,122
2.7.11.1,122
EC 3.2.1.20,121
3.1.1.2,120
1.2.1.12,119
4.67.2.319,119
2.3.2.2,119
4.44.1.113,119
EC 1.2.1.12,117
4.85.2.348,117
EC 3.2.1.37,116
4.2.1.2,115
5.3.1.9,115
6.8.6.551,114
1.2.1.3,113
EC 4.1.2.13,112
EC 1.1.1.49,112
2.5.1.1,111
2.3.3.1,111
EC 2.6.1.2,110
2.7.1.1,110
6.4.1.2,109
2.1.1.2,109
4.84.4.822,109
3.1.3.2,109
1.14.13.-,108
EC 4.1.1.39,107
2.4.2.1,105
EC 3.4.15.1,104
EC 3.2.1.26,104
EC 3.5.1.5,104
EC 1.9.3.1,104
EC 2.7.1.40,103
EC 2.7.1.1,102
2.3.1.1,102
2.4.1.-,101
5.3.1.1,101
4.2.1.17,100
1.2.4.1,100
EC 3.4.24.11,99
2.7.2.336,98
EC 4.2.1.11,97
2.3.1.16,97
EC 4.2.1.1,96
2.3.1.9,96
EC 5.3.1.9,95
2.7.1.11,95
5.4.2.2,94
3.2.8.1,94
3.2.2.3,94
EC 3.4.21.4,93
1.11.1.9,93
2.7.2.3,93
3.3.1.13,92
4.17.1.85,92
3.3.2.1,92
5.3.3.2,91
4.2.1.3,91
EC 1.6.5.3,90
2.6.1.2,90
3.2.1.8,89
2.2.1.3,89
1.14.14.1,89
3.2.3.1,88
1.1.1.49,87
3.1.1.7,87
4.76.6.893,87
2.5.1.10,85
1.1.1.34,85
1.4.1.3,85
2.7.10.1,85
4.85.2.197,84
EC 1.1.1.42,84
EC 2.7.1.11,83
EC 3.2.1.22,82
2.1.3.1,82
4.2.2.2,82
4.2.2.1,82
4.4.1.1,82
4.6.1.2,81
1.1.1.42,81
EC 3.6.3.14,81
EC 3.2.1.55,81
2.1.3.3,80
3.3.2.2,79
EC 2.7.3.2,79
1.4.1.14,79
2.3.4.2,79
3.18.3.849,78
EC 1.6.99.2,78
4.5.1.6,78
EC 3.1.1.8,77
3.23.5.443,77
EC 3.2.1.52,77
1.1.2.1,77
3.6.3.14,77
