matchedPattern,count
EC 1.15.1.1,431
EC 1.11.1.6,411
EC 3.2.1.4,302
EC 3.2.1.21,287
EC 1.11.1.7,280
EC 3.1.1.3,246
EC 1.10.3.2,230
EC 3.2.1.8,200
EC 2.5.1.18,187
EC 3.2.1.1,184
EC 3.2.1.91,179
EC 3.1.1.7,171
EC 1.1.1.27,167
EC 3.1.3.1,154
EC 2.6.1.1,147
EC 1.14.18.1,147
EC 1.11.1.9,145
EC 1.11.1.11,144
EC 1.6.4.2,139
EC 6.3.1.2,132
EC 1.1.1.1,131
EC 3.1.1.1,130
EC 3.2.1.23,128
EC 1.1.1.37,128
EC 3.2.1.14,126
EC 3.2.1.20,121
EC 1.2.1.12,117
EC 3.2.1.37,116
EC 4.1.2.13,112
EC 1.1.1.49,112
EC 2.6.1.2,110
EC 4.1.1.39,107
EC 3.4.15.1,104
EC 3.2.1.26,104
EC 3.5.1.5,104
EC 1.9.3.1,104
EC 2.7.1.40,103
EC 2.7.1.1,102
EC 3.4.24.11,99
EC 4.2.1.11,97
EC 4.2.1.1,96
EC 5.3.1.9,95
EC 3.4.21.4,93
EC 1.6.5.3,90
EC 1.1.1.42,84
EC 2.7.1.11,83
EC 3.2.1.22,82
EC 3.6.3.14,81
EC 3.2.1.55,81
EC 2.7.3.2,79
EC 1.6.99.2,78
EC 3.1.1.8,77
EC 3.2.1.52,77
EC 3.1.3.2,75
EC 5.3.1.1,74
EC 3.2.1.3,72
EC 1.2.4.1,72
EC 2.4.1.13,71
EC 2.7.2.3,71
EC 1.2.1.3,68
EC 4.1.1.31,68
EC 3.4.11.2,67
EC 3.4.14.5,67
EC 1.13.11.12,64
EC 1.1.3.4,64
EC 1.1.1.44,62
EC 2.2.1.1,61
EC 3.2.1.78,61
EC 2.3.2.13,61
EC 1.1.1.40,60
EC 3.2.1.15,59
EC 2.3.2.2,59
EC 1.14.16.1,59
EC 1.3.5.1,58
EC 2.7.7.9,58
EC 3.4.24.15,58
EC 3.1.1.4,58
EC 3.2.1.17,57
EC 1.4.1.2,57
EC 2.3.3.1,57
EC 4.2.1.3,57
EC 3.1.3.11,57
EC 2.3.1.9,55
EC 4.2.1.2,55
EC 3.6.1.5,54
EC 2.3.1.74,53
EC 6.4.1.2,53
EC 3.2.1.31,52
EC 3.1.3.5,52
EC 6.2.1.1,52
EC 4.1.1.1,51
EC 2.1.2.1,51
EC 5.4.2.2,51
EC 1.10.3.1,50
EC 2.4.1.18,50
EC 3.1.1.11,50
EC 5.4.2.1,50
EC 2.7.7.27,49
EC 1.11.1.13,49
EC 1.14.13.39,49
