matchedPattern,count
EC 1.15.1.1,423
EC 1.11.1.6,401
EC 3.2.1.4,300
EC 3.2.1.21,286
EC 1.11.1.7,272
EC 3.1.1.3,243
2.3.2.1,242
1.1.1.1,237
EC 1.10.3.2,228
EC 3.2.1.8,200
1.11.1.7,183
EC 2.5.1.18,182
EC 3.2.1.1,181
EC 3.2.1.91,179
EC 3.1.1.7,170
3.2.1.4,167
2.3.4.4,167
EC 1.1.1.27,160
3.2.1.21,160
2.6.1.1,150
EC 3.1.3.1,150
EC 1.14.18.1,147
EC 1.11.1.9,144
EC 1.11.1.11,144
EC 2.6.1.1,143
2.5.1.18,138
EC 1.6.4.2,138
2.2.1.1,137
4.1.2.13,135
1.11.1.6,134
3.2.1.1,131
EC 1.1.1.1,130
3.1.1.3,130
2.7.1.40,129
EC 3.1.1.1,129
EC 6.3.1.2,127
1.1.1.37,126
EC 1.1.1.37,125
EC 3.2.1.14,123
1.15.1.1,123
2.9.3.2,121
EC 3.2.1.23,121
EC 3.2.1.20,120
EC 3.2.1.37,116
EC 1.2.1.12,116
1.2.1.12,114
EC 1.1.1.49,112
EC 4.1.2.13,111
1.1.1.27,109
EC 2.6.1.2,107
1.14.13.-,106
6.4.1.2,106
1.4.1.2,105
EC 3.4.15.1,104
EC 3.2.1.26,104
5.3.1.9,104
EC 4.1.1.39,103
EC 3.5.1.5,101
EC 2.7.1.40,101
EC 2.7.1.1,100
1.2.2.5,99
1.2.1.3,98
2.4.1.-,97
3.1.1.4,96
EC 1.9.3.1,96
2.3.1.16,95
4.2.1.17,95
2.7.11.1,95
EC 4.2.1.11,94
EC 4.2.1.1,94
EC 3.4.24.11,93
3.3.1.1,93
2.7.1.1,93
1.2.4.1,93
EC 5.3.1.9,91
3.5.1.2,90
1.2.3.4,90
2.7.2.3,88
2.2.1.2,88
2.5.1.1,88
2.3.1.9,88
5.4.2.2,87
2.7.1.11,87
1.14.14.1,87
EC 1.6.5.3,86
1.11.1.9,85
5.3.3.2,84
3.1.1.1,83
2.6.1.2,83
EC 2.7.1.11,82
EC 3.2.1.55,81
2.1.3.2,81
2.5.1.10,80
EC 3.2.1.22,80
1.1.1.2,80
3.2.1.2,80
3.2.1.8,79
EC 1.1.1.42,79
EC 1.6.99.2,78
5.3.1.1,78
EC 3.4.21.4,77
EC 3.2.1.52,77
2.3.3.1,77
EC 3.1.1.8,76
1.1.1.34,75
EC 3.1.3.2,75
2.4.1.1,74
3.6.3.14,74
3.1.3.1,74
2.3.1.74,73
EC 2.7.3.2,73
2.3.1.-,73
5.5.1.6,73
3.1.1.7,73
1.1.1.49,72
1.1.1.42,72
EC 1.2.4.1,72
4.2.1.11,72
EC 2.4.1.13,71
EC 2.7.2.3,71
2.7.10.1,71
EC 5.3.1.1,70
2.3.1.51,70
2.7.4.2,70
EC 3.2.1.3,69
1.1.1.100,69
2.1.1.1,68
2.1.2.1,68
EC 3.6.3.14,68
3.1.3.2,68
EC 4.1.1.31,67
2.2.2.2,67
1.1.1.-,67
3.2.1.20,66
4.1.1.1,66
1.1.1.35,66
3.2.1.14,65
EC 3.4.11.2,65
3.2.1.91,65
EC 3.4.14.5,65
EC 1.13.11.12,64
1.8.1.4,64
1.4.1.3,64
2.3.3.10,64
1.9.3.1,63
EC 1.1.3.4,63
1.10.3.2,62
3.1.3.11,62
3.1.3.4,61
2.1.1.-,61
4.2.1.2,61
EC 2.2.1.1,61
EC 3.2.1.78,61
EC 2.3.2.13,61
EC 1.1.1.44,61
EC 1.1.1.40,60
2.7.1.36,60
1.4.1.14,60
2.7.7.9,60
2.4.2.1,59
EC 3.2.1.15,59
EC 2.3.2.2,59
3.2.1.23,59
1.14.-.-,59
6.2.1.12,58
EC 2.7.7.9,58
3.1.3.5,58
EC 3.4.24.15,58
1.1.1.40,58
1.1.1.44,58
6.2.1.3,57
EC 1.3.5.1,57
2.3.1.15,57
EC 2.3.3.1,57
4.1.1.39,57
EC 4.2.1.3,57
EC 3.1.1.4,57
1.5.2.8,56
EC 1.4.1.2,56
3.2.1.26,56
3.1.9.2,56
EC 4.2.1.2,55
1.3.3.6,55
3.1.2.14,55
3.3.1.13,54
4.1.1.33,54
EC 3.1.3.11,54
1.3.1.9,54
EC 2.3.1.9,53
EC 2.3.1.74,53
1.1.1.219,53
4.2.1.3,53
EC 6.4.1.2,53
2.6.1.42,52
3.1.2.2,52
6.3.1.2,52
2.2.1.7,52
EC 6.2.1.1,52
EC 4.1.1.1,51
EC 2.1.2.1,51
EC 1.2.1.3,51
EC 5.4.2.2,51
2.5.1.21,51
3.1.1.-,51
EC 3.1.3.5,51
EC 1.14.16.1,51
1.3.99.1,51
EC 3.6.1.5,50
EC 2.4.1.18,50
EC 3.2.1.31,50
EC 1.10.3.1,50
EC 3.1.1.11,50
1.14.11.23,49
EC 2.7.7.27,49
4.3.1.24,49
3.1.2.1,49
EC 1.11.1.13,49
4.4.1.1,49
3.2.1.37,48
EC 3.2.1.17,48
1.6.5.3,48
3.5.3.1,48
5.4.2.1,48
EC 1.14.13.39,48
EC 4.3.2.1,47
EC 5.4.2.1,47
4.2.1.1,47
EC 2.1.1.45,47
1.13.11.12,47
3.2.2.1,46
2.7.1.30,46
3.2.1.22,46
EC 4.2.1.17,46
1.5.1.2,46
EC 2.5.1.6,46
2.7.7.27,46
EC 2.4.2.1,46
EC 3.2.1.73,45
1.3.5.1,45
EC 4.1.1.17,45
2.3.2.2,45
4.1.1.49,45
3.2.1.3,45
2.4.1.13,45
6.2.1.1,44
EC 3.2.1.18,44
1.14.19.2,44
1.2.1.44,44
1.14.13.11,44
EC 1.14.14.1,44
3.1.4.17,44
2.2.2.1,44
EC 1.4.1.3,44
EC 3.5.4.4,44
1.2.1.2,44
3.2.1.-,44
EC 6.4.1.1,43
EC 4.1.3.7,43
EC 4.1.1.32,43
3.2.1.52,43
1.14.11.9,43
EC 3.2.1.-,43
2.7.2.1,43
EC 1.6.5.4,43
1.1.1.267,43
1.17.1.2,43
EC 4.3.1.5,43
2.5.1.29,42
3.1.1.11,42
EC 6.2.1.3,42
EC 2.1.3.3,42
2.1.3.3,42
4.2.1.-,42
2.3.1.39,41
EC 6.2.1.12,41
3.2.2.2,41
EC 2.4.1.-,41
EC 1.8.5.1,40
EC 3.5.3.1,40
4.1.3.27,40
1.7.99.4,39
5.1.3.1,39
EC 2.3.1.87,39
EC 3.1.1.72,39
EC 1.1.1.41,39
3.2.1.15,39
4.3.2.1,39
4.2.2.2,39
1.14.18.1,39
1.-.-.-,39
1.1.1.195,39
3.1.2.-,39
EC 4.1.1.15,39
2.3.1.20,38
EC 5.2.1.8,38
3.5.1.3,38
2.7.1.148,38
2.7.1.69,38
2.4.1.12,38
2.7.7.7,38
EC 1.1.1.35,38
EC 2.4.1.1,38
4.1.1.17,38
EC 2.7.4.3,38
EC 3.2.1.30,38
EC 1.4.1.4,38
2.1.2.2,38
1.14.13.21,38
1.5.1.3,38
EC 3.2.1.25,38
EC 1.1.1.34,38
4.1.1.31,37
EC 4.2.1.22,37
EC 6.3.5.4,37
EC 2.3.1.16,37
EC 2.4.1.21,37
4.1.1.50,37
2.3.1.179,37
4.6.1.1,37
EC 3.2.1.45,37
3.2.1.39,37
2.3.1.12,37
EC 6.3.4.5,37
2.3.1.180,36
5.3.1.6,36
EC 1.8.1.7,36
1.1.1.25,36
1.8.1.9,36
1.11.1.11,36
EC 1.11.1.14,36
2.4.1.18,36
EC 1.10.2.2,36
EC 2.7.1.2,36
2.3.1.1,36
2.6.1.5,36
1.1.1.41,36
EC 4.3.1.24,35
EC 1.1.1.21,35
2.1.1.104,35
EC 1.14.13.11,35
EC 2.1.1.-,35
1.14.99.-,35
2.2.1.6,35
1.14.11.19,35
1.17.7.1,35
4.1.1.19,35
2.5.1.6,35
3.6.1.3,35
1.14.19.-,35
1.2.3.5,35
EC 3.1.8.1,35
3.40.50.182,35
EC 3.2.1.39,35
EC 1.8.1.4,35
EC 5.1.3.2,34
EC 2.1.1.13,34
2.3.1.41,34
1.3.5.6,34
EC 3.2.1.41,34
3.5.1.1,34
2.1.1.2,34
2.3.3.2,34
1.3.99.3,34
3.5.1.5,34
2.7.1.2,34
1.8.1.7,34
4.6.1.12,34
2.7.10.2,33
EC 1.3.99.1,33
2.7.4.3,33
6.3.2.2,33
1.2.5.7,33
1.13.11.51,33
EC 1.7.99.4,33
EC 2.2.1.6,33
1.1.1.8,33
EC 4.1.1.50,33
3.2.1.55,33
3.1.4.4,33
EC 1.4.3.4,33
4.1.1.15,33
EC 3.6.1.3,33
EC 4.4.1.1,33
4.3.1.19,33
EC 1.14.99.3,32
6.1.1.9,32
EC 2.4.1.14,32
5.1.3.2,32
1.4.3.4,32
EC 3.4.21.-,32
3.4.21.4,32
3.40.50.620,32
EC 1.5.1.3,32
2.7.7.60,32
3.1.-.-,32
EC 1.6.2.4,32
3.1.4.3,32
EC 1.2.4.2,32
EC 1.2.1.16,32
EC 1.2.1.2,32
EC 5.3.1.5,32
EC 1.1.1.8,32
4.2.1.20,32
2.4.1.21,32
1.1.1.169,31
EC 1.5.1.20,31
2.3.4.6,31
3.1.1.72,31
EC 2.7.11.1,31
EC 4.4.1.5,31
EC 3.1.1.73,31
EC 2.7.1.90,31
1.2.7.1,31
6.2.1.5,31
EC 2.3.1.20,31
3.4.24.11,31
1.3.1.-,30
EC 5.3.3.2,30
