matchedPattern,count
T5B100,1
J3KNX9,1
H7BO27,1
C6ZE81,1
D7Y305,1
C4XPM7,1
D4BEG1,1
D9QCL3,1
B2I753,1
D1PDL1PDL2,1
L0ABA4,1
A0R576,1
A0F002,1
B7GFW5,1
L2GG91,1
D8IAM5,1
U6ZZ13,1
E7F7T1,1
U5MNG8,1
A1P871,1
M8C8G7,1
B0A6A2,1
E1JGQ5,1
A4B938,1
T1G1T1,1
B5U8Z1,1
L3R231,1
B6TGL3,1
F6H419,1
A1KXD8,1
B4A900,1
I1K181,1
M2IL65,1
D3AC23EC12,1
A5ACX0,1
F2DSV5,1
F4JPH1,1
B6SZN0,1
C9B997,1
B6TVU2,1
F1TCF7,1
J6T325,1
D9KAI1,1
A4GJB3,1
V6H3Y4,1
L1QZ45,1
L6H211,1
L1QZ99,1
C0E4F0,1
E2X100,1
C0H4L5,1
A8J7D6,1
E1BRI2,1
B0G0Y8,1
H8O3N1,1
C7MCW6,1
D2FF43,1
L6ZFR2,1
C5H2S3,1
C2DF82,1
B5NMH4,1
C1KAH1PRL1,1
T4HAP8,1
C6H8N8,1
F5H7K4,1
L8A2E4,1
U1G155,1
C4IB90,1
T5J4P6,1
G9NY90,1
B4FSV9,1
T3R048,1
C1S483,1
H3TDR1,1
F3D2D2,1
I1A350,1
C1E4D8,1
L6ASS6,1
K7CK19,1
R9MYO2,1
C6A452,1
T0NLK4,1
K1A121,1
C7GGT7TGT0,1
G7J2E0,1
B6SK46,1
A1G2A2,1
A2WL19,1
A2QIF8,1
M8K312,1
F8A317,1
T1B146,1
G1TBJ2,1
V4D1J2,1
T1A814,1
D3K5K3,1
H0ET20,1
B1D7A3FE47,1
I2G171,1
G0XBI1,1
