matchedPattern,context,lineNumber,columnNumber,publicationName
C9ORF7,Expansion in C9ORF72 is the cause of chromo...,150,13,Acta_Myol_2012_Oct_31(2)_134-138.txt
C9ORF7,"... in liposarcoma (FUS/TLS) and C9ORF72 (1, 2). Specifically, ...",14,408,Acta_Myol_2013_May_32(1)_23-26.txt
C9ORF7,...on in the first intron of the C9ORF72 gene is resulted the m...,14,507,Acta_Myol_2013_May_32(1)_23-26.txt
C9ORF7,"TARDBP, FUS/TLS and C9ORF72 genes were also screen...",88,20,Acta_Myol_2013_May_32(1)_23-26.txt
C9ORF7,"Regarding TARDBP, FUS/TLS and C9ORF72, the three patients sh...",93,30,Acta_Myol_2013_May_32(1)_23-26.txt
C9ORF7,expansion in C9ORF72 is the cause of chromo...,111,13,Acta_Myol_2013_May_32(1)_23-26.txt
C9ORF7,first intron/promoter of the C9ORF72 gene [28-30],160,29,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,"...phagic disposal. Mutations in C9ORF72, TARDBP",238,34,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,C9ORF72	Expansion of the GGGGC...,405,0,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,...ormation of focal granules of C9ORF72 RN,408,42,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,"the SOD1 gene, as well as in C9ORF72 an",445,29,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,C9ORF72. RNA of the mutant C9O...,523,0,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,C9ORF72. RNA of the mutant C9ORF7,523,27,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,"...ased transcriptional level of C9ORF72, as well as th",526,38,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,"...ion of focal accumulations of C9ORF72 RNA, containing",527,36,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,C9ORF72 gene) [71],531,0,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,expressing mutant RNA of the C9ORF72 gene had an altere,540,29,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,C9ORF72 gene enabled the suppr...,544,0,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,"...tly, expansion repeats in the C9ORF72 gene have been identif...",12,894,Acta_Neuropathol_2012_Jun_27_123(6)_807-823.txt
C9ORF7,...repeat in noncoding region of C9ORF72 causes chromosome 9p-l...,138,374,Acta_Neuropathol_2012_Jun_27_123(6)_807-823.txt
