matchedPattern,count
TS-1310,1
TS-3000,1
TS-0003,1
TS-0011,1
TS-0452,1
TS-0005,1
TS-2890,1
TS-1300,1
TS-1322,1
TS-5136,1
TS-0007,1
TS-4892,1
TS-0006,1
TS-7260,1
TS-1546,1
TS-8320,1
TS-1882,1
TS-0004,1
TS-0724,1
TS-0020,1
TS-2068,1
TS-2103,1
TS-5430,1
TS-1470,1
TS-5130,1
TS-5000,1
TS-1314,1
TS-1900,1
TS-4595,1
TS-2102,1
TS-1455,1
TS-0561,1
TS-0009,1
TS-0626,1
TS-0008,1
TS-0002,1
TS-1314,1
TS-3413,2
TS-8323,2
TS-0001,2
TS-5001,2
TS-4899,2
TS-0010,2
TS-0497,3
TS-0431,3
TS-8060,3
TS-4088,3
TS-0505,4
TS-0830,5
TS-1000,7
TS-2000,13
TS-5000,38
