matchedPattern,context,lineNumber,columnNumber,publicationName
TS-5000,"...mensional data with the use of TS-5000z, thus learning mappi...",11,1277,Biomed_Res_Int_2015_Jul_13_2015_918631.txt
TS-5000,...nels to resulting materials of TS-5000z to draw out standard...,18,99,Biomed_Res_Int_2015_Jul_13_2015_918631.txt
TS-5000,...y evaluation of Makgeolli with TS-5000z analysis results and...,29,106,Biomed_Res_Int_2015_Jul_13_2015_918631.txt
TS-5000,...ed for the analyzed results of TS-5000z,29,359,Biomed_Res_Int_2015_Jul_13_2015_918631.txt
TS-5000,"...through sensory evaluation and TS-5000z taste sensor, there ...",82,101,Biomed_Res_Int_2015_Jul_13_2015_918631.txt
TS-5000,"The taste was analyzed using TS-5000z, a taste biological ...",100,28,Biomed_Res_Int_2015_Jul_13_2015_918631.txt
TS-5000,...tidimensional data measured by TS-5000z to a taste form reco...,102,59,Biomed_Res_Int_2015_Jul_13_2015_918631.txt
TS-5000,"...i abstracted and measured from TS-5000z, and in order to ver...",102,254,Biomed_Res_Int_2015_Jul_13_2015_918631.txt
TS-5000,...nal data has been created from TS-5000z and studied through ...,104,327,Biomed_Res_Int_2015_Jul_13_2015_918631.txt
TS-5000,...atch with experiment result of TS-5000z,129,219,Biomed_Res_Int_2015_Jul_13_2015_918631.txt
TS-5000,...s (Insent taste sensing system TS-5000Z). Measurement protoc...,40,130,Data_Brief_2016_Nov_19_9_1090-1093.txt
TS-5000,"...y available systems were used: TS-5000Z (Insent, Atsugi-Chi,...",83,45,Pharmaceutics_2012_Oct_26_4(4)_551-562.txt
TS-5000,"...ef by Electronic Tongue System TS-5000Z: Flavor Assessment, ...",3,205,PLoS_One_2015_Sep_14_10(9)_e0137807.txt
TS-5000,...uality Using Electronic Tongue TS-5000ZZhang Xinzhuang 1Zhan...,3,370,PLoS_One_2015_Sep_14_10(9)_e0137807.txt
TS-5000,...ty of electronic tongue system TS-5000Z to evaluate meat qua...,7,397,PLoS_One_2015_Sep_14_10(9)_e0137807.txt
TS-5000,...s of cattle and indicated that TS-5000Z made a rapid identif...,7,1166,PLoS_One_2015_Sep_14_10(9)_e0137807.txt
TS-5000,"...breeds of cattle. In addition, TS-5000Z seemed to be used to...",7,1247,PLoS_One_2015_Sep_14_10(9)_e0137807.txt
TS-5000,"...ith the flavor. In conclusion, TS-5000Z would be used as a r...",7,1371,PLoS_One_2015_Sep_14_10(9)_e0137807.txt
TS-5000,"...lectronic tongue sensor system TS-5000Z, which employs the s...",19,31,PLoS_One_2015_Sep_14_10(9)_e0137807.txt
TS-5000,...lectronic tongue sensor system TS-5000Z as a rapid analytica...,19,539,PLoS_One_2015_Sep_14_10(9)_e0137807.txt
