matchedPattern,context,lineNumber,columnNumber,publicationName
P09960,P09960	Leukotriene A-4 hydrolase 	STP or SDS	803 (...,177,1,Biofouling_2014_Nov_26_30(10)_11834-1197.txt
P09960,Leukotriene A-4 hydrolase	P09960	Energy/metabolism	69154,204,27,Biomark_Insights_2008_Feb_1_3_25-27.txt
P09960,7	Leukotriene A-4 hydrolase 	P09960 	12	0.0000401	−2.1,123,30,Biomed_Res_Int_2015_Apr_16_2015_872983.txt
P09960,7	Leukotriene A-4 hydrolase 	P09960,960,30,Biomed_Res_Int_2015_Apr_16_2015_872983.txt
P09960,"...3	GGCT, O75223	DPEP1, P16444	DPEP2, Q9H4A9	LTA4H, P09960",588,77,Br_J_Pharmacol_2013_Dec_17_170(8)_1797-1867.txt
P09960,"HGNC, UniProt	DNPEP, Q9ULA0	LNPEP, Q9UIQ6	LTA4H, P09960	MME, P08473",900,50,Br_J_Pharmacol_2013_Dec_17_170(8)_1797-1867.txt
P09960,P09960	0.00027014	LTA4H LTA4,328,1,PMC5161261.txt
P09960,P09960	Leukotriene A-4 hydrolase	X	X	✓,276,1,Data_Brief_2016_Jul_26_8_1099-1110.txt
P09960,P09960	*Leukotriene A-4 hydrolase	12	376	6	14	Npd,108,1,Int_J_Mol_Sci_2010_Nov_9_11(11)_4488-4505.txt
P09960,leukotriene A-4 hydrolase	P09960	M01.004	 ,1027,27,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
P09960,leukotriene A-4 hydrolase	P09960	M01.004	 ,1027,27,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
P09960,P09960	Leukotriene A-4 hydrolase	LTA4H	2.10	0.0166...,202,1,PLoS_One_2014_Feb_27_9(2)_e90181.txt
P09960,P09960	Leukotriene A-4 hydrolase	0.42	2.28	–,115,1,Sci_Rep_2015_Oct_26_5_15615.txt
P09960,45	P09960	Leukotriene A-4 hydrolase	LKHA4	69.2	2	227,155,4,Sci_Rep_2016_Apr_19_6_24669.txt
