matchedPattern,context,lineNumber,columnNumber,publicationName
P14780,MMP9a	P14780	CASP7	P55210	KDM4A	O75164	SMAD3	P84022,80,7,Acta_Pharm_Sin_B_2015_Nov_21_5(6)_590-595.txt
P14780,"... P09488, P16410, P05305]	[P35228, P09601, P01137, P14780, P01375]",100,180,BioData_Min_2016_Jul_25_9_23.txt
P14780,Matrix metalloproteinase 9				✓		1	yes	P14780	1.9E+05	(Riedel et al. 2000)	MMPs are capab...,339,40,Biomark_Insights_2007_Feb_7_1_1-48.txt
P14780,Matrix metalloproteinase-9 precursor§	P14780	Protein Degradation/Inhibitor	78427,213,39,Biomark_Insights_2008_Feb_1_3_25-27.txt
P14780,...oglobin	P00738	Matrix Metalloproteinase-9 (MMP-9)	P14780,83,55,Biomark_Insights_2015_Jun_1_10_47-54.txt
P14780,"... S100-A8 (P05109), azurocidin (P20160), and MMP9 (P14780)",83,234,Biomed_Res_Int_2014_Jun_26_2014_569632.txt
P14780,Matrix metalloproteinase-9	P14780	MMP9,389,28,Biomed_Res_Int_2014_Jun_26_2014_569632.txt
P14780,0.193	Hsa.1209	P14780 92 KD TYPE V COLLAGENASE PRECURSOR,74,16,BMC_Bioinformatics_2007_Feb_22_8_60.txt
P14780,Cluster1474	matrix metalloproteinase-9	P14780	1,143,40,BMC_Vet_Res_2012_Jul_9_8_108.txt
P14780,"...8253	MMP3, P08254	MMP7, P09237	MMP8, P22894	MMP9, P14780",942,86,Br_J_Pharmacol_2013_Dec_17_170(8)_1797-1867.txt
P14780,T41204	P14780 92 KD TYPE V COLLAGENASE PRECURSOR,223,8,Cancer_Inform_2007_Feb_6_3_29-41.txt
P14780,"Matrix metalloproteinase-9	MMP9	P14780	Sec, ECM	[4, 7, 8]",136,33,Cell_Mol_Life_Sci_2010_Apr_27_67(8)_1277-1292.txt
P14780,Pro	26	2ow2	PfENR	MMP9_HUMAN	P14780	0.302479	0.507865,281,30,Chin_Med_2015_Dec_17_10_37.txt
P14780,rs3918242	Matrix metalloproteinase-9	P14780	Skin elasticity	C:,145,38,Clin_Cosmet_Investig_Dermatol_2014_Jul_1_7_207-214.txt
P14780,3.18	5.10	P14780	Matrix metalloproteinase-9,137,11,Clin_Proteomics_2016_Aug_15_13_17.txt
P14780,P14780	MMP9	Matrix metalloproteinase-9,69,1,Clin_Proteomics_2015_Mar_3_12(1)_5.txt
P14780,19	Matrix metalloproteinase-9 (MMP-9)	P14780	Elevated in AF patients vs. controls. 	[50]...,188,39,Curr_Cardiol_Rev_2010_Aug_6(3)_194-201.txt
P14780,MMP-9	P14780	364	AF > control and sinus rhythm subjects	...,204,7,Curr_Cardiol_Rev_2013_Nov_9(4)_340-352.txt
P14780," J05070	P14780	matrix metalloproteinase 9 (gelatinase B, 9...",91,9,EPMA_J_2011_Mar_3_2(1)_91-105.txt
P14780,"152	P14780	MMP9_HUMAN	Matrix metalloproteinase-9	11, 1...",211,5,EPMA_J_2013_Feb_19_4(1)_6.txt
