matchedPattern,context,lineNumber,columnNumber,publicationName
Q09666,...uroblast differentiation-associated protein AHNAK	Q09666|AHNK_HUMAN	629101.22	5.80	N.	Others.,543,53,Biomark_Insights_2009_Oct_28_4_135-164.txt
Q09666,"...oblast differentiation-associated protein (AHNAK, Q09666), and Osteonectin/SPARC protein (SPARC, P09...",108,369,Biomed_Res_Int_2014_Mar_16_2014_789591.txt
Q09666,Q09666	Neuroblast differentiation-associated prote...,201,1,Biomed_Res_Int_2014_Mar_16_2014_789591.txt
Q09666,P12	Q09666	Neuroblast differentiation-associated prote...,264,5,Biomed_Res_Int_2014_Mar_25_2014_209469.txt
Q09666,Q09666	AHNK	Neuroblast differentiation-associated ...,93,1,BMC_Cancer_2016_Mar_10_16_206.txt
Q09666, sp|Q09666|	Neuroblast differentiation-associated prot...,123,5,Br_J_Cancer_2014_Aug_12_111(4)_799-806.txt
Q09666,... differentiation-associated protein AHNAK	11q12.2	Q09666	9.16E-03	0.31	211986_at	BG287862	6.36E-03	0...,91,67,Cancer_Sci_2015_Jan_4_106(1)_115-124.txt
Q09666, 	Q09666	Neuroblast differentiation-associated prote...,178,3,Cell_Death_Dis_2013_Nov_7_4(11)_e911.txt
Q09666,...ation-associated protein AHNAK	AHNAK	[Swiss-Prot: Q09666]	√	 ,165,76,Clin_Proteomics_2014_Jul_14_11(1)_30.txt
Q09666,Q09666	Neuroblast differentiation-associated prote...,67,1,Daru_2015_Aug_4_23(1)_40.txt
Q09666,"...S4). Only three proteins (P46 013, Antigen KI-67; Q09666, Neuroblast differentiation-associated prot...",130,810,DNA_Res_2010_Aug_29_17(4)_245-260.txt
Q09666,−1.213	Q09666	AHNAK	AHNAK nucleoprotein	Nucleus	Other,512,8,Drug_Des_Devel_Ther_2015_Oct_5_9_5511-5551.txt
Q09666,"...oblast differentiation-associated protein (AHNAK, Q09666), and Osteonectin/SPARC protein (SPARC, P09...",82,259,Int_J_Mol_Sci_2015_Jan_12_16(1)_1657-1676.txt
Q09666, Q09666	Neuroblast differentiation-associated prote...,172,2,PMC5339014.txt
Q09666,Neuroblast differentiation-associated protein	Q09666	629 104	1	9	1	9,505,47,J_Proteome_Res_2015_Feb_6_14(2)_986-996.txt
Q09666,Neuroblast differentiation-associated protein	Q09666	×	 	 	 	×	 ,592,47,J_Proteome_Res_2015_Feb_6_14(2)_986-996.txt
Q09666,Q09666	Neuroblast differentiation-associated prote...,76,1,J_Transl_Med_2013_Oct_1_11_239.txt
Q09666,Q09666	AHNAK	Neuroblast differentiation-associated...,25,1,Metabolites_2014_Aug_7_4(3)_640-654.txt
Q09666,        Q09666	D	Neuroblast differentiation-associated pro...,221,9,Mol_Cell_Proteomics_2010_Jun_22_9(6)_1031-1046.txt
Q09666,        Q09666	D	Neuroblast differentiation-associated pro...,256,9,Mol_Cell_Proteomics_2010_Jun_22_9(6)_1031-1046.txt
