matchedPattern,count
P50454,1
P01106,1
P04626,1
P28838,1
P11413,1
Q04695,1
Q9UBG0,1
P07358,1
Q8NDH3,1
Q09666,1
Q01813,1
O15484,1
O14625,1
Q9HC84,1
Q9Y5K5,1
F7CRL9,1
P09228,1
Q13315,1
Q15125,1
P01023,1
P60709,1
P19793,1
P03956,1
P02730,1
O75533,1
P54578,1
P09466,1
P09466,1
Q7Z7H3,1
Q9HGZ6,1
P16157,1
P54252,1
P01011,1
P29144,1
Q99436,1
P30511,1
P13612,1
P30740,1
Q13485,1
P60709,1
Q9HD45,1
Q9Y5K2,1
Q9V3B1,1
P02452,1
Q8N2R8,1
Q9HC84,1
Q09472,1
A6NCM1,1
P07358,1
Q548T3,1
P20742,1
Q8IV08,1
Q8N2R8,1
Q9NQW7,1
Q6PK30,1
E1BGR4,1
Q99497,1
Q13573,1
Q12765,1
P04004,1
P28065,1
Q93008,1
P28072,1
P28702,1
P37840,1
P07384,1
C0FO00,1
P00915,1
P05362,1
P62857,1
P07711,1
Q5VVQ6,1
Q9Y4E8,1
P52888,1
O94966,1
P57071,1
P01375,1
P00918,1
P14780,1
O75326,1
P49840,1
P48147,1
P04080,1
P22352,1
P70269,1
P60174,1
Q08722,1
Q3UP87,1
Q13867,1
P03973,1
P02786,1
P13798,1
D7AA36,1
Q96FV2,1
P59666,1
P43490,1
O95863,1
P20810,1
P14209,1
A6NNF4,1
