matchedPattern,context,lineNumber,columnNumber,publicationName
P59666,"P59666	Neutrophil defensin 3	STP	273	10,580	3	5.71...",150,1,Biofouling_2014_Nov_26_30(10)_11834-1197.txt
P59666,Neutrophil defensin 3				✓		1	yes	P59666	4.2E+04	all defensins measured together (Pa...,350,35,Biomark_Insights_2007_Feb_7_1_1-48.txt
P59666,Neutrophil defensin 3	P59666	DEFA3,622,23,Biomed_Res_Int_2014_Jun_26_2014_569632.txt
P59666,"...xploratory iTRAQ analysis, neutrophil defensin 3 (P59666), which can be cleaved to produce neutrophi...",130,100,Biomed_Res_Int_2015_May_18_2015_343501.txt
P59666,"...xploratory iTRAQ analysis, neutrophil defensin 3 (P59666), which can be cleaved to produce neutrophi...",130,100,Biomed_Res_Int_2015_May_18_2015_343501.txt
P59666,438	7.70	P59666	Neutrophil defensin 3	10	1.83	3.59E − 06	1....,185,10,Biomed_Res_Int_2015_May_18_2015_343501.txt
P59666,438	7.70	P59666	Neutrophil defensin 3	10	1.83	3.59E − 06	1....,185,10,Biomed_Res_Int_2015_May_18_2015_343501.txt
P59666,P59666	Neutrophil defensin 3	2	3	—	—	—	—	—,232,1,Biomed_Res_Int_2015_May_18_2015_343501.txt
P59666,P59666	Neutrophil defensin 3	2	3	—	—	—	—	—,232,1,Biomed_Res_Int_2015_May_18_2015_343501.txt
P59666,P59666	Neutrophil defensin 3	✓	✓	✓,291,1,Data_Brief_2016_Jul_26_8_1099-1110.txt
P59666,Neutrophil defensin 3	P59666	64	26.6	Wisons et al.176,241,23,PMC5314882.txt
P59666,"...l defensin 1 (P59665); (B) Neutrophil defensin 3 (P59666), (C) Neutrophil defensin 4 (P12838); (D) D...",563,192,PMC5314882.txt
P59666,    P59666	A	Neutrophil α-defensins 1–3	7	1.77a	0.09	0...,74,5,Mol_Cell_Proteomics_2010_Jun_22_9(6)_1031-1046.txt
P59666,        P59666	A	Neutrophil α-defensins 1–3	4	3.26a	0.15	0...,216,9,Mol_Cell_Proteomics_2010_Jun_22_9(6)_1031-1046.txt
P59666,P59666	Neutrophil defensin 3 GN=DEFA3	112.5	ND	27....,44,1,PMC5190065.txt
P59666,P59666	Neutrophil defensin 3	10.2	10	58	Q8N2S1	Lat...,26,1,PLoS_One_2011_Jul_14_6(7)_e21850.txt
P59666,IPI00021827	P59666 DEFA3 Neutrophil defensin 3	9	22	31.90%,88,13,PLoS_One_2012_Jul_25_7(7)_e41244.txt
P59666,P59666	Neutrophil defensin 3	8	10	5	5,265,1,PLoS_One_2013_Oct_1_8(10)_e75898.txt
P59666,P59666	Neutrophil defensin 3	1	1.77	< 0.001	0.48	<...,394,1,PLoS_One_2013_Oct_1_8(10)_e75898.txt
P59666,Neutrophil defensin 3	P59666	Defense response to bacterial infection	Abs...,172,23,PLoS_One_2013_Oct_15_8(10)_e76108.txt
