matchedPattern,count
P05067,84
P04637,45
Q96IY4,7
P35222,5
P09466,4
Q46223,4
P01111,4
P43490,4
P98175,4
Q9UHP3,4
P23875,4
Q9C0G0,4
P31025,4
P06748,4
P60709,3
P10276,3
A0A087WSY5,3
P00533,3
P59666,3
Q14773,3
Q00613,3
U2OS40,2
P07358,2
Q16665,2
P00747,2
Q13133,2
P01033,2
P63165,2
Q16740,2
P12079,2
P87671,2
O43623,2
P42574,2
Q9C0J8,2
Q8N2R8,2
Q6PK30,2
P37840,2
P00915,2
P21765,2
P23276,2
Q86UE6,2
P45974,2
P51587,2
Q9UBM7,2
Q06124,2
P62805,2
P02452,2
Q9HC84,2
P57071,2
P17544,2
P60174,2
P19793,2
Q9Y6K1,2
P14316,2
P01116,2
P18283,2
P09228,2
Q9NQX7,2
P01009,2
P03973,2
P41GM1,2
Q5QTY1,2
P0CG48,2
P02545,2
Q9BRK3,2
P28838,2
Q9UBT2,2
Q9Y6L6,2
P14384,2
Q53GS9,2
P54132,2
Q5VXU9,2
P11473,2
Q9UKL3,2
Q92954,2
O15528,2
P54253,2
P02724,1
P14735,1
Q04695,1
Q09666,1
Q86W78,1
P13473,1
Q13573,1
P33434,1
P07203,1
Q548T3,1
B8NM72,1
Q13426,1
P16157,1
P08069,1
Q96FV2,1
Q07973,1
Q9BS40,1
P04080,1
Q7Z7H3,1
P09960,1
Q99684,1
P07384,1
P48147,1
P60484,1
Q9UK13,1
P04626,1
P01270,1
Q9BQ52,1
P09238,1
P35240,1
P35613,1
Q9NY33,1
P49840,1
P48444,1
O43787,1
Q9Y2W7,1
P07686,1
Q6VVX0,1
Q13315,1
P12931,1
P35520,1
Q13129,1
P12955,1
P17182,1
O95630,1
Q14865,1
P04070,1
C0FO00,1
P05362,1
P04196,1
Q13867,1
P29144,1
P20810,1
P32883,1
P30153,1
P30086,1
Q9Y458,1
Q9Y4P1,1
P07758,1
P01023,1
P50228,1
P02774,1
P29590,1
Q5VWQ0,1
Q9GZV9,1
Q9Y5K5,1
Q15125,1
P13797,1
Q5VVQ6,1
P01106,1
Q93008,1
B9EKE5,1
O15484,1
P37231,1
P01375,1
P09914,1
P07658,1
P50454,1
P11413,1
Q9HGZ6,1
Q9UBG0,1
Q9Y4E8,1
Q01813,1
P19256,1
P20742,1
Q9NZ74,1
Q13485,1
P14780,1
Q9ULA0,1
P03956,1
F7CRL9,1
O00257,1
P97430,1
Q9NQW7,1
P28065,1
Q9BSL1,1
P70269,1
P30511,1
Q9C086,1
P52888,1
P01042,1
Q8N2W9,1
Q8IV08,1
P67812,1
E1BGR4,1
P04004,1
P14209,1
P13639,1
O14625,1
P48735,1
P51784,1
P04921,1
Q9UP52,1
P62857,1
P55212,1
P54578,1
P28482,1
P02786,1
P49327,1
Q12765,1
P00918,1
Q08499,1
Q02094,1
Q9Y5K2,1
Q8TCG1,1
P20152,1
P49792,1
Q9CQM1,1
P15408,1
Q9H4A4,1
Q93009,1
P07711,1
P19838,1
Q9H8T0,1
G4VER9,1
P61769,1
P49841,1
P50895,1
P00492,1
Q8WU39,1
P50453,1
P18242,1
P13798,1
Q9NZ08,1
Q9V3B1,1
P82650,1
O60481,1
P36956,1
Q6ZMJ2,1
P06396,1
A0JN17,1
O75326,1
P08582,1
O43847,1
Q02318,1
Q13642,1
P54252,1
Q99436,1
P15559,1
Q9Y6U3,1
Q96ED9,1
P14174,1
Q15054,1
Q99497,1
O75533,1
Q9UKV8,1
H2QR30,1
P01579,1
O94966,1
Q0IHI3,1
O95870,1
O70138,1
P42345,1
O15151,1
P20930,1
P15374,1
P28072,1
Q61096,1
Q9UEL1,1
Q13547,1
Q9Y2K1,1
Q96JM2,1
P49137,1
P28074,1
P30740,1
P00519,1
Q08722,1
P01040,1
Q9NSC2,1
P26639,1
O95863,1
P62136,1
Q9HD45,1
Q14011,1
Q3UP87,1
Q99961,1
Q96FW1,1
Q14B24,1
P28293,1
P40337,1
P13612,1
P46736,1
P05161,1
Q08CH6,1
P01011,1
Q9P2D1,1
Q8NDH3,1
O95336,1
Q96KP4,1
Q09472,1
P02730,1
Q0VDG4,1
P28702,1
P17065,1
C2MT20,1
P22352,1
Q92905,1
E0VIE2,1
P08670,1
Q86TI2,1
