matchedPattern,count
P05067,82
P04637,39
Q96IY4,6
B1AH88,5
P35222,5
P04637,4
A6NJT0,4
P01111,4
P98175,3
H3PXD2,3
H4HCO3,3
A0A087WSY5,3
P00533,3
A6NHN6,3
F7K118,3
C1D201,3
B2RXH8,3
A8K0S8,3
U2OS40,2
Q9NQX7,2
Q9Y6L6,2
Q9Y6K1,2
P01009,2
O15528,2
P45974,2
Q92954,2
P21765,2
P87671,2
C9J798,2
P12079,2
P23276,2
P11473,2
Q06124,2
P51587,2
P01033,2
P01116,2
P00747,2
Q5QTY1,2
O43623,2
Q16740,2
Q5VXU9,2
Q08722,1
P28838,1
Q04695,1
P07358,1
P18283,1
Q09666,1
Q13867,1
O15484,1
P12955,1
P02786,1
Q07973,1
P09228,1
P59666,1
Q15125,1
Q9H4A4,1
P60709,1
O95863,1
P03956,1
P02774,1
O75533,1
P14209,1
P09466,1
B8NM72,1
Q7Z7H3,1
Q9BRK3,1
P16157,1
O95630,1
P01011,1
P49841,1
Q99436,1
P50453,1
P13612,1
Q9BSL1,1
Q13485,1
Q86W78,1
Q9HD45,1
P01270,1
Q9V3B1,1
P57071,1
Q8N2R8,1
P42574,1
Q09472,1
P48444,1
P07358,1
Q96KP4,1
P20742,1
P31025,1
Q8N2R8,1
P50895,1
Q6PK30,1
O95870,1
Q99497,1
P09238,1
Q12765,1
P42345,1
P28065,1
Q9UKL3,1
P28072,1
Q6ZMJ2,1
