matchedPattern,count
G2H5N4,1
Q93YX9,1
P55899,1
K1TFF1,1
E1ANG4,1
O7H7O6,1
Q61575,1
R8PPP2,1
P48554,1
C9AMP5,1
Q813F4,1
P63629,1
Q8FM62,1
F1LTG5,1
Q7TSU1,1
Q3THE6,1
Q8R2N1,1
O48891,1
Q08DE6,1
P14678,1
A5TCA2,1
D3CDG1,1
B3IWF8,1
Q160Z9,1
P22354,1
F8EE51,1
Q1RY14,1
P50571,1
Q9ZSK5,1
Q9DBS1,1
Q9FXS6,1
Q99447,1
B9SZS6,1
P69907,1
Q10088,1
A0A024RD80,1
Q9UUZ3,1
M8K540,1
B9NAX4,1
C0ND57,1
B9RR88,1
L2FPD4,1
P28318,1
T0ACN3,1
G1XGH3,1
B2VVH6,1
G1XGI5,1
P88919,1
G1XJP0,1
P15892,1
Q9C9W6,1
M5S3G9,1
P0CZ09,1
Q5Q187,1
Q15777,1
Q1KXY2,1
Q25188,1
T3FGF2,1
I0E288,1
Q05191,1
Q8CEC4,1
Q51C57,1
D9S070,1
H5O2F4,1
F4NFI2,1
C9EO14,1
Q7Z031,1
C3D3O3,1
A1W0V5,1
I3ZTQ5,1
O43543,1
A9CEX5,1
Q5W959,1
Q41B77,1
H0YNE9,1
Q495A1,1
P06741,1
O00193,1
J6OVF1,1
P31450,1
Q9D1L1,1
N1SBH2,1
Q307Y2,1
P97760,1
O15305,1
M3T175,1
Q09825,1
B1VL80,1
P32132,1
Q7ZVI6,1
Q9FM41,1
D6C7C2,1
B9IBU0,1
A1Z1Q3,1
A8I9B8,1
D3CD20,1
Q8U3D2,1
E3D2R2,1
A5BQL5,1
B2BPO4,1
