matchedPattern,context,lineNumber,columnNumber,publicationName
H4HCO3,"bicarbonate (NH4HCO3), acetonitrile (ACN), t...",115,15,ACS_Appl_Mater_Interfaces_2014_Aug_13_6(15)_12719-12728.txt
H4HCO3,"...e dissolved in 1 mL of 50 mM NH4HCO3 solution, and then tryp...",202,57,ACS_Appl_Mater_Interfaces_2014_Aug_13_6(15)_12719-12728.txt
H4HCO3,... washed with 0.5 mL of 0.1 M NH4HCO3 and the 6-hydroxymethyl...,333,61,ACS_Chem_Biol_2012_Nov_16_7(11)_1807-1816.txt
H4HCO3,0.5 mL of 0.4 M NH4HCO3. After evaporation o,334,18,ACS_Chem_Biol_2012_Nov_16_7(11)_1807-1816.txt
H4HCO3,"the NH4HCO3, LC-ESI-MS analysis of ...",335,6,ACS_Chem_Biol_2012_Nov_16_7(11)_1807-1816.txt
H4HCO3,incubating in 0.1 M NH4HCO3 (pH 8.5)/propan-2-o,425,22,ACS_Chem_Biol_2014_Jan_17_9(1)_156-163.txt
H4HCO3,"...odoacetamide (10 μL in 25 mM NH4HCO3, pH 7.9). Gel pieces we...",513,60,ACS_Chem_Biol_2014_Aug_15_9(8)_1860-1868.txt
H4HCO3,"...cuum, reconstituted in 25 mM NH4HCO3 (pH 7.9) (75 μL), and i...",514,52,ACS_Chem_Biol_2014_Aug_15_9(8)_1860-1868.txt
H4HCO3,"digestion, 15 μL of 50 mM NH4HCO3 an",373,28,ACS_Chem_Biol_2015_Jan_16_10(1)_262-268.txt
H4HCO3,...obin was dissolved in 100 mM NH4HCO3 a,341,82,ACS_Chem_Neurosci_2014_Dec_31_6(1)_174-180.txt
H4HCO3,M NH4HCO3 solution was added to i...,419,4,ACS_Chem_Neurosci_2014_Dec_31_6(1)_174-180.txt
H4HCO3,"...h 50% acetonitrile and 25 mM NH4HCO3, followed by incubation...",62,840,Acta_Crystallogr_D_Biol_Crystallogr_2014_Apr_26_70(Pt_5)_1190-1201.txt
H4HCO3,...e (Roche) dissolved in 25 mM NH4HCO3 and 10% acetonitrile. T...,62,1049,Acta_Crystallogr_D_Biol_Crystallogr_2014_Apr_26_70(Pt_5)_1190-1201.txt
H4HCO3,"...hyde, ethyl acetoacetate and NH4HCO3. The dihydro­pyridine r...",3,1012,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Mar_19_65(Pt_4)_o799.txt
H4HCO3,...yl acetoacetate (6 mmol) and NH4HCO,149,63,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Mar_19_65(Pt_4)_o799.txt
H4HCO3,"...acid, ethyl acetoacetate and NH4HCO3. In the crystal structu...",3,1096,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Jul_4_65(Pt_8)_o1748.txt
H4HCO3,NH4HCO3 (6 mmol) were mixed in ...,157,2,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Jul_4_65(Pt_8)_o1748.txt
H4HCO3,(20 mmol) and NH4HCO3 (6 mmol)  were mixed i,162,16,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2010_Feb_6_66(Pt_3)_o519.txt
H4HCO3,"...yde, methyl acetoacetate and NH4HCO3. In the mol­ecular stru...",3,1336,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2011_Aug_17_67(Pt_9)_o2362-o2363.txt
H4HCO3,and NH4HCO3 (2 mmol) was stirred in...,192,6,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2011_Aug_17_67(Pt_9)_o2362-o2363.txt
