matchedPattern,count
P02786,1
Q9ULA0,1
P04080,1
Q96KP4,1
P28072,1
O94966,1
Q08722,1
Q9NY33,1
Q8NDH3,1
P02724,1
P28065,1
P46736,1
P54578,1
P13639,1
O14625,1
Q93008,1
Q9BS40,1
P30086,1
Q9NQW7,1
B8NM72,1
P67812,1
P04921,1
P52888,1
P12955,1
P01040,1
Q9BSL1,1
P07384,1
P29144,1
P14735,1
P30740,1
P20810,1
P02730,1
P54252,1
O95870,1
P09960,1
Q9UP52,1
Q0VDG4,1
P04070,1
Q96FV2,1
P50895,1
P28838,1
Q9Y4P1,1
P55212,1
C0FO00,1
Q9CQM1,1
Q02094,1
C2MT20,1
Q6ZMJ2,1
Q5VVQ6,1
P41GM1,1
P49327,1
Q13867,1
P15374,1
P17182,1
Q9HD45,1
Q9H4A4,1
O75326,1
O95630,1
P13473,1
P13798,1
P28074,1
Q99497,1
Q9NZ08,1
Q93009,1
Q92905,1
P14209,1
Q9Y5K5,1
P13612,1
Q99436,1
P04196,1
P35613,1
P51784,1
O43847,1
Q96FW1,1
Q9Y4E8,1
P48147,1
P50453,1
Q12765,1
Q99961,1
O15484,1
Q86TI2,1
P19256,1
Q8N2R8,2
Q6PK30,2
P45974,2
Q86UE6,2
P57071,2
P42574,2
P23276,2
Q5QTY1,2
Q5VXU9,2
U2OS40,2
A0A087WSY5,3
Q14773,3
Q9C0G0,4
Q96IY4,7
