matchedPattern,context,lineNumber,columnNumber,publicationName
Q9CQM1,"...clear ortholog in mouse (2610528J11Rik, UniProtKB Q9CQM1) and has been identified by mass spectromet...",97,169,Database_(Oxford)_2016_May_12_2016_baw070.txt
Q96IY4,"...ength: 1717 bp, Translation length: 423 residues (Q96IY4). CPB2-201 transcript: Coding exons: 10, Tr...",38,684,Data_Brief_2015_Nov_14_5_981-989.txt
A0A087WSY5,"...ength: 1655 bp, Translation length: 386 residues (A0A087WSY5-1). Transcript alignment between the tw...",38,794,Data_Brief_2015_Nov_14_5_981-989.txt
Q96IY4,...mino acids sequence of TAFI protein isoforms. (A) Q96IY4-1 isoform. That is the main protein encoded...,40,65,Data_Brief_2015_Nov_14_5_981-989.txt
Q96IY4,...minal glutamate) are indicated in the figure. (B) Q96IY4-2 isoform. Same sequence as isoform 1 excep...,40,649,Data_Brief_2015_Nov_14_5_981-989.txt
A0A087WSY5,...e site E385 essential for catalytic activity. (C) A0A087WSY5 protein share characteristics of Q96IY4...,40,948,Data_Brief_2015_Nov_14_5_981-989.txt
Q96IY4,.... (C) A0A087WSY5 protein share characteristics of Q96IY4-1 and Q96IY4-2. It has an identical sequenc...,40,992,Data_Brief_2015_Nov_14_5_981-989.txt
Q96IY4,...SY5 protein share characteristics of Q96IY4-1 and Q96IY4-2. It has an identical sequence to isoform ...,40,1005,Data_Brief_2015_Nov_14_5_981-989.txt
Q96IY4,"...sing as in isoform 2. (Data source: UniProtKB for Q96IY4 and A0A087WSY5, last modified on July 22, 2...",40,1149,Data_Brief_2015_Nov_14_5_981-989.txt
A0A087WSY5,"...isoform 2. (Data source: UniProtKB for Q96IY4 and A0A087WSY5, last modified on July 22, 2015)",40,1160,Data_Brief_2015_Nov_14_5_981-989.txt
Q96IY4,"...representation of TAFI protein domains (UniProtKB Q96IY4-1). TAFI, Thrombin activatable fibrinolysis...",42,115,Data_Brief_2015_Nov_14_5_981-989.txt
Q5QTY1,"...sium and; (D) The aminopeptidase N family protein Q5QTY1 (PDB ID 4fgm, CASP ID T0726) from Idiomarin...",12,566,Int_J_Mol_Sci_2015_Dec_15_16(12)_29829-29842.txt
Q5QTY1,"...nding site of the aminopeptidase N family protein Q5QTY1, from Idiomarina loihiensis bound to zinc (...",14,1128,Int_J_Mol_Sci_2015_Dec_15_16(12)_29829-29842.txt
C2MT20,...ological systems Metallomics 2013 5 29 42 10.1039/C2MT20009K 23235533,195,170,Int_J_Mol_Sci_2015_Dec_15_16(12)_29829-29842.txt
C0FO00,...lipid metabolism Food Funct. 2011 2 53 62 10.1039/C0FO00069H 21773586,486,136,PMC5343788.txt
P02730,CD233	+	–	band-3 anion transport protein	P02730	245	2751,535,42,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
P04921,CD236R	+	–	glycophorin-C	P04921	16	132,536,26,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
P02724,CD235a	+	–	glycophorin-A	P02724	20	94,537,26,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
P23276,CD238	+	–	kell blood group glycoprotein	P23276	16	72,538,41,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
P50895,molecule	P50895	10	27,540,10,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
P49327,acid synthase	P49327	6	19,542,15,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
Q08722,CD47	Q08722t	2	10,544,6,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
P35613,CD147	+	–	basigin	P35613	1	10,545,19,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
Q14773,4	Q14773	2	10,547,3,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
O75326,CD108	+	–	semaphorin-7A	O75326-2	3	8,548,25,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
Q02094,type A	Q02094	2	8,550,8,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
P19256,antigen 3	P19256	2	5,553,11,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
P14209,CD99	+	–	CD99 antigen	P14209	2	4,554,23,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
P13473,glycoprotein 2	P13473	1	2,556,16,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
P02786,2	P02786; Q9UP52	0	0,558,3,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
Q9UP52,2	P02786; Q9UP52	0	0,558,11,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
P13612,CD49D	–	+	integrin alpha-4	P13612	0	0,559,28,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
Q6ZMJ2,"A, member 5; ferritin receptor	Q6ZMJ2	0	0",561,32,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
U2OS40,"proteomes of two nucleated human cell lines, U2OS40 and HeLa,41 reflected the specialize",563,46,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
U2OS40,"with the proteomes of two nucleated cell lines, U2OS40 and HELA41 Gene Ontology enrichmen",579,49,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
Q6PK30,"(CT75, Q6PK30, 2q36.1), the uncharacterized protein C9orf...",634,8,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
Q5VXU9,"Q5VXU9,9q31,3), protein FAM43A (FA43A, Q8N2R8, 3q2...",635,1,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
Q8N2R8,"Q5VXU9,9q31,3), protein FAM43A (FA43A, Q8N2R8, 3q29), the PR domai",635,40,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
P57071,"zinc finger protein 15 (PRD15, P57071, 21q22.3), and the leucine-ric",636,32,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
Q86UE6,"repeat transmembrane protein 1 (LRRT1, Q86UE6, 2p12), were found du",637,40,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
Q14773,"intercellular adhesion molecule 4 (ICAM4, Q14773, 19p13.2), was enable",650,43,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
Q14773,Q14773	intercellular adhesion molecule 4	transcrip...,672,1,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
Q5VXU9,Q5VXU9	uncharacterized protein C9orf84	transcript	...,673,1,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
Q8N2R8,Q8N2R8	protein FAM43A	transcript	3	q29	TAILS	GluC	...,674,1,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
Q6PK30,Q6PK30	cancer/testis antigen 75	transcript	2	q36.1...,675,1,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
P57071,P57071	PR domain zinc finger protein 15	transcript...,676,1,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
Q86UE6,Q86UE6	leucine-rich repeat transmembrane neuronal ...,677,1,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
O95870,abhydrolase domain-containing protein 16A	O95870	S09.065	 ,1008,43,J_Proteome_Res_2014_Apr_4_13(4)_2028-2044.txt
