matchedPattern,context,lineNumber,columnNumber,publicationName
POG3,... Gas in the Gulf of Guinea (BIPOG3) 1st International Confer...,258,218,3_Biotech_2011_Oct_6_1(3)_117-138.txt
POGEN,...c chemotherapy‚ do not use NEUPOGEN® in the period 24 h befo...,179,112,AAPS_J_2011_Jun_1_13(3)_405-416.txt
POGPOGLIG,H2	(POG)3POGPOGLIG(POG)4	disc,21,9,ACS_Nano_2014_Dec_23_8(12)_12514-12523.txt
POGPIGLIG,H3	(POG)3POGPIGLIG(POG)4	disc,22,9,ACS_Nano_2014_Dec_23_8(12)_12514-12523.txt
POGLIGLIG,H4	(POG)3POGLIGLIG(POG)4	disc,23,9,ACS_Nano_2014_Dec_23_8(12)_12514-12523.txt
VOGDAY,... nine structures (CSD refcode VOGDAY contains two independen...,23,158,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_505-508.txt
VOGCOL01,"...nine structures (CSD refcodes VOGCOL01, VOGDAY, HAJYUN, HAJY...",23,832,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_505-508.txt
VOGDAY,"...tures (CSD refcodes VOGCOL01, VOGDAY, HAJYUN, HAJYUN01, HAJY...",23,842,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_505-508.txt
VOGCOL,... the structures (CSD refcodes VOGCOL and VOGDEL; Salorinne e...,23,1117,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_505-508.txt
VOGDEL,"...ures (CSD refcodes VOGCOL and VOGDEL; Salorinne et al., 2014...",23,1128,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_505-508.txt
VOGCOL,"...f the structures (CSD refcode VOGCOL; Salorinne et al., 2014...",23,1306,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_505-508.txt
POGHUF,"...OY01 = 88.9°, NOQFIJ = 83.5°, POGHUF = 84.6°, QADQIX = 89.1°...",32,824,Acta_Crystallogr_E_Crystallogr_Commun_2015_Nov_4_71(Pt_12)_1421-1424.txt
VOGHAA,"...; Hu et al., 1993 ▸), M = Co (VOGHAA: Hu et al., 1991 ▸; SUJ...",30,297,Acta_Crystallogr_E_Crystallogr_Commun_2015_Nov_28_71(Pt_12)_1531-1535.txt
