matchedPattern,context,lineNumber,columnNumber,publicationName
EOGRAPHIC,4. DEFINITION OF GEOGRAPHIC INFORMATION SYSTEM,18,18,Acta_Inform_Med_2014_Dec_19_22(6)_402-405.txt
EOGLYCANS,...cleGLYCOSAMINOGLYCANS AND PROTEOGLYCANS IN PALMAR FASCIA OF ...,3,201,Acta_Ortop_Bras_2016_Mar-Apr_24(2)_98-101.txt
EOGAS,...1890/0012-9658(1998)079[2878:FEOGAS]2.0.CO;2,120,166,Acta_Theriol_(Warsz)_2012_Jul_27_57(3)_217-223.txt
EOGRAPHY,... UP AND COMING? THE SHIFTING GEOGRAPHY OF URBA,3,231,Africa_(Lond)_2013_Nov_83(4)_539-560.txt
EOGENESIS,GLUCONEOGENESIS		Azathioprine	Taxol,57,6,Aging_(Albany_NY)_2015_Oct_23_7(10)_816-838.txt
EOGRAPHY,GEOGRAPHY OF HD,16,1,Allergy_Asthma_Immunol_Res_2013_Mar_24_5(2)_68-74.txt
EOGElectrooculogram,EOGElectrooculogra,212,0,Alzheimers_Res_Ther_2015_Dec_29_7_80.txt
EOGene,GEOGene Expression Omnibu,353,1,Alzheimers_Res_Ther_2016_Jan_28_8_5.txt
EOGene,GEOGene Expression Omnibu,147,1,Alzheimers_Res_Ther_2016_Apr_19_8_15.txt
EOGENESIS,SEVERITY GRADING IN OSTEOGENESIS IMPERFECTA SYNDROME,90,23,Am_J_Med_Genet_A_2014_Jun_8_164(6)_1470-1481.txt
EOGENESIS,...SENTATIONS AND FEATURES OF OSTEOGENESIS IMPERFECT,149,42,Am_J_Med_Genet_A_2014_Jun_8_164(6)_1470-1481.txt
EOGRAPHIC,"... IN FUNCTION OF ATMOSPHERIC, GEOGRAPHIC AND TEMPORA",140,49,An_Bras_Dermatol_2015_May-Jun_90(3)_297-310.txt
EOGRAPHY,GEOGRAPHY AND ECOLOG,81,1,An_Bras_Dermatol_2015_Sep-Oct_90(5)_610-619.txt
EOGRAPHIC,PREVALENCE OF GEOGRAPHIC TONGUE IN PSORIASIS ...,153,15,An_Bras_Dermatol_2016_Jul-Aug_91(4)_410-421.txt
EOGRAPHIC,...GENETIC SIMILARITIES BETWEEN GEOGRAPHIC TONGUE AN,289,56,An_Bras_Dermatol_2016_Jul-Aug_91(4)_410-421.txt
EOGoEEAEE,nuAIMxEEEEhEECVE EOGoEEAEE {EE(R)uIElE&,168,17,Anc_Sci_Life_2003_Apr-Jun_22(4)_122-128.txt
EOGUM,MEDICINAL OLEOGUM RESIN - GUGGULU A REVIE,4,12,Anc_Sci_Life_1985_Oct-Dec_5(2)_104-112.txt
EOGRAPHICAL,GEOGRAPHICAL APPROACH TOWARDS T...,3,1,Anc_Sci_Life_1986_Apr-Jun_5(4)_216-227.txt
EOGElectrooculogram,EOGElectrooculogra,200,0,Ann_Biomed_Eng_2012_Aug_9_40(8)_1835-1850.txt
EOG300,... were sterilized with a model EOG300 ethylene oxide gas ster...,33,938,Ann_Dermatol_2012_May_26_24(2)_162-167.txt
EOGERGdepressionVisual,EOGERGdepressionVisual system,17,0,Ann_Gen_Psychiatry_2005_Mar_29_4_7.txt
EOGelectrooculogram,EOGelectrooculogra,230,0,PMC5334329.txt
EOGENESIS,MANDIBLE DISTRACTION OSTEOGENESI,54,24,Ann_Maxillofac_Surg_2013_Jan-Jun_3(1)_4-10.txt
EOGMAP,....1674/0003-0031(2001)146[0146:EOGMAP]2.0.CO;,498,52,AoB_Plants_2015_Feb_27_7_plv014.txt
EOGs,...d vertical electrooculograms (EOGs) were recorded using elec...,35,266,Appl_Psychophysiol_Biofeedback_2009_Sep_8_34(3)_221-226.txt
EOGRAPHIC,DEMOGRAPHIC & GEOGRAPHI,141,15,Arch_Phys_Med_Rehabil_2011_Aug_92(8)_1220-1229.txt
EOGene,GEOGene Expression Omnibu,288,1,Arthritis_Res_Ther_2014_Oct_4_16(5)_465.txt
EOGene,GEOGene Expression Omnibu,128,1,Arthritis_Res_Ther_2014_Dec_3_16(6)_489.txt
EOGene,GEOGene Expression Omnibu,197,1,Arthritis_Res_Ther_2015_Mar_22_17(1)_72.txt
EOGene,GEOGene Expression Omnibu,288,1,Arthritis_Res_Ther_2015_Mar_22_17(1)_76.txt
EOGene,GEOGene Expression Omnibu,158,1,Arthritis_Res_Ther_2016_Jan_20_18_19.txt
EOGI,...SSIFICATION CRITERIA FOR GOUTNEOGI ET ALNeogi Tuhina,3,367,Arthritis_Rheumatol_2015_Oct_9_67(10)_2557-2568.txt
EOGEN,"...ies, USA), using ELISA kits (NEOGEN Testosterone ELISA kit, ...",24,1327,Asian-Australas_J_Anim_Sci_2012_Jul_25(7)_994-1002.txt
EOGRAPHIC,... INDIGENOUS CATTLE AND THEIR GEOGRAPHIC DISTRIBUTIO,28,38,Asian-Australas_J_Anim_Sci_2015_Jul_28(7)_911-921.txt
EOGEN,"...g an enzyme immunoassay kit (NEOGEN, Lexington, KY, USA). Th...",34,73,PMC5337913.txt
EOGor,...wearable eye trackers whether EOGor video-based - are accura...,157,246,Basic_Clin_Neurosci_2014_Winter_5(1)_55-65.txt
EOGs,...rizontal electro-occulograms (EOGs) were recorded simultaneo...,180,412,Behav_Brain_Funct_2005_Dec_9_1_22.txt
EOGd,...ave of the electro-oculogram (EOGd) Arrowhead points at P50d...,91,474,Behav_Brain_Funct_2006_Jan_28_2_6.txt
EOGs,...hus of each eye. Each pair of EOGs was recorded bipolarly. R...,110,280,Behav_Brain_Funct_2005_Nov_15_1_20.txt
EOGs,...ere kept below 5 kΩ. EEGs and EOGs were recorded continuousl...,75,567,Behav_Brain_Funct_2007_Dec_28_3_66.txt
EOGs,"...EGs, left and right monopolar EOGs, surface mentalis EMGs, a...",45,283,Behav_Brain_Funct_2009_Oct_6_5_43.txt
EOGs,...horizontal electrooculograms (EOGs) were simultaneously reco...,49,476,Behav_Brain_Funct_2010_Oct_28_6_66.txt
EOGs,...horizontal electrooculograms (EOGs) were simultaneously reco...,66,415,Behav_Brain_Funct_2011_Jul_13_7_26.txt
EOGene,GEOGene Expression Omnibu,184,1,Big_Data_2016_Jun_1_4(2)_97-108.txt
EOGene,GEOGen,1020,1,PMC4843776.txt
EOGENESIS,"...D METABOLISM GLYCOLYSIS/GLUCONEOGENESIS, ETHANOL OXIDATION, ...",125,114,BioData_Min_2013_Oct_15_6_17.txt
EOGENESIS,"... METABOLISM, GLYCOLYSIS/GLUCONEOGENESIS, VITAMIN A/CAROTENOI...",149,123,BioData_Min_2013_Oct_15_6_17.txt
EOGene,GEOGene expression Ominibu,203,1,BioData_Min_2016_Nov_2_9_34.txt
