matchedPattern,context,lineNumber,columnNumber,publicationName
EOGLE,...1186/1471-2105-10-264SoftwareGEOGLE: context mining tool for...,3,117,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,...r gene expression analysis – GEOGLE. GEOGLE offers a rapid a...,9,269,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,...xpression analysis – GEOGLE. GEOGLE offers a rapid and conve...,9,277,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,"...nd signature list. Moreover, GEOGLE summarizes the signature...",9,532,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,... expression experiment data. GEOGLE is a novel tool that pro...,12,154,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,...e web site and user guide of GEOGLE are available at,12,454,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,"...e bioinformatics tool, named GEOGLE, for mining the experime...",19,91,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,"...ted p value is introduced by GEOGLE, which could be consider...",19,684,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,GEOGLE description and result,22,1,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,The analysis in GEOGLE consists of two major pa...,23,17,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,...ed in Connectivity Map [12]. GEOGLE will search similar data...,23,840,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,"...ttributes of these datasets, GEOGLE will summarize the commo...",23,973,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,...rn was used in the design of GEOGLE that isolated data proce...,26,52,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,...ession datasets collected in GEOGLE mainly consist of data i...,26,334,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,...GPLs) have been collected in GEOGLE. 6 GPLs in Human contain...,26,496,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,...e can be also used to update GEOGLE by collecting data from ...,26,1840,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,Figure 1 The components of GEOGLE. GEOGLE contains three m...,28,28,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,... 1 The components of GEOGLE. GEOGLE contains three major eng...,28,36,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,"...his engine and stored in the GEOGLE database, such as the li...",31,155,BMC_Bioinformatics_2009_Aug_25_10_264.txt
EOGLE,... are five miners provided by GEOGLE. The main difference of ...,58,324,BMC_Bioinformatics_2009_Aug_25_10_264.txt
