matchedPattern,context,lineNumber,columnNumber,publicationName
POGZ,"...tive modulators (CDH1, PPCDC, POGZ, ATMIN, MAPK8IP1, TP53RK,...",171,1699,Ann_Neurol_2016_May_6_79(5)_826-840.txt
POGZ,...  Kimura H.  Obuse C.   Human POGZ modulates dissociation of...,153,101,Biochim_Biophys_Acta_2014_Aug_1839(8)_711-718.txt
POGZ,POGZ	yes	coding	5-13,45,1,Biol_Direct_2011_Nov_23_6_59.txt
POGZ,"...mbers such as 5 to 13 for the POGZ gene etc., Table 1? In Ta...",358,149,Biol_Direct_2011_Nov_23_6_59.txt
POGZ,HisH4	02_08	1	POGZ,425,14,BMC_Bioinformatics_2007_Sep_24_8_359.txt
POGZ,"...2, TOP2B, TCF4, MYST3, SETD5, POGZ, BRD3, MED13, BPTF, GPATC...",123,75,BMC_Bioinformatics_2012_Mar_13_13(Suppl_2)_S12.txt
POGZ,...  Hirota T  Nozaki N    Human POGZ modulates dissociation of...,220,74,BMC_Cancer_2016_Jan_20_16_32.txt
POGZ,POGZ	8.70E-05	5.28E-07	2.38E-0...,261,0,BMC_Genomics_2010_Nov_8_11_622.txt
POGZ,"...ochondrial ribosomal protein, POGZ - Zinc finger protein fou...",138,639,BMC_Genomics_2015_Nov_18_16_967.txt
POGZ,... for a regulator. For example POGZ has cocitations with two ...,164,155,BMC_Genomics_2015_Nov_18_16_967.txt
POGZ,... an example for the regulator POGZ,166,904,BMC_Genomics_2015_Nov_18_16_967.txt
POGZ,"... predicted for one regulator, POGZ. Any two genes in the net...",207,91,BMC_Genomics_2015_Nov_18_16_967.txt
POGZ,"...genes (CHD8, DYRK1A, KATNAL2, POGZ, SCN2A) having two de nov...",7,847,BMC_Proc_2012_Oct_1_6(Suppl_6)_O4.txt
POGZ,23126	POGZ	Pogo transposable element...,233,6,Br_J_Cancer_2015_Sep_29_113(7)_1055-1065.txt
POGZ,...able element with ZNF domain (POGZ)	IPI00410717 (+5)	155	2	2...,95,56,Cancer_Res_Treat_2016_Jan_6_48(1)_322-333.txt
POGZ,...  Hirota T  Nozaki N    Human POGZ modulates dissociation of...,116,73,Cancer_Res_Treat_2016_Jan_6_48(1)_322-333.txt
POGZ,chr1:149652924-149695116	POGZ	127,202,25,Cell_Rep_2013_Nov_14_5(3)_849-860.txt
POGZ,... N  Kimura H  Obuse C   Human POGZ modulates dissociation of...,227,88,Chromosoma_2014_Oct_3_123(1-2)_25-42.txt
POGZ,... N  Kimura H  Obuse C   Human POGZ modulates dissociation of...,191,88,Chromosoma_2014_Nov_28_123(3)_239-252.txt
POGZ,...S000455Research ReportDe novo POGZ mutations are associated ...,3,220,Cold_Spring_Harb_Mol_Case_Stud_2015_Oct_1(1)_a000455.txt
