matchedPattern,context,lineNumber,columnNumber,publicationName
VOGELSTEIN,"...i, Milan, Italy and Prof Bert VOGELSTEIN from the Ludwig Cen...",99,538,Acta_Pharmacol_Sin_2011_Nov_19_32(11)_1387-1396.txt
VOGELSTEIN,"...Track-PPARδ (provided by Dr B VOGELSTEIN, Howard Hughes Medi...",31,929,Acta_Pharmacol_Sin_2009_Sep_17_30(9)_1351-1358.txt
VOGELSTEIN,"7. FEARON, E. R? VOGELSTEIN, B. & FEINBERG, A. ...",265,17,PMC5113655.txt
VOGELSTEIN,"...W., NILBERT, M.C., SU, L.-K., VOGELSTEIN, B., BRYAN",322,41,Br_J_Cancer_1993_Feb_67(2)_244-246.txt
VOGELSTEIN,"KINZLER, K.W., NILBERT, M.C., VOGELSTEIN, B., BRYAN, T.M.",331,30,Br_J_Cancer_1993_Feb_67(2)_244-246.txt
VOGELSTEIN,"VOGELSTEIN, B., FEARSON, E.R.,...",356,0,Br_J_Cancer_1993_Feb_67(2)_244-246.txt
VOGELSTEIN,"...SIMONS, J.W., KARASUYAMA, H., VOGELSTEIN, B.",703,41,Br_J_Cancer_1993_Feb_67(2)_304-310.txt
VOGELSTEIN,"FEINBERG, A.P. & VOGELSTEIN, B. (1983). A techn...",745,17,Br_J_Cancer_1993_Feb_67(2)_209-215.txt
VOGELSTEIN,"FEINBERG, A.P. & VOGELSTEIN, B. (1983). A techn...",829,17,Br_J_Cancer_1993_Feb_67(2)_268-273.txt
VOGELSTEIN,"GOELZ, S.E., HAMILTON, S.R. & VOGELSTEIN, B. (1985)",869,30,Br_J_Cancer_1993_Feb_67(2)_268-273.txt
VOGELSTEIN,"...OHYEKWERE, O., SIDRANSKY, D., VOGELSTEIN, B",442,44,Br_J_Cancer_1993_Feb_67(2)_205-208.txt
VOGELSTEIN,"G., KINZLER, K.W. & VOGELSTEIN, B. (1990). Identif...",696,20,Br_J_Cancer_1993_Jan_67(1)_93-98.txt
VOGELSTEIN,"FEINBERG, A.P. & VOGELSTEIN, B. (1983). A techn...",700,17,Br_J_Cancer_1993_Jan_67(1)_93-98.txt
VOGELSTEIN,"...., SU, L.-K., KINZLER, K.W. & VOGELSTEIN, B. (1991)",836,40,Br_J_Cancer_1993_Jan_67(1)_93-98.txt
VOGELSTEIN,"CHO, K.R., KINZLER, K.W., VOGELSTEIN, B. & DE LA CHAPELL...",849,26,Br_J_Cancer_1993_Jan_67(1)_93-98.txt
VOGELSTEIN,"VOGELSTEIN, B., FEARON, E.R., ...",883,0,Br_J_Cancer_1993_Jan_67(1)_93-98.txt
VOGELSTEIN,"FEINBERG, A.P. & VOGELSTEIN, B. (1983). A techn...",1075,17,Br_J_Cancer_1993_Jan_67(1)_37-46.txt
VOGELSTEIN,"G., KINZLER, K.W. & VOGELSTEIN, B. (1990). Identif...",585,20,Br_J_Cancer_1993_Jan_67(1)_71-75.txt
VOGELSTEIN,"VOGELSTEIN, B., FEARON, E.R., ...",697,0,Br_J_Cancer_1993_Jan_67(1)_71-75.txt
VOGELSTEIN,"...LLSON, J.K.V., HAMILTON, S. & VOGELSTEIN, B",515,44,Br_J_Cancer_1993_Jan_67(1)_88-92.txt
