matchedPattern,count
VOGELSTEIN,809
POGO,542
VOGEL,418
POGZ,374
POGLUT1,368
VOGT,242
EOGT,168
EOGC,163
POGH,156
POGIL,121
EOGBS,121
POGR,114
EOGENESIS,109
EOGRAPHICAL,90
EOGRAPHIC,81
POGLYCEMIA,78
VOGLER,74
POGRAPHY,73
POGONIS,69
POGS,69
VOGIM,60
POGF,57
EOGRAPHY,56
POGENESIS,56
EOGRTS,55
EOGENIC,55
EOGLYCANS,54
VOGM,52
VOGELZANG,50
EOGLE,49
POGQ,47
VOGRODSKY,45
EOGN,37
VOGEA,35
POGK,35
POGEN,32
POGGI,32
VOG3,31
EOGLYCAN,30
EOGEN,30
POGP,30
EOGR,28
POGLICO,27
EOGL,27
POGROSSI,27
EOGE,27
POGONADISM,26
POGD,25
POGLUT1D233E,24
EOGH,23
EOGENIN,23
POGEE,23
POGB,21
POG12,19
VOGL,19
POGRAPHICAL,19
POG1,19
POG21,19
POGI,19
EOGS,19
POGRAPHIC,18
VOGAM,18
POGLYCEMIC,18
POGLYCAEMIA,17
POG600,16
POGGIO,16
POGG,16
VOGELSANG,16
POG9411,15
POGA,15
VOG0023,15
POGER,15
POGAS,14
POGENIC,14
POGIN,14
POGE,13
VOGEN,13
EOGA,12
EOGV,12
VOG0249,12
POGM,12
POGRID,11
VOGENE,11
EOGI,10
VOGELS,10
EOGY,10
VOGELL,10
POGAIN,10
VOG0038,10
EOG2,10
VOG2,10
POGON,10
EOGRAFIA,10
POG44,10
VOGUE,10
VOG0262,10
VOGHIEROSIDE,10
POGPO,9
EOGENEX,9
POGC,9
