matchedPattern,count
PS00398,1
PS50818,1
PS20240,1
PDOC00380,1
PS19323,1
PS01340,1
PDOC50188,1
PS50804,1
PS12227,1
PS39515,1
PS12523,1
PS25242,1
PS00074,1
PS84159,1
PDOC00814,1
PS00950,1
PS00311,1
PS52516,1
PS00931,1
PS48495,1
PS01096,1
PS51386,1
PS49426,1
PS00038,1
PS08101,1
PS00629,1
PS00893,1
PS00892,1
PS50866,1
PS00058,1
PS76333,1
PS73250,1
PS13162,1
PDOC00347,1
PDOC00251,1
PS00932,1
PS51013,1
PS01173,1
PS50303,1
PS00692,1
PS00449,1
PS00098,1
PDOC00171,1
PDOC00007,1
PS00570,1
PS51330,1
PS50936,1
PS51325,1
PS08164,1
PS09029,1
PS20889,1
PS01017,1
PS01243,1
PDOC00961,1
PS12207,1
PS00397,1
PS00336,1
PS11671,1
PS50015,1
PS81238,1
PS37891,1
PS41617,1
PDOC00786,1
PS00134,1
PDOC00537,1
PDOC51234,1
PS61222,1
PS09022,1
PS13024,1
PS00261,1
PS34132,1
PS01174,1
PS63000,1
PS00527,1
PS18263,1
PDOC00027,1
PS11341,1
PS00904,1
PS20774,1
PS61085,1
PS33737,1
PS00066,1
PS00349,1
PS51147,1
PS26156,1
PS08188,1
PDOC00929,1
PS09013,1
PS00497,1
PS48535,1
PS62737,1
PS00190,1
PS21242,1
PS00047,1
PS00399,1
PS51406,1
PS22240,1
PS12013,1
PS25160,1
PS40002,1
PDOC00937,1
PS01012,1
PS07145,1
PS07004,1
PS32714,1
PS50174,1
PS00600,1
PS51072,1
PS51588,1
PS31464,1
PS50021,1
PS00282,1
PS00609,1
PS12480,1
PS25100,1
PS23595,1
PS16864,1
PS29313,1
PS00183,1
PS00151,1
PS00612,1
PS12530,1
PS11445,1
PS20036,1
PS51473,1
PS25263,1
PS01300,1
PS50095,1
PS00278,1
PS50325,1
PS00287,1
PS50847,1
PS06035,1
PS12538,1
PS20204,1
PS50051,1
PS50299,1
PS50311,1
PS24866,1
PS50250,1
PS14283,1
PS78233,1
PS20701,1
PS09017,1
PS00489,1
PS14151,1
PS50830,1
PS50931,1
PDOC50099,1
PS50115,1
PS00906,1
PS20034,1
PS00605,1
PS10659,1
PS00842,1
PS09915,1
PS36021,1
PS27957,1
PS00987,1
PS51030,1
PS50135,1
PS50990,1
PS00077,1
PS00316,1
PS01071,1
PS00458,1
PS61355,1
PS00800,1
PS00503,1
PS50894,1
PS51144,1
PS52549,1
PS08148,1
PDOC00427,1
PS10112,1
PS27958,1
PS00847,1
PS23930,1
PS00613,1
PS12049,1
PS34273,1
PS38151,1
PS27283,1
PS32831,1
PS50888,1
PS73075,1
PS25609,1
PS00068,1
PDOC00013,1
PS00739,1
PS01010,1
PS23242,1
PS00223,1
PS06058,1
PS51527,1
PS50203,1
PS12030,1
PS50262,1
PS00453,1
PS09010,1
PS08156,1
PS10039,1
PS00337,1
PDOC00045,1
PS00110,1
PS35129,1
PS28158,1
PS79102,1
PDOC00172,1
PS01081,1
PS50109,1
PS00303,1
PS50929,1
PS63992,1
PS33031,1
PS30056,1
PS00670,1
PS08220,1
PS00773,1
PS63991,1
PS32344,1
PS01001,1
PS12939,1
PS51469,1
PS25461,1
PS00202,1
PS50975,1
PS08206,1
PS10003,1
PS09005,1
PS60403,1
PS00102,1
PS50106,1
PS50013,1
PS50300,1
PS00623,1
PS12428,1
PS27959,1
PS88803,1
PS00139,1
PS24573,1
PS01164,1
PS51379,1
PS00878,1
PS25364,1
PS12384,1
PS00831,1
PS51420,1
PS25871,1
PS15153,1
PS50886,1
PDOC50038,1
PS00288,1
PS50067,1
PS07059,1
PS12106,1
PS11194,1
PDOC50016,1
PS27690,1
PS91600,1
PS04476,1
PS50125,1
PDOC00014,1
PS25292,1
PS20041,1
PS10555,1
PS00577,1
PS34507,1
PS15900,1
PS00597,1
PS08214,1
PS34373,1
PS50103,1
PS24816,1
PS00253,1
PS19660,1
PS00248,1
PS50962,1
PS00279,1
PS00796,1
PS12043,1
PDOC00117,1
PS54400,1
PS50062,1
PDOC00103,1
PS10202,1
PS61221,1
PS00635,1
PS00216,1
PS23540,1
PS89273,1
PS86034,1
PS00325,1
PS12024,1
PDOC00016,1
PS00774,1
PS51032,1
PS00445,1
PS24700,1
PS00150,1
PS10004,1
PS11121,1
PS38305,1
PS50097,1
PS27365,1
PS32242,1
PS19214,1
PS11871,1
PS00396,1
PS27961,1
PDOC00335,1
PS47801,1
PS10147,1
PS02231,1
PS12434,1
PS40811,1
PS58596,1
PS16798,1
PS98455,1
PS00461,1
PS98483,1
PDOC00195,1
PS01256,1
PS01131,1
PS50030,1
PS09315,1
PS12294,1
PS27956,1
PS00020,1
PS00798,1
PS00090,1
PDOC00424,1
PS34242,1
PS73633,1
PS50270,1
PDOC00946,1
PS03464,1
PS50305,1
PS12010,1
PS00624,1
PS11050,1
PDOC50982,1
PS00705,1
PS08142,1
PDOC51328,1
PS12324,1
PS31749,1
PS00104,1
PS50046,1
PS36821,1
PS32530,1
PS00676,1
PS01330,1
PS36224,1
PS01053,1
PS20366,1
PS02450,1
PS24594,1
PS00738,1
PS50158,1
PS12094,1
PS38411,1
PS01258,1
PS50808,1
PS02206,1
PS76933,1
PS51049,1
PS25369,1
PS00296,1
PS00514,1
PS21085,1
PS00978,1
PS00027,1
PS77018,1
PS00215,1
PS06257,1
PS60307,1
PS06067,1
PDOC00606,1
PS50187,1
PS01125,1
PDOC00316,1
PS01080,1
PS09730,1
PS27218,1
PS22962,1
PS32771,1
PS79473,1
PS00680,1
PS50258,1
PS00290,1
PS50322,1
PS00042,1
PS96200,1
PS01165,1
PS09038,1
PS04050,1
PS51402,1
PS10602,1
PS01009,1
PS13003,1
PS23456,1
PS13443,1
PS00627,1
PS15171,1
PS00099,1
PS61819,1
PS12545,1
PS01132,1
PDOC50878,1
PS08112,1
PS10038,1
PS00147,1
PS25262,1
PS00162,1
PS10578,1
PS12293,1
PS00608,1
PS30343,1
PS00155,1
PS07055,1
PS26670,1
PS00197,1
PS00283,1
PS51062,1
PDOC50031,1
PS16589,1
PS13006,1
PDOC00559,1
PS72301,1
PS10022,1
PDOC51210,1
PS00520,1
PS51272,1
PS14162,1
PDOC51211,1
PS50066,1
PS14011,1
PS78230,1
PS00415,1
PS02369,1
PS12021,1
PS00096,1
PS50111,1
PS63296,1
PS31326,1
PS25621,1
PS19810,1
PS50323,1
PS00488,1
PS50143,1
PS15056,1
PDOC51335,1
PS09123,1
PS08169,1
PS00699,1
PS66819,1
PS37561,1
PS09133,1
PS00818,1
PS67640,1
PS10079,1
PDOC51236,1
PS51149,1
PS00914,1
PS10111,1
PS27962,1
PS00856,1
PS01123,1
PS09073,1
PS12655,1
PS50240,1
PS17528,1
PS46474,1
PS19670,1
PS09014,1
PS00045,1
PS07170,1
PS00907,1
PS01011,1
PS54360,1
PS01098,1
PS11109,1
PS00822,1
PS61107,1
PS21410,1
PS19800,1
PS00697,1
PS09002,1
PS00595,1
PS33871,1
PDOC00177,1
PS50920,1
PS25877,1
PS33374,1
PS00383,1
PS00209,1
PS63995,1
PS09025,1
PDOC50943,1
PS00780,1
PS00674,1
PDOC00109,1
PS15375,1
PS20031,1
PS10117,1
PS00900,1
PS02313,1
PS90051,1
PS12056,1
PDOC00134,1
PS50042,1
PS19202,1
PS60304,1
PS00382,1
PS50195,1
PS50885,1
PS63001,1
PS10136,1
PS14194,1
PS65024,1
PS51509,1
PS00318,1
PS00888,1
PS42911,1
PS12633,1
PS10830,1
PS50815,1
PS20389,1
PS50268,1
PS09194,1
PS14182,1
PS51419,1
PS41830,1
PS84142,1
PS12014,1
PS67891,1
PS85659,1
PDOC00029,1
PDOC00025,1
PS23002,1
PS91318,1
PS12458,1
PS18800,1
PS26272,1
PS00372,1
PS08074,1
PS07147,1
PS26288,1
PDOC00306,1
PS15764,1
PS00043,1
PS01434,1
PS00622,1
PS14891,1
PS12175,1
PS00232,1
PS49343,1
PS13282,1
PS27964,1
PDOC00416,1
PS20767,1
PS20092,1
PS68151,1
PS61131,1
PS90196,1
PS33901,1
PS50960,1
PS28889,1
PS01142,1
PS96961,1
PS10063,1
PS00559,1
PS30502,1
PS45510,1
PS00205,1
PS00693,1
PS00370,1
PS50104,1
PS12131,1
PS00475,1
PS49585,1
PS00602,1
PS02290,1
PS34441,1
PS13240,1
PS13005,1
PDOC01045,1
PS06043,1
PS48465,1
PS51354,1
PS23023,1
