matchedPattern,context,lineNumber,columnNumber,publicationName
PS00000,Vibrio alginolyticus 12G01	AAPS00000000	5160431	44	4732	86	53,45,30,BMC_Evol_Biol_2009_Oct_27_9_258.txt
PS00000,"...ized 2% milk (7 days)	7.5 Mb (161)	252,603	51.8	ASPS00000000",43,99,BMC_Genomics_2014_Jan_14_15_26.txt
PS00000,"...0000, ASQA00000000, ASPV00000000, ASPX00000000, ASPS00000000, ASPR00000000, ASPU00000000, ASPT000000...",222,203,BMC_Genomics_2014_Jan_14_15_26.txt
PS00000,C. botulinum U21069	LFPS00000000	I	A2	SU1887	orfX+	chr	arsC	2007	soil	Ar...,89,23,BMC_Genomics_2016_Mar_3_17_180.txt
PS00000,"Vibrio alginolyticus 12	NZ_AAPS00000000.1	2,445,375	384,938",87,30,BMC_Microbiol_2013_Apr_11_13_80.txt
PS00000,...ed at DDBJ/EMBL/GenBank under the accession no. AMPS00000000,22,94,Genome_Announc_2013_Jan_15_1(1)_e00041-12.txt
PS00000,...osited at DDBJ/EMBL/GenBank under accession no. CAPS00000000,15,97,Genome_Announc_2013_Mar_7_1(2)_e00055-13.txt
PS00000,"...osited in DDBJ/EMBL/GenBank under accession no. AUPS00000000 and AUPT00000000, respectively",17,111,Genome_Announc_2013_Sep_26_1(5)_e00689-13.txt
PS00000,"ATCC 33641	CDC1461 to CDC1481	JPPS00000000 (2 scaffolds; 10 contigs)	4,941,072 (47...",28,33,Genome_Announc_2014_Oct_23_2(5)_e01055-14.txt
PS00000,"14649	6.23	489,659	66.4	225	134	178	31	LKPS00000000",16,42,Genome_Announc_2016_Jan_28_4(1)_e01528-15.txt
PS00000,...ed at DDBJ/EMBL/GenBank under the accession no. LOPS00000000. The version described in this paper is...,16,101,Genome_Announc_2016_Feb_18_4(1)_e01734-15.txt
PS00000,Citrobacter koseri	GED7778C	HMS-1288	LRPS00000000,29,40,Genome_Announc_2016_Sep_29_4(5)_e00889-16.txt
PS00000,...ted at DDBJ/ENA/GenBank under the accession no. MBPS00000000. The version described in this paper is...,22,100,Genome_Announc_2016_Oct_20_4(5)_e01164-16.txt
PS00000,...ted at DDBJ/ENA/GenBank under the accession no. MIPS00000000. The version described in this paper is...,26,115,PMC5289693.txt
PS00000,"MKPS00000000	SRR1815969	BCW_3906	37	17	2,878,382	2,8...",200,3,PMC5331488.txt
PS00000,"MJPS00000000	SRR1816078	BCW_4277	55	10	2,932,904	2,9...",264,3,PMC5331488.txt
PS00000,"...base primer sets, IPS000029 for TCR-α chains and IPS000003 for TCR-β chains. To construct the αβ TCR...",101,116,J_Exp_Med_2013_Apr_8_210(4)_729-741.txt
PS00000,...d (HBSS-BSA-probenecid; AfCS Solution Protocol ID PS00000574; pH 7.45; Gibco Life Technologies) and ...,42,504,Mol_Med_Rep_2015_Oct_3_12(4)_4909-4916.txt
PS00000,"...bers: ABPP00000000, ABPQ00000000, ABPR00000000, ABPS00000000, ABPT00000000, ABPU00000000, ABPV000000...",42,620,Mol_Syst_Biol_2008_Jun_3_4_198.txt
PS00000,"...J/ENA/GenBank under the accession LYPQ00000000, LYPS00000000, LDWV00000000, LYPU00000000, LYPT000000...",39,1774,PMC5251932.txt
