matchedPattern,context,lineNumber,columnNumber,publicationName
PS00028,"...d using 7 different PROSITE zinc finger patterns: PS00028, PS00518, PS00752, PS01030, PS01102, PS130...",48,94,BMC_Bioinformatics_2009_Oct_8_10_323.txt
PS00028,(PS00028),564,3,BMC_Bioinformatics_2009_Oct_8_10_323.txt
PS00028,"...cally between patterns: from 7 (PS00752) to 1598 (PS00028). In order to produce a meta-pattern, a re...",578,218,BMC_Bioinformatics_2009_Oct_8_10_323.txt
PS00028,PS00028	10129 (88%)	9 (45%)	1598 (54%)	14 (14%),584,1,BMC_Bioinformatics_2009_Oct_8_10_323.txt
PS00028,"...d using 7 different PROSITE zinc finger patterns: PS00028, PS00518, PS00752, PS01030, PS01102, PS130...",48,94,BMC_Bioinformatics_2009_Oct_8_10_323.txt
PS00028,(PS00028),564,3,BMC_Bioinformatics_2009_Oct_8_10_323.txt
PS00028,"...cally between patterns: from 7 (PS00752) to 1598 (PS00028). In order to produce a meta-pattern, a re...",578,218,BMC_Bioinformatics_2009_Oct_8_10_323.txt
PS00028,PS00028	10129 (88%)	9 (45%)	1598 (54%)	14 (14%),584,1,BMC_Bioinformatics_2009_Oct_8_10_323.txt
PS00028,...ed the PDB files listed as 3D cross-references in PS00028 file from Prosite’s Release 20.99 [28] for...,184,99,BMC_Bioinformatics_2015_Aug_14_16_256.txt
PS00028,...ed the PDB files listed as 3D cross-references in PS00028 file from Prosite’s Release 20.99 [28] for...,184,99,BMC_Bioinformatics_2015_Aug_14_16_256.txt
PS00028,...324	36.13	Zinc finger C2H2 type domain signature (PS00028)	2e-178	98	YP_031652	FV3	ring finger prote...,107,68,BMC_Genomics_2009_May_14_10_224.txt
PS00028,...324	36.13	Zinc finger C2H2 type domain signature (PS00028)	2e-178	98	YP_031652	FV3	ring finger prote...,107,68,BMC_Genomics_2009_May_14_10_224.txt
PS00028,"...OSITE_negatives_PS000125.fasta, PROSITE_positives_PS00028.fasta, PROSITE_negatives_PS00028.fasta). T...",53,497,F1000Res_2015_May_29_4_60.txt
PS00028,"...ROSITE_positives_PS00028.fasta, PROSITE_negatives_PS00028.fasta). The most current PROSITE records a...",53,530,F1000Res_2015_May_29_4_60.txt
PS00028,...me were used (See PROSITE_PS00125.txt and PROSITE_PS00028.txt),53,648,F1000Res_2015_May_29_4_60.txt
PS00028,Data file 3 Data File PROSITE_positives_PS00028.fasta. Sequence file in FASTA format of al...,245,41,F1000Res_2015_May_29_4_60.txt
PS00028,Data file 4 Data File PROSITE_negatives_PS00028.fasta. Sequence file in FASTA format of al...,247,41,F1000Res_2015_May_29_4_60.txt
PS00028,Data file 6 Data File PROSITE_PS00028.txt. PROSITE record used for the zinc fing...,251,31,F1000Res_2015_May_29_4_60.txt
PS00028,Data file 11 Data File PILGram_PATTERNS_PS00028.txt. Regular expressions generated by PILG...,261,41,F1000Res_2015_May_29_4_60.txt
PS00028,Data file 12 Data File PS00028_alignments.out. Sequence alignments of PIL...,263,24,F1000Res_2015_May_29_4_60.txt
