matchedPattern,context,lineNumber,columnNumber,publicationName
PS01000,6-3	AJPS01000059,183,8,BMC_Genomics_2015_Aug_4_16(1)_573.txt
PS01000,s1 3pro	MR11-like	AUPS0100000	41′392	35.60	67,71,21,PMC5294865.txt
PS01000,s1 2pro	Others	AUPS0100000	45′572	33.34	61,75,18,PMC5294865.txt
PS01000,"...A mutant of AS1.542, producing arginine	AS1.542	AQPS01000000	3,346,700	53.91		6	4	6	2	5	3	1",101,52,PMC5310272.txt
PS01000,"... PI-1-negative bovine genomes (ANPW00000000 and ANPS01000000), for example, detected several genes f...",87,1742,BMC_Microbiol_2014_Jun_19_14_159.txt
PS01000,"...this study. The genomes included the following: ANPS01000000, ANPW00000000, ANQA00000000, ANPU000000...",112,1109,BMC_Microbiol_2014_Jun_19_14_159.txt
PS01000,V. alginolyticus	NZ_AAPS01000071	2	1	0.999	0.001	15	0.883	0.117	14	0.967...,99,23,Evol_Bioinform_Online_2012_Mar_19_8_161-169.txt
PS01000,QacJ (EQM91153)	pS1d	AUPS01000033	2649	S. aureus	Contig,111,24,Front_Microbiol_2016_Sep_27_7_1528.txt
PS01000,"... follows: 1,723 contigs under accession numbers BBPS01000001 to BBPS01001723 and 60 scaffolds under ...",15,150,Genome_Announc_2015_Feb_26_3(1)_e00014-15.txt
PS01000,... The version described in this paper is version LOPS01000000,16,162,Genome_Announc_2016_Feb_18_4(1)_e01734-15.txt
PS01000,...ed at the EMBL database under accession numbers CZPS01000001 to CZPS01000044,19,117,Genome_Announc_2016_Mar_3_4(2)_e00052-16.txt
PS01000,...atabase under accession numbers CZPS01000001 to CZPS01000044,19,133,Genome_Announc_2016_Mar_3_4(2)_e00052-16.txt
PS01000,... The version described in this paper is version MBPS01000000,22,161,Genome_Announc_2016_Oct_20_4(5)_e01164-16.txt
PS01000,... The version described in this paper is version MIPS01000000,26,176,PMC5289693.txt
PS01000,...erived from the rpoS-like sigma factor gene (NZ_AAPS01000024) in V. alginolyticus 12G01 were designe...,21,113,J_Biomed_Biotechnol_2009_Dec_29_2009_126986.txt
PS01000,... identity to that of V. alginolyticus 12G01 (NZ_AAPS01000024). The sequence of the deduced protein w...,44,464,J_Biomed_Biotechnol_2009_Dec_29_2009_126986.txt
PS01000,... The version described in this paper is version AYPS01000000. The predicted proteins and RNAs are al...,177,175,PLoS_Genet_2014_May_8_10(5)_e1004355.txt
PS01000,"...Genbank accessions, JMRY01000011, APPX01000040, APPS01000002 and APPW01000012, respectively",101,471,PMC5313234.txt
PS01000,...plasmid is the second biggest plasmid (GenBank: AFPS01000102) [22]. It is slightly longer than the 5...,97,721,PLoS_One_2012_Apr_6_7(4)_e33971.txt
PS01000,"...HUS-associated O104 strain from 2001 (accession AFPS01000000), were compared to a set of plasmids wi...",103,673,PLoS_One_2012_Jun_18_7(6)_e39107.txt
