matchedPattern,context,lineNumber,columnNumber,publicationName
PS29964," PS299645	Clinical MDR isolate, AcrAB-TolC",92,2,BMC_Complement_Altern_Med_2011_Nov_1_11_104.txt
PS29964,PS299645	1024 (-)	256 (256)	256	256 (512)	- (-)	- ...,173,1,BMC_Complement_Altern_Med_2011_Nov_1_11_104.txt
PS29964,  PS299645	512	1024	1024	512	512	512	-	512	1024	-	32...,110,3,BMC_Complement_Altern_Med_2013_Jan_31_13_26.txt
PS29964,  PS299645	-	-	-	-	-	-	-	-	-	-	-,154,3,BMC_Complement_Altern_Med_2013_Jan_31_13_26.txt
PS29964, 	PS299645	1024	-	-	-	-	-	-	-	-	-	-	-,101,3,BMC_Complement_Altern_Med_2013_Jul_10_13_164.txt
PS29964, 	PS299645	512	-	-	-	-	-	-	-	-	16	512	32,130,3,BMC_Complement_Altern_Med_2013_Jul_10_13_164.txt
PS29964, PS299645	1024 (1024)	-	1024	512	32,97,2,BMC_Complement_Altern_Med_2013_Jul_25_13_190.txt
PS29964,PS299645	-	1024(-)	-	1024(-)	1024(-)	512(-)	-	512(...,139,1,BMC_Complement_Altern_Med_2014_Jul_14_14_241.txt
PS29964,"...d Providencia stuartii (ATCC29916, NEA16, PS2636, PS299645) were used. Their features were previousl...",52,523,BMC_Complement_Altern_Med_2015_Jun_30_15_206.txt
PS29964,PS299645	128	1024	128	-	128	512	256	512	128	512	-	...,339,1,BMC_Complement_Altern_Med_2015_Jun_30_15_206.txt
PS29964, PS299645	1024 (-)	-	-	64 (128)	-	64 (-),107,2,PMC5219710.txt
PS29964, PS299645	128 (-)	128 (-)	16 (-)	256 (-)	512 (-)	10...,163,2,PMC5219710.txt
PS29964, PS299645	-	128 (-)	512 (-)	1024 (-)	1024 (-),216,2,PMC5219710.txt
PS29964,"...a PA124, E. aerogenes EA289, Providencia stuartii PS29964, Enterobacter cloacae BM47, BM67, BM94, S....",287,2115,PMC5219710.txt
PS29964," PS299645	Clinical MDR isolate, AcrAB-TolC",110,2,BMC_Complement_Altern_Med_2015_Nov_22_15_412.txt
PS29964, PS299645	>256	256	>256	>256	>256	>256	>256	>256	>2...,173,2,BMC_Complement_Altern_Med_2015_Nov_22_15_412.txt
PS29964,"..., Providencia stuartii (NEA16, ATCC29916, PS2636, PS299645) and Pseudemonas aeruginosa (PA01, PA124)...",33,365,BMC_Complement_Altern_Med_2015_Dec_30_15_453.txt
PS29964,"PS299645	Clinical MDR isolate, AcrAB-TolC",89,1,BMC_Complement_Altern_Med_2015_Dec_30_15_453.txt
PS29964,PS299645	512	1024	2	64	128	2	32	>512	na,151,1,BMC_Complement_Altern_Med_2015_Dec_30_15_453.txt
PS29964,"...d Providencia stuartii (ATCC29916, NEA16, PS2636, PS299645). The clinical strains were the laborator...",86,532,BMC_Complement_Altern_Med_2016_May_4_16_124.txt
