matchedPattern,count
PDOC00117,1
PS33374,1
PS86034,1
PS19660,1
PS00139,1
PS67640,1
PS25871,1
PS11341,1
PS11121,1
PS01125,1
PS50322,1
PS19214,1
PS51527,1
PS48535,1
PS00382,1
PS01132,1
PS00906,1
PS01080,1
PS00038,1
PS08156,1
PS16798,1
PS31749,1
PS01009,1
PS00738,1
PS00074,1
PS12293,1
PS00223,1
PS00489,1
PS01174,1
PS39515,1
PS00020,1
PS20204,1
PS49585,1
PDOC51210,1
PS00488,1
PS00209,1
PS50104,1
PS50042,1
PS81112,1
PS00383,1
PS00102,1
PS14891,1
PDOC00027,1
PS51525,1
PS37891,1
PS50886,1
PS40000,1
PS51049,1
PS51588,1
PS50300,1
PS12545,1
PS27960,1
PS96961,1
PS27958,1
PDOC50188,1
PS72325,1
PDOC01045,1
PS00609,1
PS81238,1
PS00892,1
PS68151,1
PS00155,1
PS08015,1
PS11194,1
PS50262,1
PS91600,1
PS51473,1
PS25679,1
PDOC51211,1
PS07059,1
PS28889,1
PS51379,1
PS08220,1
PS50067,1
PS10555,1
PS50021,1
PS11871,1
PS50143,1
PS09013,1
PS50936,1
PS00445,1
PS19202,1
PS50303,1
PS27283,1
PS00927,1
PS50830,1
PS50928,1
PS15171,1
PS30056,1
PS30034,1
PS00021,1
PS00184,1
PS37561,1
PS00746,1
PS32333,1
PS79473,1
PS09133,1
PS00045,1
PS61222,1
PS18800,1
