matchedPattern,context,lineNumber,columnNumber,publicationName
PDOC00028,...dditional sequence features. The Prosite database PDOC00028 alignment was used for the reference con...,129,155,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,...afA ZF1-2 and ZF3-4 are indicated separately. The PDOC00028 C2H2 consensus is shown at the bottom as...,131,249,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,"... appearance in ϕ1, ϕ2, and those of general C2H2 (PDOC00028) is shown. Valine, leucine, and isoleuci...",133,531,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,"...those in a compilation of general C2H2 sequences (PDOC00028) (valine, 4.2%; leucine, 9.5%; isoleucin...",135,482,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,"...on) than those of general C2H2 sequences (Prosite PDOC00028, 8.1 ± 5.0 aa) (P < 1 × 10-100, Mann-Whi...",137,173,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,"...ce was found in about 65% of the sequences in the PDOC00028 alignment. Accordingly, conservation of ...",137,413,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,...rst cysteine of the C-terminally flanking ZF. The PDOC00028 (general C2H2) alignment contained 12326...,139,349,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,"...is, WebLogo http://weblogo.berkeley.edu/[77]. The PDOC00028 alignment in the Prosite database (12328...",262,708,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,The PDOC00028 sequence alignment contains the gene nam...,264,5,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,"...use the average length of general C2H2 sequences (PDOC00028) was 27.95 (n = 12328, standard deviatio...",264,367,BMC_Evol_Biol_2010_Feb_19_10_53.txt
