matchedPattern,context,lineNumber,columnNumber,publicationName
PS00014,ER_TARGET	PS00014	3	28,272,11,Algorithms_Mol_Biol_2010_Jan_26_5_15.txt
PS00014,...ces are described in the PROSITE entry PDOC00014 (PS00014/ER_TARGET,134,74,Biophys_Physicobiol_2015_Nov_12_12_57-68.txt
PS00014,"... true outlier among many others is represented by PS00014, which is annotated in the ELM database (E...",145,184,BMC_Bioinformatics_2007_Mar_1_8_68.txt
PS00014,A further analysis was performed on the PS00014 false positive sequences annotated in the ...,147,41,BMC_Bioinformatics_2007_Mar_1_8_68.txt
PS00014,...smic reticulum targeting sequence” motif (PROSITE:PS00014) is a short C-terminal sequence (frequentl...,81,254,BMC_Bioinformatics_2013_Jul_18_14_229.txt
PS00014,"...e not present, we scanned for the PROSITE pattern PS00014 (Endoplasmic reticulum targeting sequence)...",93,1663,BMC_Genomics_2014_Sep_29_15(1)_822.txt
PS00014,...d to remove sequences associated with the pattern PS00014 (Endoplasmic reticulum targeting sequence)...,174,1544,BMC_Genomics_2014_Sep_29_15(1)_822.txt
PS00014,"...e not present, we scanned for the PROSITE pattern PS00014 (Endoplasmic reticulum targeting sequence)...",93,1663,BMC_Genomics_2014_Sep_29_15_822.txt
PS00014,...d to remove sequences associated with the pattern PS00014 (Endoplasmic reticulum targeting sequence)...,174,1544,BMC_Genomics_2014_Sep_29_15_822.txt
PS00014,...luded. A PS-Scan analysis with the Prosite motif ‘PS00014’ (KDEL) filtered proteins that are likely ...,46,912,BMC_Genomics_2016_Feb_9_17_101.txt
PS00014,"... was used to scan ER targeting sequence (Prosite: PS00014) (30). With each of the programs, the defa...",18,761,Database_(Oxford)_2011_Feb_3_2011_bar001.txt
PS00014,"...asmic reticulum (ER) targeting sequence (Prosite: PS00014) (26, 27). Proteins having one or more mem...",24,815,Database_(Oxford)_2015_Aug_8_2015_bav077.txt
PS00014,... by SignalP 4.0 and an ER target signal (Prosite: PS00014) by PS-Scan often are luminal ER proteins,35,305,Database_(Oxford)_2015_Aug_8_2015_bav077.txt
PS00014,...Leu) in the C-terminal region (prosite accession “PS00014”) with PS-SCAN (version 1.79). Annotation ...,215,1019,Front_Microbiol_2015_Nov_18_6_1278.txt
PS00014,"...m lumen retention signal (KDEL motif, Prosite ID: PS00014) using ScanProSite (http://prosite.expasy....",27,1424,Parasit_Vectors_2015_Jan_7_8_7.txt
PS00014,...rgeting signals by PS-Scan [24] (Prosite pattern: PS00014) and GPI-anchor signals by PredGPI [25] wi...,31,1574,Parasit_Vectors_2015_Dec_30_8_666.txt
PS00014,"...de a derived ER retention signal [Prosite pattern PS00014, according to Andres et al. (1990)] (Fig. ...",89,440,Plant_Cell_Rep_2009_Nov_2_28(11)_1747-1758.txt
PS00014,"...9, http://www.ebi.ac.uk/interpro/entry/IPR011679; PS00014, http://prosite.expasy.org/PS00014) and no...",31,194,Plant_Methods_2015_Jan_16_11_2.txt
PS00014,"...try/IPR011679; PS00014, http://prosite.expasy.org/PS00014) and no more than one trans-membrane domai...",31,229,Plant_Methods_2015_Jan_16_11_2.txt
PS00014,...asy.org/scanprosite/) [60] with Prosite accession PS00014. The remaining proteins were considered se...,185,878,PLoS_Genet_2014_Oct_16_10(10)_e1004662.txt
