matchedPattern,context,lineNumber,columnNumber,publicationName
PS00125,...ords available at the time were used (See PROSITE_PS00125.txt and PROSITE_PS00028.txt),53,624,F1000Res_2015_May_29_4_60.txt
PS00125,Data file 5 Data File PROSITE_PS00125.txt. PROSITE record used for the ser/thr p...,249,31,F1000Res_2015_May_29_4_60.txt
PS00125,Data file 9 Data File PILGram_PATTERNS_PS00125.txt. Regular expression generated by PILGr...,257,40,F1000Res_2015_May_29_4_60.txt
PS00125,Data file 10 Data File PS00125_alignments.out. Sequence alignments of PIL...,259,24,F1000Res_2015_May_29_4_60.txt
PS00125,...the serine-threonine phosphatase pattern (PROSITE PS00125) by obtaining 166 sequences listed as true...,276,256,F1000Res_2015_May_29_4_60.txt
PS00125,...y as well (See Supplemental Data PILGram_PATTERNS_PS00125.txt). I,280,372,F1000Res_2015_May_29_4_60.txt
PS00125,"...sitive examples are included as Supplemental Data PS00125_alignments.out. However, the PILGram patte...",281,259,F1000Res_2015_May_29_4_60.txt
PS00125,PS0012,286,1,F1000Res_2015_May_29_4_60.txt
PS00125,Q9LHE7	PS00125,297,8,F1000Res_2015_May_29_4_60.txt
PS00125,P12982	PS00125,305,8,F1000Res_2015_May_29_4_60.txt
PS00125,A2XN40	PS00125,313,8,F1000Res_2015_May_29_4_60.txt
PS00125,"...at on Mar 17, 2015 shows 198 positive matches for PS00125, and I'm assuming 2018 (hard to tell from ...",902,94,F1000Res_2015_May_29_4_60.txt
PS00125,...d for both positive and negative examples for the PS00125 and PS00028 PROSITE patterns,1033,94,F1000Res_2015_May_29_4_60.txt
PS00125,...ords available at the time were used (See PROSITE_PS00125.txt and PROSITE_PS00028.txt),53,624,F1000Res_2015_May_29_4_60.txt
PS00125,Data file 5 Data File PROSITE_PS00125.txt. PROSITE record used for the ser/thr p...,249,31,F1000Res_2015_May_29_4_60.txt
PS00125,Data file 9 Data File PILGram_PATTERNS_PS00125.txt. Regular expression generated by PILGr...,257,40,F1000Res_2015_May_29_4_60.txt
PS00125,Data file 10 Data File PS00125_alignments.out. Sequence alignments of PIL...,259,24,F1000Res_2015_May_29_4_60.txt
PS00125,...the serine-threonine phosphatase pattern (PROSITE PS00125) by obtaining 166 sequences listed as true...,276,256,F1000Res_2015_May_29_4_60.txt
PS00125,...y as well (See Supplemental Data PILGram_PATTERNS_PS00125.txt). I,280,372,F1000Res_2015_May_29_4_60.txt
PS00125,"...sitive examples are included as Supplemental Data PS00125_alignments.out. However, the PILGram patte...",281,259,F1000Res_2015_May_29_4_60.txt
