matchedPattern,context,lineNumber,columnNumber,publicationName
PS00687,ALDEHYDE_DEHYDR_GLU	PS00687	8	44,274,21,Algorithms_Mol_Biol_2010_Jan_26_5_15.txt
PS00687,ALDEHYDE_DEHYDR_GLU	PS00687	8	44,274,21,Algorithms_Mol_Biol_2010_Jan_26_5_15.txt
PS00687,"...LDH family), PS00070 (ALDH cysteine active site), PS00687 (ALDH glutamic acid active site), KOG2450 ...",132,383,BMC_Struct_Biol_2010_Dec_29_10_43.txt
PS00687,"...LDH family), PS00070 (ALDH cysteine active site), PS00687 (ALDH glutamic acid active site), KOG2450 ...",132,383,BMC_Struct_Biol_2010_Dec_29_10_43.txt
PS00687,"...ger.ac.uk/), PS00070 (ALDH cysteine active site), PS00687 (ALDH glutamic acid active site), KOG2450 ...",113,165,PLoS_One_2010_Jul_12_5(7)_e11516.txt
PS00687,"...ger.ac.uk/), PS00070 (ALDH cysteine active site), PS00687 (ALDH glutamic acid active site), KOG2450 ...",113,165,PLoS_One_2010_Jul_12_5(7)_e11516.txt
PS00687,"...elated proteins such as the ALDH-GLU-active site (PS00687) and the ALDH-CYS-active site (PS00070), t...",20,294,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS00687,... - [KNLM] - [SADN] - [TAPFV]	ALDH_GLU_active site	PS00687,24,87,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS00687,Family 1	RF1A1	RF2A	AF215823	Q43274	PS00687PS00070	ALDH (NAD+)	Zea mays,45,37,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS00687,RF1A3	RF2B	AF348418	Q7FWR0	PS00687PS00070	ALDH	Zea mays,47,29,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS00687,RF1A4	ALDH	AF162665	Q9LLR2	PS00687PS00070	ALDH	Oryza sativa,48,29,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS00687,RF1A5	RF2B	AF348417	Q8RUR9	PS00687PS00070	ALDH	Zea mays,49,29,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS00687,RF1B1	RF2C	BT063394	Q8S532	PS00687PS00070	ALDH	Zea mays,50,29,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS00687,RF1B2	RF2C	AF348413	Q8S531	PS00687PS00070	ALDH	Zea mays,51,29,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS00687,RF1B3	RF2D	BT041044	Q8S529	PS00687PS00070	ALDH	Zea mays,52,29,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS00687,"...elated proteins such as the ALDH-GLU-active site (PS00687) and the ALDH-CYS-active site (PS00070), t...",20,294,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS00687,... - [KNLM] - [SADN] - [TAPFV]	ALDH_GLU_active site	PS00687,24,87,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS00687,Family 1	RF1A1	RF2A	AF215823	Q43274	PS00687PS00070	ALDH (NAD+)	Zea mays,45,37,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS00687,RF1A3	RF2B	AF348418	Q7FWR0	PS00687PS00070	ALDH	Zea mays,47,29,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS00687,RF1A4	ALDH	AF162665	Q9LLR2	PS00687PS00070	ALDH	Oryza sativa,48,29,PLoS_One_2010_Dec_28_5(12)_e15906.txt
