matchedPattern,count
PS34575,46
PS10000,34
PS51375,33
PS00000,31
PS29964,31
PS21184,29
PS00028,29
PS00063,24
PS00307,23
PS00070,22
PS00014,22
PS00687,21
PS01000,21
PS02217,18
PS10001,18
PS00113,18
PS60464,18
PS00138,18
PS00013,17
PS51257,17
PS00178,16
PS00006,16
PS00081,16
PS00136,16
PS20020,16
PS19980,16
PS89636,16
PS00558,15
PS01259,15
PS46473,15
PS20000,15
PS00108,15
PS00179,14
PS00125,14
PS00137,14
PS50292,14
PS50011,13
PDOC00028,13
PS00107,13
PS20040,13
PS19950,13
PS00141,13
PS00196,12
PS12934,12
PS12929,12
PS00193,12
PS00008,12
PS83877,11
PS00154,11
PS20010,11
PS00132,11
PS00109,10
PS00128,10
PS50860,10
PS50861,10
PS50862,10
PS00149,10
PS19960,10
PS20051,10
PS83876,10
PS00079,10
PS00219,10
PS00153,10
PS01031,10
PS00142,10
PS18000,10
PS00135,9
PS00017,9
PS83150,9
PS20058,9
PS00120,9
PS00294,9
PS83149,9
PS31807,9
PS20030,9
PS00072,9
PS20045,9
PS00005,9
PS00001,9
PS19860,9
PS00523,9
PS19940,8
PS00272,8
PS00094,8
PS00018,8
PS50315,8
PS20059,8
PS00080,8
PDOC00174,8
PS20044,8
PS00105,8
PS00117,8
PS00065,8
PS00007,8
PS19910,7
PS83153,7
PS83151,7
PS02405,7
PS20043,7
PS09102,7
