matchedPattern,count
PS51375,33
PS00028,28
PS00014,22
PS00307,22
PS00070,21
PS00687,20
PS00138,18
PS00136,16
PS51257,15
PS00558,15
PS01259,15
PS00108,15
PS00013,14
PS00178,14
PS00063,14
PS50292,14
PS00125,13
PS00137,13
PDOC00028,13
PS00107,13
PS00006,12
PS00008,12
PS50011,11
PS00196,11
PS50860,10
PS50861,10
PS50862,10
PS00149,10
PS00079,10
PS00219,10
PS00017,9
PS00294,9
PS01031,9
PS00005,9
PS00001,9
PS00523,9
PS00018,8
PS00080,8
PDOC00174,8
PS00120,7
PS50889,7
PS50217,7
PS50918,7
PS00141,7
PS00142,7
PS00007,7
PS01187,6
PS00435,6
PS50893,6
PS50206,6
PS00109,6
PS00135,6
PS00213,6
PS50082,6
PS00012,6
PS51007,6
PS51059,6
PS00015,6
PS50099,6
PS00455,6
PS50294,6
PS50234,5
PS00076,5
PS00009,5
PS00004,5
PS00675,5
PS00112,5
PS00061,5
PS01095,5
PS50859,5
PS50043,5
PS00154,5
PS50202,5
PS00301,5
PS50892,4
PS50026,4
PS00029,4
PS00541,4
PS00375,4
PS00752,4
PS00059,4
PS00419,4
PS50915,4
PS01024,4
PS51192,4
PS50228,4
PDOC00018,4
PS51008,4
PS51194,4
PS00678,4
PS00103,4
PS00501,4
PS50049,4
PS01223,4
PS00330,4
PS00280,4
PDOC00139,4
PS50079,4
PS50071,4
PS00095,4
PS00299,3
PS00094,3
PS50287,3
PS01351,3
PS01030,3
PDOC50092,3
PS00163,3
PS00152,3
PS50850,3
PS51211,3
PS00573,3
PS00250,3
PDOC00076,3
PS01102,3
PS51009,3
PS50191,3
PS01360,3
PDOC00531,3
PS50090,3
PS00902,3
PS50070,3
PS50948,3
PS01358,3
PS00342,3
PS00744,3
PS00365,3
PS00441,3
PS51063,3
PS00743,3
PS00192,3
PS00867,3
PDOC00535,3
PS00193,3
PS00140,3
PS00041,3
PS00546,3
PS00941,3
PS00200,3
PS00016,3
PS50003,3
PS00034,3
PS01026,3
PS50110,3
PS01228,3
PS00518,3
PS50192,3
PS00171,3
PS01328,3
PS00065,3
PS00086,3
PS50927,3
PS00071,3
PS00199,3
PS01186,3
PS50072,3
PS00889,3
PS00010,2
PS00211,2
PS50297,2
PS00915,2
PS50001,2
PDOC00061,2
PS00298,2
PS00451,2
PS50805,2
PDOC00717,2
PS51127,2
PS50068,2
PS50236,2
