matchedPattern,context,lineNumber,columnNumber,publicationName
RHEA:18596,"...hanolamine + palmitaldehyde’ (RHEA:18596), which is catalyze...",20,297,PMC5210663.txt
RHEA:33510,"...sphingosine-1-phosphate (18) (RHEA:33510), the main phosphor...",20,722,PMC5210663.txt
RHEA:34746,...adecasphinganine-1-phosphate (RHEA:34746) and 15-methylhexad...,20,842,PMC5210663.txt
RHEA:34722,"...adecasphingosine-1-phosphate (RHEA:34722) (19), two phosphor...",20,900,PMC5210663.txt
RHEA:40002,...ehyde + phosphoethanolamine’ (RHEA:40002) was created using ...,20,1546,PMC5210663.txt
RHEA:31295,"...of the same compound, such as RHEA:31295 which connects reac...",15,2028,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:22580,"...se forms. To illustrate this, RHEA:22580 describes a reactio...",16,365,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:27873,... a keto tautomeric form while RHEA:27873 describes a separat...,16,436,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:31295,...enol tautomerization reaction RHEA:31295 allows the two reac...,16,563,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:15133,Table 1. The master reaction RHEA:15133 (shown in Figure 3)...,50,30,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:15134,"... three directional reactions (RHEA:15134, RHEA:15135 and RHE...",50,173,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:15135,"...tional reactions (RHEA:15134, RHEA:15135 and RHEA:15136), ea...",50,185,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:15136,"...s (RHEA:15134, RHEA:15135 and RHEA:15136), each of which has...",50,200,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:15133,RHEA:15133 (master reaction)	N...,53,1,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:15134,RHEA:15134 - Left-to-Right (RH...,56,1,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:15133,"RHEA:15134 - Left-to-Right (RHEA:15133, LR)	UniPathway:UER...",56,29,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:15135,RHEA:15135 - Left-to-Right (RH...,59,1,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:15133,"RHEA:15135 - Left-to-Right (RHEA:15133, LR)	Reactome:REACT...",59,29,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:15136,RHEA:15136 - Bidirectional (RH...,62,1,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:15133,"RHEA:15136 - Bidirectional (RHEA:15133, BI)	UniPathway:UCR...",62,29,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:15133,.../rhea/reaction.xhtml?id=15133 RHEA:15133 is a master reactio...,115,130,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:15134,"...erent directions’. These are: RHEA:15134 (left-to-right), RH...",115,413,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
RHEA:15135,"...: RHEA:15134 (left-to-right), RHEA:15135 (right-to-left) and...",115,441,Nucleic_Acids_Res_2012_Jan_30_40(Database_issue)_D754-D760.txt
