matchedPattern,count
P87366,1
E1C3S4,1
A0E071,1
Q9ZAA8,1
Q68EL2,1
O3H3N4,1
P03636,1
O96314,1
P43433,1
Q2TSW9,1
P0C031,1
Q747V3,1
Q85323,1
O25646,1
P03482,1
Q8WVZ9,1
Q30WF9,1
L1S572,1
E5MTA1,1
Q8N371,1
Q11028,1
A0LDC0,1
G3N5G2,1
Q8H028,1
Q9H2A2,1
A6RAT8,1
Q642H9,1
Q7A180,1
O49055,1
A5GFS8,1
Q5U3E1,1
P02980,1
Q80W94,1
P15844,1
B1B569,1
Q4V793,1
A8A918,1
Q9JK42,1
M0XUU4,1
Q5B3Q5,1
F5E0B5C530,1
Q9RKR2,1
Q36733,1
H6AO15,1
Q94424,1
P91515,1
Q9L8V8,1
P58189,1
Q01277,1
G8A529,1
Q8GHJ4,1
Q6GHP8,1
P27237,1
I0F413,1
P03223,1
Z7T1C2,1
P78A72,1
P76489,1
A2XFC8,1
P97261,1
P0CS93,1
Q10885,1
O64483,1
Q75A33,1
C2S361,1
A1G9A1G6A1,1
C7S124,1
Q93EB2,1
C2S820,1
Q8VY93,1
C6S716,1
Q8GT41,1
C9S471,1
Q8GVE0,1
Q78838,1
Q69KJ0,1
O11575,1
Q9ZP90,1
Q6DIH3,1
Q86QP2,1
I3OTE0,1
Q46533,1
B6VRQ8,1
Q8N9I9,1
Q9AAA6,1
Q96PQ1,1
H2AO27,1
Q5NU41,1
Q8A994,1
Q5VLQ9,1
O93601,1
Q72D59,1
C6C271,1
C8F346F316,1
P05346,1
D4S166,1
B8PIS7,1
G2IJ11,1
Q8K370,1
P19314,1
