matchedPattern,count
P0C1I7,1
Q1G1A3,1
A4X6H5,1
G7P4B6,1
P47916,1
Q97WQ4,1
P80544,1
W2C128,1
Q9UKQ9,1
H2O109,1
Q5EZ91,1
Q3ZD70,1
Q700S9,1
Q96T68,1
Q9GJT2,1
B7FSN7,1
A7JT40,1
B7G1R8,1
Q7N9X9,1
Q1E404,1
Q9D1P2,1
P56409,1
Q8TMH8,1
A3CKZ2,1
B1JPQ0,1
Q1HRK9,1
C4H200,1
Q6J514,1
Q3MUY2,1
P13676,1
Q7SA31,1
B5UBG1,1
O02718,1
O88780,1
Q01679,1
Q9TZH6,1
Q7XE50,1
B0UT60,1
F4R7H8,1
O23729,1
J7FRV9,1
Q7F1U1,1
K0LRJ8,1
D9Q721,1
O13422,1
Q2XXR2,1
M5V2M4,1
Q3UPA1,1
P28649,1
F2D135,1
Q23LJ5,1
P12744,1
Q8QZS3,1
Q1R8V6,1
Q5RIR2,1
A1KSN9,1
Q5KGT9,1
Q99LM3,1
T1D103,1
Q9XH76,1
A5ELA2,1
O24369,1
H2KYF8,1
Q87CB9,1
Q79R56,1
F6HBT1,1
P01763,1
K4CDR0,1
Q6NGL5,1
Q84UV8,1
C1KDZ7,1
A9RWS2,1
I8MF47,1
C5Y2E9,1
V2Y5W2,1
N0III4,1
S1H5N3,1
C2S193,1
T1NXM0,1
Q5QHW1,1
Q5KAW8,1
A4YEK0,1
Q6QT42,1
Q83M58,1
Q8XMG4,1
P20301,1
Q5BBM0,1
Q28885,1
G3Y787,1
P23763,1
Q9NZL4,1
D1S240,1
P29038,1
S1S2I3,1
Q1R0X4,1
Q76B58,1
Q716A3,1
Q70CQ1,1
Q9P291,1
H3K369,1
