matchedPattern,count
N0III4,1
Q923J6,1
C2S193,1
V2Y5W2,1
E5BC30,1
O13422,1
Q5QHW1,1
H2A1S1,1
A4YEK0,1
Q97WQ4,1
Q83M58,1
B7FSN7,1
A4B9F2,1
Q5EZ91,1
P20301,1
T1D103,1
H3AG05,1
Q6QT42,1
Q28885,1
A5ELA2,1
I0R301EOB6,1
Q1R0X4,1
P23763,1
H2KYF8,1
D1S240,1
Q9D1P2,1
S1S2I3,1
B6C400,1
N0EC13W201,1
Q8TMH8,1
Q76B58,1
B1JPQ0,1
T1NKX3,1
C4H200,1
Q70CQ1,1
Q3MUY2,1
M1PLK4,1
I0F190,1
L1P210,1
Q6NGL5,1
H3K369,1
Q716A3,1
D5N252,1
C1KDZ7,1
Q99930,1
F4R7H8,1
C3B824,1
J7FRV9,1
G7P4B6,1
K0LRJ8,1
Q9UKQ9,1
A9RWS2,1
W1TZ14,1
M5V2M4,1
P02269,1
P28649,1
B3C6E6,1
Q23LJ5,1
Q8NGZ2,1
P29038,1
A6NH00,1
Q5KAW8,1
Q8NGB2,1
P0C1I7,1
Q83310,1
Q1G1A3,1
Q8I480,1
Q96T68,1
Q7K2F4,1
P47916,1
D8Y1Q5X983,1
Q1E404,1
Q7KVP9,1
A3CKZ2,1
D7MWJ1,1
U3G072,1
Q2A9U9,1
P13676,1
H8FNS2,1
O88780,1
K7EJ78,1
B0UT60,1
Q3JFG0,1
Q7F1U1,1
Q65YY6,1
Q2XXR2,1
G0SVG1,1
F2D135,1
Q96J21,1
P12744,1
E1GBI0,1
A1KSN9,1
C2QC09,1
Q9XH76,1
D3DV26,1
Q87CB9,1
J3KS15,1
K4CDR0,1
A4S307,1
G5TF12,1
