matchedPattern,count
A8I542,1
Q9UJA5,1
A9RNK6,1
Q97WQ4,1
D8S012,1
B7FSN7,1
D8SFE9,1
Q5EZ91,1
Q8YYV6,1
Q700S9,1
E1B2J5,1
Q9GJT2,1
C7ENI3,1
A7JT40,1
B9IKC3,1
Q7N9X9,1
D7G3W4,1
Q9D1P2,1
A2X5P5,1
Q8TMH8,1
M0YVB7,1
B1JPQ0,1
B7FHQ2,1
C4H200,1
B4FPM5,1
Q3MUY2,1
U8PCI6,1
Q7SA31,1
N1CGN7,1
O02718,1
Q6PF45,1
Q01679,1
Q2NKZ6,1
Q7XE50,1
Q4W6X8,1
F4R7H8,1
Q9KUW1,1
J7FRV9,1
Q9KLX7,1
K0LRJ8,1
P77388,1
O13422,1
O06235,1
M5V2M4,1
P04575,1
P28649,1
P90889,1
Q23LJ5,1
P02733,1
P29038,1
B2D1A2,1
Q5KAW8,1
P83563,1
P0C1I7,1
Q06VW2,1
Q3ZD70,1
Q91XW8,1
A4X6H5,1
Q8VKE6,1
P80544,1
H0Y6K7,1
P56409,1
Q3P3H8,1
Q1HRK9,1
Q1RKR2,1
P13676,1
Q1LZ79,1
O88780,1
Q8VI67,1
B0UT60,1
A0A0A3CM71,1
Q7F1U1,1
Q59K01,1
Q2XXR2,1
A0A0A3BZ01,1
F2D135,1
A0A0A4CD62,1
Q1R8V6,1
A3QN12,1
Q99LM3,1
A7XV07,1
O24369,1
Q0U9V8,1
F6HBT1,1
G0SCU7,1
Q84UV8,1
P54046,1
C5Y2E9,1
P18076,1
C2S193,1
P22341,1
A4YEK0,1
C6HCL5,1
P20301,1
A5AER7,1
P23763,1
A5C0I8,1
S1S2I3,1
Q94IC3,1
Q70CQ1,1
P93773,1
Q99930,1
P70SK6,1
Q9UKQ9,1
B1LLF1,1
W1TZ14,1
Q91XZ8,1
B3C6E6,1
F1SFF5,1
A6NH00,1
P43610,1
Q83310,1
L0S223,1
Q7K2F4,1
Q96JA3,1
D7MWJ1,1
A3B5X1,1
K7EJ78,1
P50422,1
Q65YY6,1
C3A2D2,1
Q96J21,1
K9N7B7,1
D3DV26,1
P00977,1
A4S307,1
P02399,1
Q8C4B1,1
P0C5G5,1
Q91406,1
C6H604,1
Q4J9H3,1
P1BP30,1
E2C1S3,1
Q44407,1
O127H6,1
C8VMJ6,1
M9NEE8,1
P33146,1
P82424,1
Q8CDV6,1
Q9SGD6,1
P02978,1
D8TBK6,1
Q8NHP6,1
B9HNK3,1
P52093,1
Q5EEY5,1
F2H1N3,1
O65084,1
C0NRU5,1
A2Y720,1
H2A353,1
M5X5S1,1
Q06Z45,1
B6T1H8,1
Y1Z2Z3,1
A8WCF8,1
B8ZLE7,1
Q4WLJ9,1
O60830,1
L1QVU6,1
K2QNK2,1
P50NS7,1
P06989,1
Q6X784,1
G2T5G2,1
Q923J6,1
Q92TE6,1
Q4WV25,1
Q3SE68,1
Q42836,1
M8W3V2,1
P84508,1
G1G2T3X4G5,1
Q1L2W2,1
G0B291,1
C0V1V2KKV1,1
Q8GV20,1
P22216,1
Q2XW18,1
P13517,1
D3TMQ1,1
P83284,1
B7QK83,1
A5AKD8,1
A0A096RDU5,1
Q8LL12,1
Q96BJ3,1
A1E9I8,1
Q562F6,1
Q8VDZ8,1
T2WI16,1
A2SW51,1
P83434,1
P44210,1
Q9FNC9,1
O35014,1
Q05788,1
I2O2I2,1
Q833E4,1
Q59GJ0,1
C4B4W2,1
C0HJU6,1
O14354,1
D0ZIF6,1
P04106,1
Q2GCH6,1
E7E521,1
Q0VF96,1
Q8LKR8,1
Q6P6X6,1
O35157,1
Q9H3T3,1
Q2NKI4,1
P62823,1
P68230,1
C0NQI2,1
Q7M2Y5,1
Q0AB10,1
Q7M421,1
G1M263,1
Q8NSS0,1
A4XM45,1
B7QBO3,1
Q8KR72,1
A8PSR3,1
G8C9T1,1
A8YBS4,1
C2F6A0,1
P35963,1
G1U155,1
Q5M586,1
B2ZWT4,1
Q9ZLI1,1
A5AIZ1,1
Q9ATD1,1
A2A8C9,1
D5BSU0,1
Q9LG23,1
B7K7V0,1
O74773,1
A0ZHA2,1
O14114,1
A5IYA8,1
P07432,1
P81402,1
P68237,1
Q8N912,1
P68079,1
P22151,1
Q571F5,1
C5H617,1
Q74NK7,1
P03666,1
D3PL85,1
B1MKN3,1
Q9VCK5,1
Q50723,1
