matchedPattern,context,lineNumber,columnNumber,publicationName
C9ORF7,Expansion in C9ORF72 is the cause of chromosome 9p21-linke,150,14,Acta_Myol_2012_Oct_31(2)_134-138.txt
C9ORF7,"...sarcoma/translocated in liposarcoma (FUS/TLS) and C9ORF72 (1, 2). Specifically, the large hexanucleo...",14,409,Acta_Myol_2013_May_32(1)_23-26.txt
C9ORF7,...otide repeat expansion in the first intron of the C9ORF72 gene is resulted the most common genetic c...,14,508,Acta_Myol_2013_May_32(1)_23-26.txt
C9ORF7,"TARDBP, FUS/TLS and C9ORF72 genes were also screened to better charact...",88,21,Acta_Myol_2013_May_32(1)_23-26.txt
C9ORF7,"Regarding TARDBP, FUS/TLS and C9ORF72, the three patients showed no pathologic m...",93,31,Acta_Myol_2013_May_32(1)_23-26.txt
C9ORF7,expansion in C9ORF72 is the cause of chromosome 9p21-linke,111,14,Acta_Myol_2013_May_32(1)_23-26.txt
C9ORF7,first intron/promoter of the C9ORF72 gene [28-30],160,30,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,"autophagic disposal. Mutations in C9ORF72, TARDBP",238,35,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,C9ORF72	Expansion of the GGGGC,405,1,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,"membranes, formation of focal granules of C9ORF72 RN",408,43,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,"the SOD1 gene, as well as in C9ORF72 an",445,30,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,C9ORF72. RNA of the mutant C9ORF7,523,1,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,C9ORF72. RNA of the mutant C9ORF7,523,28,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,"An increased transcriptional level of C9ORF72, as well as th",526,39,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,"formation of focal accumulations of C9ORF72 RNA, containing",527,37,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,C9ORF72 gene) [71],531,1,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,expressing mutant RNA of the C9ORF72 gene had an altere,540,30,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,C9ORF72 gene enabled the suppression of the format...,544,1,Acta_Naturae_2015_Jan-Mar_7(1)_19-36.txt
C9ORF7,"...ts [5, 6, 20]. Recently, expansion repeats in the C9ORF72 gene have been identified as the most comm...",12,895,Acta_Neuropathol_2012_Jun_27_123(6)_807-823.txt
C9ORF7,...GGCC hexanucleotide repeat in noncoding region of C9ORF72 causes chromosome 9p-linked FTD and ALS Ne...,138,375,Acta_Neuropathol_2012_Jun_27_123(6)_807-823.txt
