matchedPattern,context,lineNumber,columnNumber,publicationName
K2HPO4,"...contained (l−1 deionized water): 1 g NH4Cl, 0.6 g K2HPO4, 0.3 g KH2PO4, 0.1 g MgCl2.6H2O, 1.0 g NaCl...",18,151,3_Biotech_2011_Oct_9_1(3)_139-149.txt
K2HPO4,".... Five bioreactors were biostimulated with either K2HPO4, NH4NO3, (NH4)2SO4, NPK, urea or poultry dr...",3,915,3_Biotech_2012_Mar_21_2(1)_53-66.txt
K2HPO4,...er + 0.2 g PAH (anthracene) + 10 g (NH)2SO4 + 2 g K2HPO4 + 20 ml of crude oil	BUNa	1 kg of sediment ...,31,88,3_Biotech_2012_Mar_21_2(1)_53-66.txt
K2HPO4,...ml of crude oil + 20 g of poultry droppings + 2 g K2HPO4	BAUT	1 kg of heat killed sediment + 1 l of ...,32,120,3_Biotech_2012_Mar_21_2(1)_53-66.txt
K2HPO4,...20 ml of crude oil + 0.2 g PAH (anthracene) + 1 g K2HPO4 + 10 g of urea,33,92,3_Biotech_2012_Mar_21_2(1)_53-66.txt
K2HPO4,...e) + 20 ml of crude oil + 10 g of NH4NO3 + 2 g of K2HPO4,34,113,3_Biotech_2012_Mar_21_2(1)_53-66.txt
K2HPO4,"...th appropriate amount of nutrient sources such as K2HPO4, NH4NO3, (NH4)2SO4, NPK, urea or poultry dr...",231,159,3_Biotech_2012_Mar_21_2(1)_53-66.txt
K2HPO4,"...ude oil in the sediment. A combination of NH4NO3, K2HPO4, and poultry droppings better enhanced hydr...",237,2593,3_Biotech_2012_Mar_21_2(1)_53-66.txt
K2HPO4,"...t agar medium consist of 2.0 g of NaNo3, 1.0 g of K2HPO4, 0.5 g of MgSo4.7H20, 0.5 g of KCl, 5.0 g o...",49,242,3_Biotech_2011_Dec_13_1(4)_217-225.txt
K2HPO4,"...onsists of (%, w/v) sucrose, 2; yeast extract, 2; K2HPO4, 2; MgSO4·7H2O, 0.02; MnSO4·4H2O, 0.001; Fe...",22,254,3_Biotech_2011_Dec_30_1(4)_199-205.txt
K2HPO4,"...arboxy methyl cellulose, 2.0 gL−1 NaNO3, 1.0 gL−1 K2HPO4, 0.5 gL−1 MgSO4·7H2O, 0.5 gL−1 KCl, 2.0 gL−...",21,334,3_Biotech_2012_Jun_17_2(2)_127-134.txt
K2HPO4,"...ar medium containing 15.0 gL−1 mannitol, 0.5 gL−1 K2HPO4, 0.2 gL−1 MgSO4·7H2, 0.1 gL−1 CaSO4, 0.2 gL...",21,581,3_Biotech_2012_Jun_17_2(2)_127-134.txt
K2HPO4,"...0 g/L, NaCl, 1.0 g/L), and buffer (KH2PO4 50 g/L, K2HPO4 50 g/L, CH3COONH4 220 g/L) solutions, each ...",19,1772,3_Biotech_2012_Jun_3_2(2)_159-167.txt
K2HPO4,...[(g/L) glucose 120; yeast extract 40; KH2PO4 1.0; K2HPO4 1.0; MgSO4 0.5; NaCl 1.5; Na SO4 1.5; pH 4....,23,495,3_Biotech_2012_Sep_2_2(3)_219-223.txt
K2HPO4,"... minimal medium (RMM), pH 6.8, containing: (g/l): K2HPO4, 2; KH2PO4, 1.5; NaCl, 0.15; NH4Cl, 0.5; Mg...",19,368,3_Biotech_2012_Dec_29_2(4)_311-318.txt
K2HPO4,"...xtract, 5; glucose, 20; (NH4)2SO4, 10; KH2PO4, 1; K2HPO4·3H2O, 0.2; NaCl, 0.1; CaCl2, 0.1; MgSO4·7H2...",17,321,3_Biotech_2013_Feb_30_3(1)_53-60.txt
K2HPO4,"... enrichment study. The composition of MSM (mg/L): K2HPO4 255, KH2PO4 255, (NH4)2SO4 255, MgSO4·7H2O ...",57,756,3_Biotech_2013_Feb_24_3(1)_33-43.txt
K2HPO4,"...rial isolates appeared on semi-solid LGIP medium (K2HPO4 0.2 g/l, KH2PO4 0.6 g/l, MgSO4·7H2O 0.2 g/l...",49,56,3_Biotech_2013_Jun_4_3(3)_205-212.txt
K2HPO4,"...tract 1.5, yeast extract 1.5, NaCl 5, KH2PO4 0.5, K2HPO4 0.5, MgSO4 0.5, glycerol 10 and CoCl2 0.01",20,898,3_Biotech_2013_Aug_16_3(4)_319-330.txt
K2HPO4,"...L mineral salt solution (in g/L: MgSO4·7H2O, 0.5; K2HPO4, 1.5; pH 8.0). The flasks were autoclaved a...",20,408,3_Biotech_2013_Aug_10_3(4)_277-285.txt
