matchedPattern,context,lineNumber,columnNumber,publicationName
P20GM1,Medicine was supported by NIH Grant No. P20GM103486 from the Nationa,747,41,ACS_Chem_Biol_2014_Aug_15_9(8)_1764-1772.txt
P20GM1,"of General Medical Sciences (P20GM103486), the National Cancer Institut",819,30,ACS_Chem_Biol_2014_Oct_17_9(10)_2347-2358.txt
P20GM1,Sciences (P20GM103424) from the National Institutes of Healt...,732,11,ACS_Chem_Neurosci_2015_Sep_8_6(11)_1849-1859.txt
P20GM1,"Health Award Number P20GM103638-02 (to M.A.J.), a National Institute",744,21,ACS_Chem_Neurosci_2016_May_4_7(6)_689-699.txt
P20GM1,"Health Grant Award Number P20GM103418 (to R.A.L.), and an Institutiona",748,27,ACS_Chem_Neurosci_2016_May_4_7(6)_689-699.txt
P20GM1,"the National Institutes of Health (NIH), Grant P20GM103541, for financia",384,48,ACS_Macro_Lett_2014_Nov_18_3(11)_1106-1111.txt
P20GM1,"...by grants from the National Institutes of Health (P20GM103430, R01EB018748, P20GM104937 and R15AT007...",106,326,ACS_Nano_2014_Jun_24_8(6)_5670-5681.txt
P20GM1,"...l Institutes of Health (P20GM103430, R01EB018748, P20GM104937 and R15AT007705), and by The Program f...",106,352,ACS_Nano_2014_Jun_24_8(6)_5670-5681.txt
P20GM1,... National Institutes of Health under Grant Number P20GM103424,87,716,ACS_Nano_2014_Feb_25_8(2)_1419-1428.txt
P20GM1,of Health P20GM103480 (to Tatiana Bronich),827,11,PMC5204208.txt
P20GM1,... National Institutes of Health under grant number P20GM10348,838,66,PMC5204208.txt
P20GM1,... and the National Institute of Health (NIH) NIGMS P20GM103546,138,145,Acta_Crystallogr_E_Crystallogr_Commun_2015_Mar_21_71(Pt_4)_o248.txt
P20GM1,...nd the National Institutes of Health (CoBRE NIGMS P20GM103546). The University of Montana and the Ce...,145,147,Acta_Crystallogr_E_Crystallogr_Commun_2015_Aug_22_71(Pt_9)_o667-o668.txt
P20GM1,...08) and National Institutes of Health (NIH) NIGMS P20GM103546,140,142,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jul_22_71(Pt_8)_o596-o597.txt
P20GM1,...H/National Institute of General Medical Sciences (P20GM109005) for a COBRE award,62,248,Acta_Crystallogr_E_Crystallogr_Commun_2016_Apr_8_72(Pt_5)_652-655.txt
P20GM1,"...) grants R01NS43313 (DEW), R01AG031575 (PCG), and P20GM103418 from the Kansas Idea Network of Biomed...",137,112,Acta_Neuropathol_Commun_2013_May_10_1_15.txt
P20GM1,"...grant (U54GM104940 from NIH) to ZL, and NIH grant P20GM103518 to Prescott Deininger",130,327,Acta_Neuropathol_Commun_2016_Jul_11_4_71.txt
P20GM1,"...the FACS and ES Cell Core (supported by NIH grant P20GM103465, D. Wojchowski, PI) and the Histopatho...",133,549,Adipocyte_2012_Jan_1_1(1)_46-57.txt
P20GM1,...d the Histopathology Core supported by NIH grants P20GM103465 and P30GM103392. B. Turner was support...,133,633,Adipocyte_2012_Jan_1_1(1)_46-57.txt
P20GM1,...e National Institute of General Medical Sciences (P20GM103518) from the National Institutes of Healt...,73,463,Adv_Orthop_2012_Apr_22_2012_361534.txt
