matchedPattern,context,lineNumber,columnNumber,publicationName
P21212,space group	P3	P212121	P3	C121	P3	P3	P3,247,16,PMC5200924.txt
P21212,(P212121 space group,277,2,PMC5200924.txt
P21212,space group	P212121	P212121	P212121,145,13,PMC5200933.txt
P21212,space group	P212121	P212121	P212121,145,21,PMC5200933.txt
P21212,space group	P212121	P212121	P212121,145,29,PMC5200933.txt
P21212,space group	P21212	P21212	P21212	P21212,98,13,ACS_Chem_Biol_2010_Jun_18_5(6)_589-601.txt
P21212,space group	P21212	P21212	P21212	P21212,98,20,ACS_Chem_Biol_2010_Jun_18_5(6)_589-601.txt
P21212,space group	P21212	P21212	P21212	P21212,98,27,ACS_Chem_Biol_2010_Jun_18_5(6)_589-601.txt
P21212,space group	P21212	P21212	P21212	P21212,98,34,ACS_Chem_Biol_2010_Jun_18_5(6)_589-601.txt
P21212,space group 	H3	H3	H3	P212121,131,23,ACS_Chem_Biol_2012_May_18_7(5)_811-816.txt
P21212,space group	P212121	P212121,181,13,ACS_Chem_Biol_2014_Oct_17_9(10)_2374-2381.txt
P21212,space group	P212121	P212121,181,21,ACS_Chem_Biol_2014_Oct_17_9(10)_2374-2381.txt
P21212,"B; (viia) PT155 ternary complex, chain A, P212121 crystal; (viid) PT155 ternary complex, cha...",351,43,ACS_Chem_Biol_2014_Apr_18_9(4)_986-993.txt
P21212,"...1 crystal; (viid) PT155 ternary complex, chain D, P212121 crystal",351,99,ACS_Chem_Biol_2014_Apr_18_9(4)_986-993.txt
P21212,"complex (P212121 chain C/D, green), PT92 ternary complex (b...",425,10,ACS_Chem_Biol_2014_Apr_18_9(4)_986-993.txt
P21212,"...nded or JQ1-liganded BRD4 crystals in space group P212121 (a = 37.3, b = 46.5, c = 77.8) ar",164,99,ACS_Chem_Biol_2014_May_16_9(5)_1160-1171.txt
P21212,"... resolutions of 1.66–2.70 Å, respectively, in the P212121 space group (Supplementary Table S1)",114,53,ACS_Chem_Biol_2014_Nov_21_9(11)_2485-2490.txt
P21212,space group	P212121,695,13,ACS_Chem_Biol_2014_Nov_21_9(11)_2621-2631.txt
P21212,space group	P212121,707,13,ACS_Chem_Biol_2014_Nov_21_9(11)_2621-2631.txt
P21212,space group	P212121	P212121,316,13,ACS_Chem_Biol_2015_Feb_20_10(2)_390-394.txt
